年份,人民检察院处理申诉案件结案件数,人民检察院处理不服检察机关处理决定的申诉案件结案件数,人民检察院处理不服不批捕的申诉案件结案件数,人民检察院处理不服不起诉的申诉案件结案件数,人民检察院处理不服撤案的申诉案件结案件数,人民检察院处理不服原免予起诉的申诉案件结案件数,人民检察院处理其他不服检察机关处理决定的申诉案件结案件数,人民检察院处理不服法院刑事判决裁定的申诉案件结案件数,人民检察院处理刑罚执行中被害人申诉的申诉案件结案件数,人民检察院处理刑罚执行中被告人申诉的申诉案件结案件数,人民检察院处理刑罚执行完毕后被害人申诉的申诉案件结案件数,人民检察院处理刑罚执行完毕后被告人申诉的申诉案件结案件数,人民检察院处理申诉案件改变原决定件数,人民检察院处理不服检察机关处理决定的申诉案件改变原决定件数,人民检察院处理不服不批捕的申诉案件改变原决定件数,人民检察院处理不服不起诉的申诉案件改变原决定件数,人民检察院处理不服撤案的申诉案件改变原决定件数,人民检察院处理不服原免予起诉的申诉案件改变原决定件数,人民检察院处理其他不服检察机关处理决定的申诉案件改变原决定件数,人民检察院处理不服法院刑事判决裁定的申诉案件改变原决定件数,人民检察院处理刑罚执行中被害人申诉的申诉案件改变原决定件数,人民检察院处理刑罚执行中被告人申诉的申诉案件改变原决定件数,人民检察院处理刑罚执行完毕后被害人申诉的申诉案件改变原决定件数,人民检察院处理刑罚执行完毕后被告人申诉的申诉案件改变原决定件数
2019,,,,,,,,,,,,,139,139,5,112,,,22,,,,,
2018,6731.0,2459.0,111.0,2276.0,10.0,,62.0,4272.0,1025.0,1364.0,392.0,1202.0,247,247,22,206,1.0,,18,,,,,
2017,5805.0,2287.0,115.0,2078.0,13.0,,81.0,3518.0,889.0,946.0,374.0,1088.0,182,182,11,146,4.0,,21,,,,,
2016,4722.0,1827.0,112.0,1633.0,11.0,4.0,67.0,2895.0,771.0,783.0,321.0,875.0,101,101,4,83,1.0,1.0,12,,,,,
2015,4846.0,1898.0,102.0,1632.0,14.0,11.0,139.0,2948.0,870.0,828.0,307.0,859.0,155,155,5,96,1.0,2.0,51,,,,,
2014,14764.0,5245.0,666.0,3114.0,33.0,66.0,1366.0,9519.0,2890.0,3231.0,889.0,2509.0,1680,633,31,117,3.0,2.0,480,1047.0,337.0,419.0,119.0,172.0
2013,15268.0,6402.0,980.0,3060.0,43.0,56.0,2263.0,8866.0,3245.0,3246.0,820.0,1555.0,1636,1636,136,359,10.0,6.0,1125,,,,,
2012,11337.0,4518.0,1332.0,1814.0,44.0,41.0,1287.0,6819.0,2709.0,2318.0,676.0,1116.0,1470,1470,235,232,16.0,8.0,979,,,,,
2011,8260.0,3440.0,876.0,1586.0,40.0,43.0,895.0,4820.0,1865.0,1599.0,455.0,901.0,928,928,154,203,3.0,6.0,562,,,,,
2010,10948.0,5824.0,1754.0,2704.0,79.0,95.0,1192.0,5124.0,1886.0,1720.0,451.0,1067.0,977,968,167,229,19.0,17.0,536,9.0,5.0,2.0,1.0,1.0
2009,3465.0,1910.0,362.0,1014.0,29.0,43.0,462.0,1555.0,445.0,589.0,124.0,397.0,410,378,30,103,7.0,9.0,229,32.0,4.0,21.0,1.0,6.0
2008,2887.0,1607.0,225.0,822.0,29.0,50.0,481.0,1280.0,386.0,447.0,112.0,335.0,415,372,26,118,6.0,20.0,202,43.0,6.0,24.0,3.0,10.0
2007,2897.0,1687.0,256.0,804.0,48.0,90.0,489.0,1210.0,361.0,432.0,110.0,307.0,475,406,38,105,16.0,37.0,210,69.0,4.0,53.0,4.0,8.0
2006,3524.0,2005.0,251.0,1050.0,53.0,85.0,566.0,1519.0,379.0,575.0,145.0,420.0,489,390,32,118,13.0,23.0,204,99.0,9.0,72.0,3.0,15.0
2005,4169.0,2442.0,315.0,1189.0,82.0,112.0,744.0,1727.0,403.0,698.0,160.0,466.0,600,498,34,159,19.0,30.0,256,102.0,13.0,66.0,8.0,15.0
2004,5421.0,3518.0,352.0,1793.0,91.0,125.0,1157.0,1903.0,419.0,841.0,194.0,449.0,786,686,51,212,26.0,31.0,366,100.0,8.0,68.0,9.0,15.0
2003,4465.0,2676.0,475.0,1143.0,129.0,116.0,813.0,1789.0,415.0,788.0,141.0,445.0,504,381,34,131,19.0,27.0,170,123.0,16.0,89.0,4.0,14.0
2002,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,
