年份,人民检察院处理申诉案件立案复查件数,人民检察院处理不服检察机关处理决定的申诉案件立案复查件数,人民检察院处理不服不批捕的申诉案件立案复查件数,人民检察院处理不服不起诉的申诉案件立案复查件数,人民检察院处理不服撤案的申诉案件立案复查件数,人民检察院处理不服原免予起诉的申诉案件立案复查件数,人民检察院处理其他不服检察机关处理决定的申诉案件立案复查件数,人民检察院处理不服法院刑事判决裁定的申诉案件立案复查件数,人民检察院处理刑罚执行中被害人申诉的申诉案件立案复查件数,人民检察院处理刑罚执行中被告人申诉的申诉案件立案复查件数,人民检察院处理刑罚执行完毕后被害人申诉的申诉案件立案复查件数,人民检察院处理刑罚执行完毕后被告人申诉的申诉案件立案复查件数
2019,,,,,,,,,,,,
2018,7553.0,2812.0,106.0,2629.0,11.0,,66.0,4741.0,1078.0,1481.0,442.0,1403.0
2017,6624.0,2617.0,129.0,2384.0,16.0,,88.0,4007.0,973.0,1073.0,460.0,1247.0
2016,5744.0,2332.0,125.0,2105.0,14.0,5.0,83.0,3412.0,901.0,908.0,360.0,1058.0
2015,5099.0,2013.0,101.0,1736.0,15.0,15.0,146.0,3086.0,843.0,891.0,318.0,937.0
2014,10273.0,4085.0,474.0,2531.0,22.0,37.0,1021.0,6188.0,1886.0,2134.0,640.0,1528.0
2013,15805.0,6645.0,992.0,3258.0,42.0,52.0,2301.0,9160.0,3361.0,3320.0,863.0,1616.0
2012,11580.0,4553.0,1336.0,1836.0,42.0,40.0,1299.0,7027.0,2792.0,2398.0,687.0,1150.0
2011,8395.0,3458.0,890.0,1599.0,38.0,44.0,887.0,4937.0,1913.0,1631.0,470.0,923.0
2010,10701.0,5598.0,1735.0,2573.0,75.0,87.0,1128.0,5103.0,1902.0,1702.0,453.0,1046.0
2009,3570.0,1980.0,371.0,1071.0,26.0,57.0,455.0,1590.0,480.0,581.0,128.0,401.0
2008,2881.0,1589.0,235.0,803.0,24.0,54.0,473.0,1292.0,391.0,453.0,107.0,341.0
2007,3033.0,1733.0,250.0,855.0,50.0,81.0,497.0,1300.0,389.0,469.0,109.0,333.0
2006,3538.0,2007.0,268.0,1031.0,49.0,93.0,566.0,1531.0,401.0,573.0,151.0,406.0
2005,4217.0,2482.0,320.0,1241.0,78.0,103.0,740.0,1735.0,416.0,685.0,159.0,475.0
2004,5569.0,3591.0,353.0,1840.0,105.0,138.0,1155.0,1978.0,450.0,828.0,220.0,480.0
2003,5276.0,3236.0,543.0,1361.0,143.0,149.0,1040.0,2040.0,462.0,904.0,160.0,514.0
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
