年份,规模以上工业企业研究与试验发展项目数,大中型工业企业研究与试验发展项目数,规模以上工业内资企业研究与试验发展项目数,规模以上工业国有企业研究与试验发展项目数,规模以上工业集体企业研究与试验发展项目数,规模以上工业股份合作企业研究与试验发展项目数,规模以上工业联营企业研究与试验发展项目数,规模以上工业国有联营企业研究与试验发展项目数,规模以上工业有限责任公司研究与试验发展项目数,规模以上工业国有独资公司研究与试验发展项目数,规模以上工业股份有限公司研究与试验发展项目数,规模以上工业私营企业研究与试验发展项目数,规模以上工业其他企业研究与试验发展项目数,规模以上工业港、澳、台商投资企业研究与试验发展项目数,规模以上工业港、澳、台商合资经营企业研究与试验发展项目数,规模以上工业港、澳、台商合作经营企业研究与试验发展项目数,规模以上工业港、澳、台商独资经营企业研究与试验发展项目数,规模以上工业港、澳、台商投资股份有限公司研究与试验发展项目数,规模以上工业外商投资企业研究与试验发展项目数,规模以上工业中外合资经营企业研究与试验发展项目数,规模以上工业中外合作经营企业研究与试验发展项目数,规模以上工业外资企业研究与试验发展项目数,规模以上工业外商投资股份有限公司研究与试验发展项目数
2019,598072,242806,510509,3890,347,724,27,7,145405,17676,65058,294868,190,40931,15493,395,22539,2187,46632,20498,569,22969,2086
2018,472299,213215,395457,2632,336,591,28,11,125602,17052,57178,208855,235,36250,14127,434,19336,1966,40592,18115,621,19461,1986
2017,445029,215506,367708,6225,855,566,35,17,131045,16406,56425,172422,135,36837,15300,649,18737,1810,40484,18986,637,18650,1762
2016,360997,187100,293107,6473,737,467,31,16,107090,14786,47793,130402,114,31396,13402,495,15716,1611,36494,17648,483,16821,1330
2015,309895,173298,248443,7739,862,515,41,21,93183,14542,41368,104396,339,27978,12735,396,13237,1533,33474,17420,564,14055,1296
2014,342507,210997,272155,9964,2129,544,107,89,108868,17916,46392,103663,488,29418,13619,473,13590,1705,40934,20981,806,17575,1457
2013,322567,205146,250823,10634,1986,625,114,102,102726,18582,44525,89657,556,28859,13611,568,13075,1541,42885,20622,795,19770,1588
2012,287524,192755,223459,20092,2471,1320,225,133,83470,13737,41490,72299,2092,26417,12059,625,11875,1596,37648,19311,676,15745,1789
2011,232158,161226,180487,18376,1990,1074,231,137,70357,13040,34183,52749,1527,22396,10312,383,10339,1337,29275,15335,521,11795,1594
2010,,145589,,,,,,,,,,,,,,,,,,,,,
2009,194400,133852,,,,,,,,,,,,,,,,,,,,,
2008,143448,103234,,,,,,,,,,,,,,,,,,,,,
2007,,92913,,,,,,,,,,,,,,,,,,,,,
2006,,87207,,,,,,,,,,,,,,,,,,,,,
2005,,70580,,,,,,,,,,,,,,,,,,,,,
2004,53641,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,
