年份,规模以上工业企业研究与试验发展人员全时当量,规模以上工业煤炭开采和洗选业企业研究与试验发展人员全时当量,规模以上工业石油和天然气开采业企业研究与试验发展人员全时当量,规模以上工业黑色金属矿采选业企业研究与试验发展人员全时当量,规模以上工业有色金属矿采选业企业研究与试验发展人员全时当量,规模以上工业非金属矿采选业企业研究与试验发展人员全时当量,规模以上工业农副食品加工业企业研究与试验发展人员全时当量,规模以上工业食品制造业企业研究与试验发展人员全时当量,规模以上工业饮料制造业企业研究与试验发展人员全时当量,规模以上工业烟草制品业企业研究与试验发展人员全时当量,规模以上工业纺织业企业研究与试验发展人员全时当量,规模以上工业纺织服装、鞋、帽制造业企业研究与试验发展人员全时当量,规模以上工业皮革、毛皮、羽毛(绒)及其制品业企业研究与试验发展人员全时当量,规模以上工业木材加工及木、竹、藤、棕、草制品业企业研究与试验发展人员全时当量,规模以上工业家具制造业企业研究与试验发展人员全时当量,规模以上工业造纸及纸制品业企业研究与试验发展人员全时当量,规模以上工业印刷业和记录媒介的复制企业研究与试验发展人员全时当量,规模以上工业文教体育用品制造业企业研究与试验发展人员全时当量,规模以上工业石油加工、炼焦及核燃料加工业企业研究与试验发展人员全时当量,规模以上工业化学原料及化学制品制造业企业研究与试验发展人员全时当量,规模以上工业医药制造业企业研究与试验发展人员全时当量,规模以上工业化学纤维制造业企业研究与试验发展人员全时当量,规模以上工业橡胶制品业企业研究与试验发展人员全时当量,规模以上工业塑料制品业企业研究与试验发展人员全时当量,规模以上工业非金属矿物制品业企业研究与试验发展人员全时当量,规模以上工业黑色金属冶炼及压延加工业企业研究与试验发展人员全时当量,规模以上工业有色金属冶炼及压延加工业企业研究与试验发展人员全时当量,规模以上工业金属制品业企业研究与试验发展人员全时当量,规模以上工业通用设备制造业企业研究与试验发展人员全时当量,规模以上工业专用设备制造业企业研究与试验发展人员全时当量,规模以上工业交通运输设备制造业企业研究与试验发展人员全时当量,规模以上工业电气机械及器材制造业企业研究与试验发展人员全时当量,规模以上工业通信设备、计算机及其他电子设备制造业企业研究与试验发展人员全时当量,规模以上工业仪器仪表及文化、办公用机械制造业企业研究与试验发展人员全时当量,规模以上工业工艺品及其他制造业企业研究与试验发展人员全时当量,规模以上工业电力、热力的生产和供应业企业研究与试验发展人员全时当量,规模以上工业燃气生产和供应业企业研究与试验发展人员全时当量,规模以上工业水的生产和供应业企业研究与试验发展人员全时当量
2019,3151828,33947,15512,3047,5689,4498,52292,40227,,4256,91364,,,17029,30023,33001,26651,,15422,164749,122720,21565,,,122263,85657,68701,134219,240908,212802,,327690,543781,,,23762,5123,3640
2018,2981234,33477,13818,2425,5206,3495,50917,39454,,4829,74347,,,14398,25473,32895,22078,,13969,168331,125919,19528,,,104704,78600,64107,117850,218175,194430,,306281,552618,,,18277,3351,2510
2017,2736244,41987,21463,2236,4420,3255,51693,32381,,3960,64955,,,14684,19648,24826,18384,,12944,168484,121517,19391,,,91975,92831,63952,97733,199775,177067,,285025,457960,,,18875,2801,2415
2016,2702489.2,40193,24483,3296,4631,3314,49335,33886,,4713,63636,,,13503,14878,24222,16021,,14196,178870,130570,17706,,,84337,91291,65324,94759,208614,174306,,279364,430794,,,22366,2201,2317
2015,2638290,43819,23040,3404,3833,2946,43933,31589,,3878,61758,,,12270,11728,23478,13242,,15859,183489,128589,18912,,,79031,95674,61883,88580,205657,170104,,270363,426583,,,20683,1566,1871
2014,2641578.1,53027.7,28445.9,2840.9,3997.7,3864.6,42985.3,28768.6,,3657.3,56858.5,,,10122,11327.4,22602.3,12267.3,,16553.5,182050.8,133901.5,17836.1,,,80459.1,114220.2,59275.7,85223.1,213178,173744.5,,274935.5,411861,,,21236,1795,1874.3
2013,2493957.7,53713,25487.2,2725.4,3955,3131,38161.8,27389.2,,4245.5,53288.7,,,8208.2,9382.6,20556.7,11362.5,,13993.1,170086.6,123199.9,16562.8,,,73646.2,107190,57559.8,79314.7,191916.3,178461.3,,255835,390976.5,,,26873.1,811.3,1652.6
2012,2246179,46917,24027.3,2270.3,3686.5,2791,30426,23470.7,,4125.8,48352.6,,,6765.3,7599.3,17970.4,9363.8,,15550.1,150192.2,106684.7,14805.5,,,59216,100752.9,55168.6,65665.4,173046.2,156516.4,,225982.8,380497.3,,,25338.7,566.8,2045.4
2011,1939074.7,50763.3,32371.8,1942.3,3147.5,3404.8,25154,19563.5,20013.1,3483.2,50862.6,17247.5,7960.1,4633.8,4960.1,15257.8,8156,7862.5,13638.3,132035.9,93466.8,14445.4,18188.9,28476.9,53107.1,81787.9,44745.5,40167.3,154694.2,146529.3,220087.3,205275.2,318017.5,61605.2,12360.4,21344.4,442.4,1163.4
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1447000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1229998.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,542000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
