年份,规模以上工业企业研究与试验发展项目数,规模以上工业煤炭开采和洗选业企业研究与试验发展项目数,规模以上工业石油和天然气开采业企业研究与试验发展项目数,规模以上工业黑色金属矿采选业企业研究与试验发展项目数,规模以上工业有色金属矿采选业企业研究与试验发展项目数,规模以上工业非金属矿采选业企业研究与试验发展项目数,规模以上工业农副食品加工业企业研究与试验发展项目数,规模以上工业食品制造业企业研究与试验发展项目数,规模以上工业饮料制造业企业研究与试验发展项目数,规模以上工业烟草制品业企业研究与试验发展项目数,规模以上工业纺织业企业研究与试验发展项目数,规模以上工业纺织服装、鞋、帽制造业企业研究与试验发展项目数,规模以上工业皮革、毛皮、羽毛(绒)及其制品业企业研究与试验发展项目数,规模以上工业木材加工及木、竹、藤、棕、草制品业企业研究与试验发展项目数,规模以上工业家具制造业企业研究与试验发展项目数,规模以上工业造纸及纸制品业企业研究与试验发展项目数,规模以上工业印刷业和记录媒介的复制企业研究与试验发展项目数,规模以上工业文教体育用品制造业企业研究与试验发展项目数,规模以上工业石油加工、炼焦及核燃料加工业企业研究与试验发展项目数,规模以上工业化学原料及化学制品制造业企业研究与试验发展项目数,规模以上工业医药制造业企业研究与试验发展项目数,规模以上工业化学纤维制造业企业研究与试验发展项目数,规模以上工业橡胶制品业企业研究与试验发展项目数,规模以上工业塑料制品业企业研究与试验发展项目数,规模以上工业非金属矿物制品业企业研究与试验发展项目数,规模以上工业黑色金属冶炼及压延加工业企业研究与试验发展项目数,规模以上工业有色金属冶炼及压延加工业企业研究与试验发展项目数,规模以上工业金属制品业企业研究与试验发展项目数,规模以上工业通用设备制造业企业研究与试验发展项目数,规模以上工业专用设备制造业企业研究与试验发展项目数,规模以上工业交通运输设备制造业企业研究与试验发展项目数,规模以上工业电气机械及器材制造业企业研究与试验发展项目数,规模以上工业通信设备、计算机及其他电子设备制造业企业研究与试验发展项目数,规模以上工业仪器仪表及文化、办公用机械制造业企业研究与试验发展项目数,规模以上工业工艺品及其他制造业企业研究与试验发展项目数,规模以上工业电力、热力的生产和供应业企业研究与试验发展项目数,规模以上工业燃气生产和供应业企业研究与试验发展项目数,规模以上工业水的生产和供应业企业研究与试验发展项目数
2019,598072,2952,2502,523,924,900,12736,9491,,1496,15963,,,3882,5944,6455,5468,,3307,42246,32296,3880,,,26859,12180,13567,31787,55929,48759,,64676,59290,,,7287,785,873
2018,472299,2814,1825,390,894,709,10685,8095,,1292,11663,,,2785,3960,5114,4046,,2812,36708,28167,2956,,,19898,9805,11347,23093,44338,37614,,52317,44990,,,4685,454,525
2017,445029,3324,2652,344,754,563,10227,7157,,1372,9605,,,2564,3292,4373,3586,,2490,35540,27784,2849,,,16708,10738,10115,19645,40179,35366,,51279,42905,,,4093,391,580
2016,360997,2790,2342,399,600,476,8137,5856,,1359,7967,,,1822,2013,3276,2617,,2071,29675,24434,2282,,,12704,8911,8348,15106,33547,28589,,41883,33811,,,3460,236,411
2015,309895,2968,2165,394,510,440,6750,4892,,1301,6918,,,1538,1484,2635,2088,,2043,26387,21761,1962,,,10766,8608,7342,11819,29563,24197,,35695,27231,,,3292,171,320
2014,342507,4143,3057,438,442,460,6791,4874,,1157,7693,,,1338,1654,2562,2070,,2154,26366,23791,1698,,,10599,9871,7656,12107,31539,29754,,40031,35761,,,3208,157,286
2013,322567,4483,3284,300,464,372,5987,4530,,1285,7441,,,1162,1413,2087,1745,,1913,24585,25419,1652,,,9690,9767,6966,11229,28306,26763,,37415,36382,,,3079,105,256
2012,287524,4585,3046,237,451,377,5269,3798,,1161,6648,,,1121,987,1748,1457,,1854,21532,18372,1386,,,8164,10101,6183,9697,28306,21767,,33505,32124,,,2957,85,227
2011,232158,4057,3610,191,373,350,3545,2917,2742.0,884,6767,1141.0,585.0,758,808,1602,1047,1239.0,1827,18038,15022,1202,2812.0,3956.0,6004,7514,4360,5617,22938,18396,24994.0,27792,26552,7990.0,1877.0,2344,65,141
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,194400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,143448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,53641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
