年份,规模以上工业企业研究与试验发展经费,大中型工业企业研究与试验发展经费,规模以上工业内资企业研究与试验发展经费,规模以上工业国有企业研究与试验发展经费,规模以上工业集体企业研究与试验发展经费,规模以上工业股份合作企业研究与试验发展经费,规模以上工业联营企业研究与试验发展经费,规模以上工业国有联营企业研究与试验发展经费,规模以上工业有限责任公司研究与试验发展经费,规模以上工业国有独资公司研究与试验发展经费,规模以上工业股份有限公司研究与试验发展经费,规模以上工业私营企业研究与试验发展经费,规模以上工业其他企业研究与试验发展经费,规模以上工业港、澳、台商投资企业研究与试验发展经费,规模以上工业港、澳、台商合资经营企业研究与试验发展经费,规模以上工业港、澳、台商合作经营企业研究与试验发展经费,规模以上工业港、澳、台商独资经营企业研究与试验发展经费,规模以上工业港、澳、台商投资股份有限公司研究与试验发展经费,规模以上工业外商投资企业研究与试验发展经费,规模以上工业中外合资经营企业研究与试验发展经费,规模以上工业中外合作经营企业研究与试验发展经费,规模以上工业外资企业研究与试验发展经费,规模以上工业外商投资股份有限公司研究与试验发展经费
2019,139710989.4,99969303.8,112189638.0,831846.2,57356.4,63154,4497.2,1055.5,44497930.6,6233483.7,21391117.1,45167496.7,176239.8,11383700.9,4182361.5,139394,6346976.1,658968.7,16137650.5,8446692.9,177970.4,6652549.6,710382.1
2018,129548263.7,95426947.4,102720471.6,834377.9,77888.6,69942.6,2898.7,1356.0,42793342.6,7107416.1,20251744.7,38516119.1,174157.4,11307500.1,4118013.7,112452.2,6090516.2,901197.1,15520292.0,8221203.7,164773.9,6177709.7,842015.2
2017,120129588.5,89761874.8,94230091.5,2134366.7,614039.8,60080.6,7980.0,3758.1,41020715.2,6341612.7,18472439.5,31880596.7,39873.0,11150542.5,4413473.6,136402.5,5714530.6,766831.7,14748954.5,7826266.6,163053.5,5709368.9,957246.7
2016,109446585.6,82894631.5,85253739.2,2839204.3,610529.5,63211.5,8324.3,3684.7,37549070.9,5550642.0,16128281.8,28005403.6,49713.3,10135514.2,3823996.1,121802.9,5431471.5,651738.3,14057332.2,7549755.8,162495.2,5630761.6,676840.0
2015,100139329.8,77924409.9,77124301.3,3223697.5,813511.2,79172.7,6522.9,2078.2,33888942.2,5734510.1,15347446.9,23635822.5,129185.4,9476505.8,3823345.0,126136.5,4752098.7,750618.8,13538522.7,7467525.3,169988.6,5129999.5,733187.6
2014,92542587.0,73196923.1,71035135.9,3257060.6,622137.0,73922.9,49131.3,46016.3,31591299.2,6248123.8,15045648.9,20267613.9,128322.1,8522648.2,3637491.4,130876.3,4247052.6,500499.5,12984802.9,7343277.8,208021.2,4728222.1,681541.2
2013,83184004.8,67440645.6,63032811.4,3084396.5,586977.3,87853.7,70305.0,68261.2,28309098.7,5883235.3,13855023.3,16901374.1,137782.8,7722329.0,3321507.7,92978.8,3821302.8,482587.7,12428864.4,6776642.3,228880.9,4663841.4,740442.8
2012,72006450.4,59923237.0,54370343.9,5620812.8,752364.6,239299.2,113688.0,97284.1,22247313.1,4520604.9,12455636.6,12465427.4,475802.2,6723539.1,2836315.0,78905.2,3293794.2,473697.5,10912567.4,5764759.0,157183.9,4359893.3,602045.3
2011,59938054.5,50306960.2,44972323.6,4678394.4,595943.1,239226.8,117721.7,93315.6,18903933.0,4097467.3,10633145.0,9440009.4,363950.2,5604239.3,2324769.4,59424.4,2772008.1,442975.1,9361491.6,4825999.4,88788.6,3759744.7,679099.6
2010,,40153965.2,,,,,,,,,,,,,,,,,,,,,
2009,37757000.0,32102300.0,,,,,,,,,,,,,,,,,,,,,
2008,30731302.8,26813109.5,,,,,,,,,,,,,,,,,,,,,
2007,,21124560.5,,,,,,,,,,,,,,,,,,,,,
2006,,16301909.0,,,,,,,,,,,,,,,,,,,,,
2005,,12502918.0,,,,,,,,,,,,,,,,,,,,,
2004,11045000.0,9544905.0,,,,,,,,,,,,,,,,,,,,,
2003,,7207749.0,,,,,,,,,,,,,,,,,,,,,
2002,,5601718.0,,,,,,,,,,,,,,,,,,,,,
2001,,4423496.0,,,,,,,,,,,,,,,,,,,,,
2000,,3533873.0,,,,,,,,,,,,,,,,,,,,,
