年份,规模以上工业企业研究与试验发展全时当量,大中型工业企业研究与试验发展人员全时当量,规模以上工业内资企业研究与试验发展人员全时当量,规模以上工业国有企业研究与试验发展人员全时当量,规模以上工业集体企业研究与试验发展人员全时当量,规模以上工业股份合作企业研究与试验发展人员全时当量,规模以上工业联营企业研究与试验发展人员全时当量,规模以上工业国有联营企业研究与试验发展人员全时当量,规模以上工业有限责任公司研究与试验发展人员全时当量,规模以上工业国有独资公司研究与试验发展人员全时当量,规模以上工业股份有限公司研究与试验发展人员全时当量,规模以上工业私营企业研究与试验发展人员全时当量,规模以上工业其他企业研究与试验发展人员全时当量,规模以上工业港、澳、台商投资企业研究与试验发展人员全时当量,规模以上工业港、澳、台商合资经营企业研究与试验发展人员全时当量,规模以上工业港、澳、台商合作经营企业研究与试验发展人员全时当量,规模以上工业港、澳、台商独资经营企业研究与试验发展人员全时当量,规模以上工业港、澳、台商投资股份有限公司研究与试验发展人员全时当量,规模以上工业外商投资企业研究与试验发展人员全时当量,规模以上工业中外合资经营企业研究与试验发展人员全时当量,规模以上工业中外合作经营企业研究与试验发展人员全时当量,规模以上工业外资企业研究与试验发展人员全时当量,规模以上工业外商投资股份有限公司研究与试验发展人员全时当量
2019,3151828,1996171,2515116,23575,1738,2598,93,19,831757,106605,451358,1202413,1583,314242,108248,2790,185489,15758,322470,134700,3422,166146,15169
2018,2981234,2016465,2327232,21624,2126,2175,108,40,862665,125482,442700,993467,2368,319641,107096,3130,182142,25275,334362,142701,3653,166758,17203
2017,2736244,1931419,2119652,55692,4372,1930,267,183,832012,124067,431937,790796,2645,303102,116521,3131,159338,21615,313490,144901,3310,146057,16495
2016,2702489.2,1964441,2085938,74005,4693,2183,202,108,845680,126210,425175,732398,1601,285902,106527,3427,154955,19219,330649,161846,3621,147699,16266
2015,2638290,1985983,2024474,82297,12903,2736,232,106,826422,131854,433413,662024,4445,285158,110382,3589,145177,25315,328657,167810,4368,139940,15135
2014,2641578.1,2037661.2,2003155.3,88868.9,7568,3002.9,1277.2,1148.3,841754.1,148856.2,450615.4,606229.4,3839.4,283158.9,109369.8,4039.3,149597.2,19936.2,355263.9,180842.5,4674,152276.9,16737.2
2013,2493957.7,1976735.7,1865328,85571.8,7401.9,2898.6,1589.8,1516.1,807434.6,157465.4,432027.3,523550.6,4853.4,274172.7,113623.7,3290,139676.2,17329.1,354457.1,175109.7,4451.3,156742.4,17587.9
2012,2246179,1818585,1651158.1,162962.8,11351.3,6671,2847,1944,662322.7,126401.8,371178.6,419111.7,14712,258541.4,106372.3,3137.7,132163.3,15440.7,336479,153078,5152.3,159289.8,18075.1
2011,1939074.7,1587164.6,1442878.5,148871.3,10468.4,6963.1,2470.4,1414.6,582652,122864.4,332955,345095.1,13403.2,217521.6,87200.7,2692.7,112128.8,15079.4,278674.7,132187.7,3276.3,123257.7,19699.8
2010,,1369908.313,,,,,,,,,,,,,,,,,,,,,
2009,1447000,1158839,,,,,,,,,,,,,,,,,,,,,
2008,1229998.67,1014223.11,,,,,,,,,,,,,,,,,,,,,
2007,,857649.74,,,,,,,,,,,,,,,,,,,,,
2006,,695668.23,,,,,,,,,,,,,,,,,,,,,
2005,,606376.22,,,,,,,,,,,,,,,,,,,,,
2004,542000,438164.94,,,,,,,,,,,,,,,,,,,,,
2003,,478066,,,,,,,,,,,,,,,,,,,,,
2002,,424259,,,,,,,,,,,,,,,,,,,,,
2001,,379321,,,,,,,,,,,,,,,,,,,,,
2000,,329413,,,,,,,,,,,,,,,,,,,,,
