年份,规模以上工业企业研究与试验发展经费,规模以上工业煤炭开采和洗选业企业研究与试验发展经费,规模以上工业石油和天然气开采业企业研究与试验发展经费,规模以上工业黑色金属矿采选业企业研究与试验发展经费,规模以上工业有色金属矿采选业企业研究与试验发展经费,规模以上工业非金属矿采选业企业研究与试验发展经费,规模以上工业农副食品加工业企业研究与试验发展经费,规模以上工业食品制造业企业研究与试验发展经费,规模以上工业饮料制造业企业研究与试验发展经费,规模以上工业烟草制品业企业研究与试验发展经费,规模以上工业纺织业企业研究与试验发展经费,规模以上工业纺织服装、鞋、帽制造业企业研究与试验发展经费,规模以上工业皮革、毛皮、羽毛(绒)及其制品业企业研究与试验发展经费,规模以上工业木材加工及木、竹、藤、棕、草制品业企业研究与试验发展经费,规模以上工业家具制造业企业研究与试验发展经费,规模以上工业造纸及纸制品业企业研究与试验发展经费,规模以上工业印刷业和记录媒介的复制企业研究与试验发展经费,规模以上工业文教体育用品制造业企业研究与试验发展经费,规模以上工业石油加工、炼焦及核燃料加工业企业研究与试验发展经费,规模以上工业化学原料及化学制品制造业企业研究与试验发展经费,规模以上工业医药制造业企业研究与试验发展经费,规模以上工业化学纤维制造业企业研究与试验发展经费,规模以上工业橡胶制品业企业研究与试验发展经费,规模以上工业塑料制品业企业研究与试验发展经费,规模以上工业非金属矿物制品业企业研究与试验发展经费,规模以上工业黑色金属冶炼及压延加工业企业研究与试验发展经费,规模以上工业有色金属冶炼及压延加工业企业研究与试验发展经费,规模以上工业金属制品业企业研究与试验发展经费,规模以上工业通用设备制造业企业研究与试验发展经费,规模以上工业专用设备制造业企业研究与试验发展经费,规模以上工业交通运输设备制造业企业研究与试验发展经费,规模以上工业电气机械及器材制造业企业研究与试验发展经费,规模以上工业通信设备、计算机及其他电子设备制造业企业研究与试验发展经费,规模以上工业仪器仪表及文化、办公用机械制造业企业研究与试验发展经费,规模以上工业工艺品及其他制造业企业研究与试验发展经费,规模以上工业电力、热力的生产和供应业企业研究与试验发展经费,规模以上工业燃气生产和供应业企业研究与试验发展经费,规模以上工业水的生产和供应业企业研究与试验发展经费
2019,139710989.4,1092399.4,937990.1,134369.3,217863.9,185833,2619763.3,1562119.6,,303865.3,2658672.6,,,631501.8,735978,1576679.9,795816.2,,1846975.6,9234036.2,6095604.9,1236879.5,,,5200940.9,8863003.4,4798097.5,4663828,8228765.6,7767235.4,,14061749.3,24480937.0,,,1130497.3,170176.8,144401.8
2018,129548263.7,1464527.1,892630.6,120431.8,317254.3,148070.7,2610675.3,1609628.4,,266076.0,2554380.7,,,546652.4,680099.4,1677815.7,667107.8,,1454100.0,8999254.6,5808856.7,1121162.3,,,4158518.4,7068793.9,4425396.1,3893723.4,7356002.9,7257637.9,,13201357.1,22799013.2,,,968697.3,136339.1,98645.3
2017,120129588.5,1489055.6,572560.3,72513.6,311920.9,118731.7,2745770.3,1480531.8,,197868.6,2331791.7,,,602742.9,554273.3,1445953.4,539399.0,,1465965.4,9124767.4,5341769.3,1060665.8,,,3628146.7,6387462.6,4616195.8,3431676.4,6968193.9,6369443.5,,12423807.0,20027613.3,,,857748.3,110866.5,95827.0
2016,109446585.6,1320743.5,638939.1,103687.1,270861.3,111477.4,2497205.1,1528195.7,,214301.2,2199360.0,,,528737.0,428659,1227574.8,467515.2,,1196271.3,8407489.4,4884712.2,838237.9,,,3230847.7,5377120.7,4068224.3,3263459.2,6657262.5,5771278.4,,11023816.6,18109749.9,,,815656.8,76626.5,74012.0
2015,100139329.8,1433009.5,625324.0,92145.9,219863.3,103564.5,2160046.6,1354293.9,,207901.2,2076651.9,,,428164.9,330128.3,1076050.1,368982.2,,1008432.1,7944564.1,4414576.1,784950.8,,,2776206.4,5612273.0,3715483.5,2826592.8,6326467.1,5671357.4,,10127296.8,16116757.2,,,814254.4,63854.2,65157.0
2014,92542587.0,1514912.1,843601.2,89632.6,202688.7,99477.2,1959216.9,1126690.5,,209204.3,1776979.0,,,327156.5,270705.1,964246.8,342368.7,,1065743.1,7465350.1,3903161.1,750081.4,,,2464629.5,6420462.8,3305505.8,2512352,6206000.0,5408743.0,,9228514.7,13925133.0,,,619008.2,55583.7,51519.1
2013,83184004.8,1565541.5,806878.8,77399.2,217517.3,71519.7,1729827.2,985301.9,,221055.8,1584877.6,,,271582.2,224650,877916.8,303888.3,,893193.9,6603728.1,3476552.7,667897.1,,,2150329.3,6330373.9,3011081.1,2300165.3,5478931.8,5123163.5,,8153895.2,12525008.0,,,584487.9,35789.1,39293.1
2012,72006450.4,1578772.4,862395.5,61057.0,221443.8,76882.9,1357189.0,868613.9,,198000.5,1380288.2,,,187243.7,145283.8,758049.7,245816.6,,816377.7,5535954.6,2833055.1,634411.7,,,1635706.0,6278473.4,2711533.1,1874425.1,4746047.3,4249366.8,,7041557.8,10646938.2,,,467874.5,20007.9,33417.2
2011,59938054.5,1451310.5,821291.2,41268.2,139231.3,72677.7,920658.2,626131.3,693436.0,159701.5,1360232.5,289534.3,154417.4,144699.5,90341,558877.4,190130.2,136992.8,625446.7,4699215.1,2112461.8,587559.6,631281.1,726377.3,1397206.3,5126475.1,1901946.6,1112914.1,4066679.2,3656607.7,7852545.9,6240087.6,9410520.4,1208652.9,242662.0,428121.1,12315.7,18307.1
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,37757000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,30731302.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11045000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
