年份,中央财政支出,中央财政一般公共服务支出,中央财政外交支出,中央财政对外援助支出,中央财政国防支出,中央财政公共安全支出,中央财政武装警察支出,中央财政教育支出,中央财政科学技术支出,中央财政文化体育与传媒支出,中央财政社会保障和就业支出,中央财政医疗卫生支出,中央财政环境保护支出,中央财政城乡社区事务支出,中央财政农林水事务支出,中央财政交通运输支出,中央财政车辆购置税支出,中央财政地震灾后恢复重建支出,中央财政其他支出
2019,35115.15,1985.16,615.39,,11896.56,1839.45,,1835.88,3516.18,308.84,1231.53,247.72,421.19,91.61,532.34,1422.32,,,632.23
2018,32707.81,1503.68,583.37,,11069.7,2041.51,,1731.23,3120.27,281.13,1184.55,210.65,427.56,86.38,592.3,1313.71,,,826.74
2017,29857.15,1271.46,519.67,,10226.35,1848.94,,1548.39,2826.96,270.92,1001.11,107.6,350.56,23.45,708.74,1156.42,,,590.12
2016,27403.85,1209.15,479.72,,9545.97,1741.91,,1447.72,2686.1,247.95,890.58,91.16,295.49,19.76,779.07,812.12,,,432.17
2015,25542.15,1055.3,476.78,,8868.51,1584.17,,1358.17,2478.39,271.99,723.07,84.51,400.41,10.83,738.78,853.0,,,329.17
2014,22570.07,1050.43,360.09,,8055.14,1477.76,,1253.62,2436.66,223.0,699.91,90.25,344.74,17.18,539.67,731.16,,,129.99
2013,20471.76,1001.46,354.37,,7177.37,1297.03,,1106.65,2368.99,204.45,640.82,76.7,100.26,19.06,526.91,722.99,,,338.7
2012,18764.63,998.32,332.39,,6481.38,1183.47,,1101.46,2210.43,193.56,585.67,74.29,63.65,18.19,502.49,863.59,,,38.31
2011,16514.11,903.01,306.83,158.98,5829.62,1037.01,789.57,999.05,1942.14,188.72,502.48,71.32,74.19,11.62,416.56,331.11,73.48,,74.99
2010,15989.73,837.42,268.05,136.11,5176.35,875.2,699.3,720.96,1661.3,150.13,450.3,73.56,69.48,10.09,387.89,1489.58,1209.91,37.9,98.32
2009,15255.79,1084.21,249.71,132.96,4825.01,845.79,679.11,567.62,1433.82,154.75,454.37,63.5,37.91,3.91,318.7,1069.22,648.81,130.6,601.83
2008,13344.17,2344.55,239.15,125.59,4098.95,648.63,502.26,491.63,1077.35,140.61,344.28,46.78,66.21,14.33,308.38,913.2,659.19,62.47,413.75
2007,11442.06,2160.17,213.78,111.54,3482.32,607.83,462.16,395.26,924.6,127.21,342.63,34.21,34.59,6.2,313.7,782.25,487.68,,574.86
2006,9991.4,,,,,,,,,,,,,,,,,,
2005,8775.97,,,,,,,,,,,,,,,,,,
2004,7894.08,,,,,,,,,,,,,,,,,,
2003,7420.1,,,,,,,,,,,,,,,,,,
2002,6771.7,,,,,,,,,,,,,,,,,,
2001,5768.02,,,,,,,,,,,,,,,,,,
2000,5519.85,,,,,,,,,,,,,,,,,,
