年份,国家财政支出,国家财政一般公共服务支出,国家财政外交支出,国家财政对外援助支出,国家财政国防支出,国家财政公共安全支出,国家财政武装警察支出,国家财政教育支出,国家财政科学技术支出,国家财政文化体育与传媒支出,国家财政社会保障和就业支出,国家财政医疗卫生支出,国家财政环境保护支出,国家财政城乡社区事务支出,国家财政农林水事务支出,国家财政交通运输支出,国家财政车辆购置税支出,国家财政地震灾后恢复重建支出,国家财政其他支出
2019,238858.37,20344.66,617.5,,12122.1,13901.93,,34796.94,9470.79,4086.31,29379.08,16665.34,7390.2,24895.24,22862.8,11817.55,,,1748.79
2018,220904.13,18374.69,586.36,,11280.46,13781.48,,32169.47,8326.65,3537.86,27012.09,15623.55,6297.61,22124.13,21085.59,11282.76,,,2312.64
2017,203085.49,16510.36,521.75,,10432.37,12461.27,,30153.18,7266.98,3391.93,24611.68,14450.63,5617.33,20585.0,19088.99,10673.98,,,1729.31
2016,187755.21,14790.5,482.0,,9765.8,11031.98,,28072.8,6564.0,3163.08,21591.5,13158.8,4734.8,18394.6,18587.4,10498.7,,,1899.33
2015,175877.77,13547.79,480.32,,9087.84,9379.96,,26271.88,5862.57,3076.64,19018.69,11953.18,4802.89,15886.36,17380.49,12356.27,,,3670.55
2014,151785.56,13267.5,361.54,,8289.5,8357.23,,23041.7,5314.5,2691.48,15968.9,10176.8,3815.6,12959.5,14173.8,10400.4,,,3254.53
2013,140212.1,13755.13,355.76,,7410.62,7786.78,,22001.76,5084.3,2544.39,14490.54,8279.9,3435.15,11165.57,13349.55,9348.82,,42.79,3271.79
2012,125952.97,12700.46,333.83,,6691.92,7111.6,,21242.1,4452.63,2268.35,12585.52,7245.11,2963.46,9079.12,11973.88,8196.16,,103.81,2482.38
2011,109247.79,10987.78,309.58,159.09,6027.91,6304.27,1082.02,16497.33,3828.02,1893.36,11109.4,6429.51,2640.98,7620.55,9937.55,7497.8,2314.6,174.45,2911.24
2010,89874.16,9337.16,269.22,136.14,5333.37,5517.7,933.84,12550.02,4196.7,1542.7,9130.62,4804.18,2441.98,5987.38,8129.58,5488.47,1541.82,1132.54,2700.38
2009,76299.93,9164.21,250.94,132.96,4951.1,4744.09,866.29,10437.54,3276.8,1393.07,7606.68,3994.19,1934.04,5107.66,6720.41,4647.59,1085.08,1174.45,3203.25
2008,62592.66,9795.92,240.72,125.59,4178.76,4059.76,664.13,9010.21,2611.0,1095.74,6804.29,2757.04,1451.36,4206.14,4544.01,2354.0,1002.74,798.34,2940.79
2007,49781.35,8514.24,215.28,111.54,3554.91,3486.16,585.17,7122.32,2135.7,898.64,5447.16,1989.96,995.82,3244.69,3404.7,1915.38,849.13,,2951.56
2006,40422.73,,,,,,,,,,,,,,,,,,
2005,33930.28,,,,,,,,,,,,,,,,,,
2004,28486.89,,,,,,,,,,,,,,,,,,
2003,24649.95,,,,,,,,,,,,,,,,,,
2002,22053.15,,,,,,,,,,,,,,,,,,
2001,18902.58,,,,,,,,,,,,,,,,,,
2000,15886.5,,,,,,,,,,,,,,,,,,
