年份,地方财政一般预算支出,地方财政一般公共服务支出,地方财政外交支出,地方财政国防支出,地方财政公共安全支出,地方财政教育支出,地方财政科学技术支出,地方财政文化体育与传媒支出,地方财政社会保障和就业支出,地方财政医疗卫生支出,地方财政节能保护支出,地方财政城乡社区事务支出,地方财政农林水事务支出,地方财政交通运输支出,地方财政资源勘探电力信息等事务支出,地方财政商业服务业等事务支出,地方财政金融监管等事务支出,地方财政地震灾后重建支出,地方财政国土资源气象等事务支出,地方财政住房保障支出,地方财政粮油物资储备管理等事务,地方财政国债还本付息支出,地方财政其他支出
2019,203743.2212,18359.5,2.1128,225.5355,12062.4809,32961.0646,5954.6056,3777.4698,28147.5537,16417.6154,6969.008,24803.6284,22330.4597,10395.2263,4559.1393,1157.2845,671.6448,,1868.5255,5839.3529,693.058,3875.9123,1116.5557
2018,188196.32,16871.0054,2.9912,210.7616,11739.9696,30438.2398,5206.3756,3256.7317,25827.5446,15412.8998,5870.045,22037.7535,20493.2905,9969.0467,4694.9007,1533.6834,534.0323,,1919.9108,6299.9208,685.1063,3241.0713,1485.8965
2017,173228.34,15238.9012,2.0763,206.0217,10612.33,28604.788,4440.0163,3121.0077,23610.5695,14343.0292,5266.77,20561.546,18380.2491,9517.5647,4660.2073,1519.6598,294.8322,,2005.8,6131.8235,653.301,2495.376,1139.1872
2016,160351.36,13581.37,2.28,219.87,9290.07,26625.06,3877.86,2915.13,20700.87,13067.61,4439.33,18374.86,17808.29,9686.59,5465.41,1688.14,550.33,,1473.93,6338.77,738.03,1700.49,1467.16
2015,150335.62,12492.49,3.54,219.33,7795.79,24913.71,3384.18,2804.65,18295.62,11868.67,4402.48,15875.53,16641.71,11503.27,5663.56,1724.76,496.22,,1766.76,5395.84,777.01,681.68,3341.38
2014,129215.49,12217.0737,1.4547,234.3953,6879.4717,21788.094,2877.7923,2468.4839,15268.9425,10086.5577,3470.8994,12942.3136,13634.1615,9669.2584,4634.7307,1319.7759,258.7038,,1722.5629,4638.3132,778.3857,983.1006,3124.54
2013,119740.34,12753.6717,1.385,233.2482,6489.7471,20895.1118,2715.3118,2339.9391,13849.7246,8203.2021,3334.8908,11146.5081,12822.64,8625.8341,4445.3828,1336.5496,212.9663,42.794,1638.9112,4075.8187,744.2799,740.8012,2933.09
2012,107188.34,11702.1433,1.4395,210.5394,5928.1331,20140.6386,2242.2012,2074.7892,11999.8456,7170.8176,2899.8149,9060.925,11471.3918,7332.5665,3934.5323,1351.7058,249.6938,103.8125,1367.5919,4068.7141,731.0888,575.3291,2444.0726
2011,92733.68,10084.77,2.75,198.29,5267.26,15498.28,1885.88,1704.64,10606.92,6358.19,2566.79,7608.93,9520.99,7166.69,3547.26,1394.79,235.34,174.45,1289.74,3491.87,729.49,564.12,2836.25
2010,73884.43,8499.7437,1.17,157.02,4642.5,11829.0644,1588.8842,1392.5728,8680.3227,4730.6242,2372.4968,5977.29,7741.69,3998.89,2996.65,1273.35,148.88,1094.64,1153.99,1990.4,676.84,335.36,2602.06
2009,61044.14,8079.9996,1.23,126.0896,3898.2983,9869.9159,1310.7007,1238.3177,7851.854,3930.692,1896.1274,5103.7551,6401.7053,3578.3743,2370.89,,133.15,1043.8489,,,1437.19,170.58,2602.6499
2008,49248.49,7451.3722,1.566,79.8074,3411.1312,8518.5771,1051.8648,955.1314,6460.0065,2710.258,1385.1511,4191.8141,4235.6334,1440.7954,,,,735.8667,,,,,2527.0485
2007,38339.29,6354.073,1.4957,72.5878,2878.3267,6727.0585,858.4403,771.4251,5104.5296,1955.7472,961.2377,3238.4917,3091.0061,1133.127,,,,,,,,,2376.7076
2006,30431.33,,,,,,,,,,,,,,,,,,,,,,
2005,25154.31,,,,,,,,,,,,,,,,,,,,,,
2004,20592.81,,,,,,,,,,,,,,,,,,,,,,
2003,17229.85,,,,,,,,,,,,,,,,,,,,,,
2002,15281.45,,,,,,,,,,,,,,,,,,,,,,
2001,13134.56,,,,,,,,,,,,,,,,,,,,,,
2000,10366.65,,,,,,,,,,,,,,,,,,,,,,
