年份,人民检察院直接立案侦查案件结案人数,人民检察院直接立案侦查贪污贿赂案件结案人数,人民检察院直接立案侦查贪污案件结案人数,人民检察院直接立案侦查贿赂案件结案人数,人民检察院直接立案侦查挪用公款案件结案人数,人民检察院直接立案侦查集体私分案件结案人数,人民检察院直接立案侦查巨额财产来源不明案件结案人数,人民检察院直接立案侦查其他贪污贿赂案件结案人数,人民检察院直接立案侦查渎职案件结案人数,人民检察院直接立案侦查滥用职权案件结案人数,人民检察院直接立案侦查玩忽职守案件结案人数,人民检察院直接立案侦查徇私舞弊案件结案人数,人民检察院直接立案侦查其他渎职案件结案人数
2019,,,,,,,,,,,,,
2018,,,,,,,,,,,,,
2017,53751.0,,15680.0,21318.0,3921.0,583.0,5.0,,,4480.0,5839.0,781.0,1144.0
2016,43738.0,,12685.0,16157.0,3192.0,410.0,7.0,,,4212.0,4437.0,782.0,1856.0
2015,49387.0,,14680.0,18989.0,3132.0,383.0,3.0,,,4507.0,5033.0,883.0,1777.0
2014,50816.0,,14845.0,19106.0,3201.0,409.0,8.0,,,5024.0,5702.0,1024.0,1497.0
2013,49225.0,,15647.0,16808.0,3547.0,430.0,4.0,,,4718.0,5680.0,865.0,1526.0
2012,48013.0,36276.0,15144.0,16976.0,3607.0,516.0,8.0,25.0,11737.0,4153.0,5190.0,1130.0,1264.0
2011,43718.0,33314.0,14149.0,15136.0,3456.0,536.0,15.0,22.0,10404.0,3317.0,4796.0,1000.0,1291.0
2010,46253.0,35559.0,14991.0,15968.0,4037.0,517.0,16.0,30.0,10694.0,3298.0,4688.0,1162.0,1546.0
2009,41505.0,32025.0,13430.0,13707.0,4340.0,510.0,15.0,23.0,9480.0,2901.0,4075.0,1101.0,1403.0
2008,41338.0,32347.0,13598.0,13447.0,4711.0,544.0,15.0,32.0,8991.0,2727.0,3854.0,1132.0,1278.0
2007,39322.0,31214.0,13094.0,12611.0,4945.0,494.0,22.0,48.0,8108.0,2324.0,3347.0,958.0,1479.0
2006,37723.0,30256.0,12798.0,11475.0,5392.0,525.0,27.0,39.0,7467.0,2114.0,3021.0,982.0,1350.0
2005,38457.0,31109.0,14036.0,10365.0,6057.0,590.0,21.0,40.0,7348.0,1932.0,2747.0,994.0,1675.0
2004,40431.0,32493.0,15014.0,10325.0,6468.0,602.0,29.0,55.0,7938.0,2006.0,2700.0,1414.0,1818.0
2003,40639.0,32707.0,14979.0,10197.0,6936.0,512.0,19.0,64.0,7932.0,2014.0,2595.0,1587.0,1736.0
2002,44777.0,36142.0,16851.0,10561.0,8100.0,478.0,30.0,122.0,8635.0,2070.0,2698.0,1926.0,1941.0
2001,45910.0,37401.0,17349.0,9896.0,9573.0,427.0,24.0,132.0,8509.0,2003.0,2760.0,1860.0,1886.0
2000,45720.0,37868.0,17553.0,9530.0,10258.0,365.0,30.0,132.0,7852.0,1456.0,2440.0,1678.0,2278.0
