年份,人民检察院直接立案侦查案件结案件数,人民检察院直接立案侦查贪污贿赂案件结案件数,人民检察院直接立案侦查贪污案件结案件数,人民检察院直接立案侦查贿赂案件结案件数,人民检察院直接立案侦查挪用公款案件结案件数,人民检察院直接立案侦查集体私分案件结案件数,人民检察院直接立案侦查巨额财产来源不明案件结案件数,人民检察院直接立案侦查其他贪污贿赂案件结案件数,人民检察院直接立案侦查渎职案件结案件数,人民检察院直接立案侦查滥用职权案件结案件数,人民检察院直接立案侦查玩忽职守案件结案件数,人民检察院直接立案侦查徇私舞弊案件结案件数,人民检察院直接立案侦查其他渎职案件结案件数
2019,,,,,,,,,,,,,
2018,,,,,,,,,,,,,
2017,40254.0,,9476.0,18850.0,3181.0,242.0,4.0,,,3132.0,4021.0,590.0,758.0
2016,32574.0,,7848.0,14509.0,2557.0,181.0,7.0,,,2857.0,3101.0,593.0,921.0
2015,36949.0,,8843.0,17143.0,2532.0,172.0,2.0,,,3183.0,3411.0,641.0,1022.0
2014,37844.0,,8981.0,16914.0,2557.0,191.0,8.0,,,3598.0,4056.0,767.0,772.0
2013,35903.0,,9199.0,14778.0,2730.0,186.0,3.0,,,3401.0,4217.0,632.0,757.0
2012,34922.0,26783.0,8790.0,14989.0,2772.0,212.0,8.0,12.0,8139.0,2980.0,3851.0,816.0,492.0
2011,32006.0,24749.0,8412.0,13356.0,2733.0,223.0,14.0,11.0,7257.0,2452.0,3568.0,692.0,545.0
2010,34821.0,27091.0,9293.0,14302.0,3227.0,240.0,15.0,14.0,7730.0,2517.0,3654.0,829.0,730.0
2009,32560.0,25376.0,9089.0,12398.0,3608.0,257.0,13.0,11.0,7184.0,2319.0,3293.0,831.0,741.0
2008,33749.0,26435.0,9692.0,12350.0,4071.0,292.0,15.0,15.0,7314.0,2318.0,3269.0,911.0,816.0
2007,32534.0,25996.0,9663.0,11678.0,4281.0,331.0,20.0,23.0,6538.0,1949.0,2853.0,810.0,926.0
2006,31774.0,25697.0,9899.0,10736.0,4690.0,324.0,24.0,24.0,6077.0,1847.0,2578.0,838.0,814.0
2005,32616.0,26492.0,11077.0,9701.0,5268.0,402.0,19.0,25.0,6124.0,1703.0,2432.0,844.0,1145.0
2004,35138.0,28525.0,12434.0,9773.0,5831.0,430.0,28.0,29.0,6613.0,1753.0,2418.0,1204.0,1238.0
2003,37042.0,29986.0,13172.0,9861.0,6472.0,414.0,18.0,49.0,7056.0,1873.0,2402.0,1434.0,1347.0
2002,40776.0,33085.0,14858.0,10179.0,7569.0,354.0,26.0,99.0,7691.0,1908.0,2506.0,1759.0,1518.0
2001,41390.0,33900.0,15099.0,9503.0,8865.0,315.0,21.0,97.0,7490.0,1833.0,2513.0,1663.0,1481.0
2000,40770.0,34085.0,15129.0,9082.0,9472.0,257.0,30.0,115.0,6685.0,1347.0,2213.0,1492.0,1633.0
