年份,人民检察院直接立案侦查案件立案件数,人民检察院直接立案侦查贪污贿赂案件立案件数,人民检察院直接立案侦查贪污案件立案件数,人民检察院直接立案侦查贿赂案件立案件数,人民检察院直接立案侦查挪用公款案件立案件数,人民检察院直接立案侦查集体私分案件立案件数,人民检察院直接立案侦查巨额财产来源不明案件立案件数,人民检察院直接立案侦查其他贪污贿赂案件立案件数,人民检察院直接立案侦查渎职案件立案件数,人民检察院直接立案侦查滥用职权案件立案件数,人民检察院直接立案侦查玩忽职守案件立案件数,人民检察院直接立案侦查徇私舞弊案件立案件数,人民检察院直接立案侦查其他渎职案件立案件数,人民检察院直接立案侦查案件大案立案件数,人民检察院直接立案侦查贪污贿赂案件大案立案件数,人民检察院直接立案侦查贪污案件大案立案件数,人民检察院直接立案侦查贿赂案件大案立案件数,人民检察院直接立案侦查挪用公款案件大案立案件数,人民检察院直接立案侦查集体私分案件大案立案件数,人民检察院直接立案侦查巨额财产来源不明案件大案立案件数,人民检察院直接立案侦查其他贪污贿赂案件大案立案件数,人民检察院直接立案侦查渎职案件大案立案件数,人民检察院直接立案侦查滥用职权案件大案立案件数,人民检察院直接立案侦查玩忽职守案件大案立案件数,人民检察院直接立案侦查徇私舞弊案件大案立案件数,人民检察院直接立案侦查其他渎职案件大案立案件数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,34163.0,,8233.0,15570.0,2735.0,192.0,8.0,,,2880.0,3612.0,551.0,382.0,,,,,,,,,,,,,
2016,35397.0,,8374.0,15967.0,2793.0,197.0,6.0,,,3210.0,3337.0,602.0,911.0,,,,,,,,,,,,,
2015,40834.0,,9596.0,19402.0,2787.0,190.0,7.0,,,3639.0,3645.0,704.0,864.0,,,,,,,,,,,,,
2014,41487.0,,9424.0,19523.0,2670.0,184.0,11.0,,,3891.0,4156.0,827.0,801.0,,,,,,,,,,,,,
2013,37551.0,,9494.0,15940.0,2695.0,160.0,15.0,,,3650.0,4261.0,638.0,698.0,27681.0,,6865.0,13395.0,2237.0,,,,,2462.0,2187.0,270.0,265.0
2012,34326.0,26247.0,8499.0,14946.0,2607.0,180.0,15.0,,8079.0,2960.0,3812.0,792.0,515.0,24626.0,20442.0,6029.0,12326.0,2087.0,,,,4184.0,1817.0,1858.0,323.0,186.0
2011,32567.0,25212.0,8475.0,13915.0,2607.0,196.0,16.0,3.0,7355.0,2493.0,3615.0,718.0,529.0,22131.0,18464.0,5508.0,10927.0,2029.0,,,,3667.0,1404.0,1738.0,305.0,220.0
2010,32909.0,25560.0,8707.0,13796.0,2833.0,202.0,15.0,7.0,7349.0,2408.0,3457.0,736.0,748.0,21732.0,18224.0,5555.0,10586.0,2083.0,,,,3508.0,1352.0,1594.0,255.0,307.0
2009,32439.0,25408.0,8865.0,12897.0,3412.0,212.0,21.0,1.0,7031.0,2262.0,3216.0,809.0,744.0,21366.0,18191.0,5730.0,9875.0,2586.0,,,,3175.0,1168.0,1457.0,283.0,267.0
2008,33546.0,26306.0,9605.0,12471.0,3958.0,242.0,23.0,7.0,7240.0,2371.0,3229.0,891.0,749.0,20805.0,17594.0,5913.0,8805.0,2876.0,,,,3211.0,1120.0,1516.0,306.0,269.0
2007,33651.0,26780.0,9956.0,12226.0,4285.0,283.0,19.0,11.0,6871.0,2017.0,2958.0,839.0,1057.0,,,,,,,,,,,,,
2006,33668.0,27119.0,10337.0,11702.0,4703.0,323.0,39.0,15.0,6549.0,1975.0,2725.0,892.0,957.0,,,,,,,,,,,,,
2005,35028.0,28322.0,11792.0,10446.0,5636.0,406.0,24.0,18.0,6706.0,1883.0,2648.0,955.0,1220.0,,,,,,,,,,,,,
2004,37786.0,30548.0,13308.0,10572.0,6162.0,448.0,38.0,20.0,7238.0,1944.0,2590.0,1273.0,1431.0,,,,,,,,,,,,,
2003,39562.0,31953.0,14161.0,10553.0,6754.0,419.0,32.0,34.0,7609.0,2049.0,2545.0,1509.0,1506.0,,,,,,,,,,,,,
2002,43258.0,34716.0,15785.0,10725.0,7740.0,369.0,33.0,64.0,8542.0,2177.0,2720.0,1963.0,1682.0,18740.0,16826.0,7199.0,4871.0,4348.0,359.0,33.0,16.0,1914.0,540.0,826.0,319.0,229.0
2001,45266.0,36447.0,16362.0,10347.0,9283.0,341.0,25.0,89.0,8819.0,2168.0,2881.0,2052.0,1718.0,50292.0,40195.0,18718.0,10785.0,10095.0,470.0,27.0,100.0,10097.0,2392.0,3153.0,2323.0,2229.0
2000,45113.0,37183.0,16765.0,9872.0,10170.0,277.0,30.0,69.0,7930.0,1620.0,2625.0,1791.0,1894.0,18284.0,16121.0,6736.0,3658.0,5623.0,70.0,23.0,11.0,2163.0,524.0,1044.0,318.0,277.0
