年份,人民检察院直接立案侦查案件立案人数,人民检察院直接立案侦查贪污贿赂案件立案人数,人民检察院直接立案侦查贪污案件立案人数,人民检察院直接立案侦查贿赂案件立案人数,人民检察院直接立案侦查挪用公款案件立案人数,人民检察院直接立案侦查集体私分案件立案人数,人民检察院直接立案侦查巨额财产来源不明案件立案人数,人民检察院直接立案侦查其他贪污贿赂案件立案人数,人民检察院直接立案侦查渎职案件立案人数,人民检察院直接立案侦查滥用职权案件立案人数,人民检察院直接立案侦查玩忽职守案件立案人数,人民检察院直接立案侦查徇私舞弊案件立案人数,人民检察院直接立案侦查其他渎职案件立案人数,人民检察院直接立案侦查案件大案立案人数,人民检察院直接立案侦查贪污贿赂案件大案立案人数,人民检察院直接立案侦查贪污案件大案立案人数,人民检察院直接立案侦查贿赂案件大案立案人数,人民检察院直接立案侦查挪用公款案件大案立案人数,人民检察院直接立案侦查集体私分案件大案立案人数,人民检察院直接立案侦查巨额财产来源不明案件大案立案人数,人民检察院直接立案侦查其他贪污贿赂案件大案立案人数,人民检察院直接立案侦查渎职案件大案立案人数,人民检察院直接立案侦查滥用职权案件大案立案人数,人民检察院直接立案侦查玩忽职守案件大案立案人数,人民检察院直接立案侦查徇私舞弊案件大案立案人数,人民检察院直接立案侦查其他渎职案件大案立案人数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,46113.0,,13663.0,17606.0,3394.0,448.0,8.0,,,4077.0,5212.0,720.0,985.0,2996.0,,409.0,1970.0,85.0,68.0,2.0,,,296.0,129.0,16.0,21.0
2016,47650.0,,13729.0,17847.0,3494.0,475.0,6.0,,,4656.0,4782.0,805.0,1856.0,3349.0,,418.0,2178.0,84.0,70.0,2.0,,,364.0,149.0,33.0,51.0
2015,54249.0,,15820.0,21427.0,3443.0,435.0,8.0,,,5158.0,5384.0,955.0,1619.0,4568.0,,579.0,3145.0,103.0,71.0,3.0,,,409.0,168.0,33.0,57.0
2014,55101.0,,15546.0,21889.0,3331.0,380.0,11.0,,,5450.0,5851.0,1122.0,1521.0,4040.0,,439.0,2718.0,101.0,67.0,4.0,,,376.0,157.0,38.0,140.0
2013,51306.0,,16167.0,18101.0,3511.0,376.0,15.0,,,5043.0,5764.0,874.0,1455.0,2871.0,,370.0,1867.0,105.0,59.0,5.0,,,296.0,125.0,26.0,18.0
2012,47338.0,35648.0,14837.0,16919.0,3414.0,453.0,15.0,10.0,11690.0,4145.0,5139.0,1113.0,1293.0,2569.0,2260.0,360.0,1746.0,88.0,63.0,3.0,,309.0,200.0,56.0,35.0,18.0
2011,44506.0,33921.0,14366.0,15685.0,3365.0,480.0,17.0,8.0,10585.0,3398.0,4879.0,1033.0,1275.0,2524.0,2216.0,343.0,1682.0,109.0,77.0,5.0,,308.0,157.0,80.0,49.0,22.0
2010,44085.0,33858.0,14370.0,15422.0,3603.0,431.0,17.0,15.0,10227.0,3168.0,4457.0,1050.0,1552.0,2723.0,2387.0,406.0,1810.0,113.0,52.0,5.0,1.0,336.0,188.0,79.0,43.0,26.0
2009,41531.0,32176.0,13294.0,14253.0,4152.0,446.0,23.0,8.0,9355.0,2853.0,4020.0,1098.0,1384.0,2670.0,2364.0,397.0,1755.0,136.0,71.0,4.0,1.0,306.0,164.0,82.0,40.0,20.0
2008,41179.0,32240.0,13613.0,13528.0,4607.0,452.0,26.0,14.0,8939.0,2790.0,3810.0,1114.0,1225.0,2687.0,2380.0,465.0,1684.0,158.0,66.0,6.0,1.0,307.0,163.0,90.0,36.0,18.0
2007,40753.0,32210.0,13529.0,13191.0,4998.0,444.0,20.0,28.0,8543.0,2419.0,3486.0,991.0,1647.0,2706.0,2380.0,462.0,1650.0,196.0,67.0,4.0,1.0,326.0,144.0,99.0,42.0,41.0
2006,40041.0,31949.0,13406.0,12525.0,5433.0,511.0,42.0,32.0,8092.0,2286.0,3191.0,1054.0,1561.0,2736.0,2435.0,529.0,1598.0,218.0,77.0,10.0,3.0,301.0,158.0,105.0,26.0,12.0
2005,41447.0,33366.0,15005.0,11225.0,6480.0,604.0,25.0,27.0,8081.0,2161.0,3022.0,1129.0,1769.0,2799.0,2503.0,591.0,1527.0,289.0,91.0,5.0,,296.0,133.0,94.0,46.0,23.0
2004,43757.0,35031.0,16119.0,11266.0,6923.0,639.0,40.0,44.0,8726.0,2231.0,2892.0,1503.0,2100.0,2960.0,2626.0,691.0,1545.0,277.0,98.0,14.0,1.0,334.0,151.0,111.0,49.0,23.0
2003,43490.0,34922.0,16162.0,10922.0,7249.0,515.0,32.0,42.0,8568.0,2208.0,2743.0,1656.0,1961.0,2728.0,2389.0,632.0,1378.0,289.0,76.0,12.0,2.0,339.0,141.0,126.0,39.0,33.0
2002,47699.0,38022.0,17953.0,11165.0,8302.0,488.0,37.0,77.0,9677.0,2375.0,2978.0,2174.0,2150.0,2925.0,2546.0,732.0,1391.0,359.0,51.0,10.0,3.0,379.0,120.0,172.0,59.0,28.0
2001,18994.0,16627.0,6932.0,4248.0,5082.0,331.0,25.0,19.0,2367.0,613.0,1117.0,318.0,319.0,3013.0,2670.0,696.0,1378.0,504.0,73.0,10.0,9.0,343.0,90.0,188.0,41.0,24.0
2000,50784.0,41377.0,19428.0,10367.0,11068.0,393.0,32.0,89.0,9407.0,1788.0,2914.0,2048.0,2657.0,2872.0,2556.0,683.0,1279.0,540.0,43.0,8.0,3.0,316.0,83.0,188.0,33.0,12.0
