年份,人民检察院直接立案侦查案件受案数,人民检察院直接立案侦查贪污贿赂案件受案数,人民检察院直接立案侦查贪污案件受案数,人民检察院直接立案侦查贿赂案件受案数,人民检察院直接立案侦查挪用公款案件受案数,人民检察院直接立案侦查集体私分案件受案数,人民检察院直接立案侦查巨额财产来源不明案件受案数,人民检察院直接立案侦查其他贪污贿赂案件受案数,人民检察院直接立案侦查渎职案件受案数,人民检察院直接立案侦查滥用职权案件受案数,人民检察院直接立案侦查玩忽职守案件受案数,人民检察院直接立案侦查徇私舞弊案件受案数,人民检察院直接立案侦查其他渎职案件受案数
2019,,,,,,,,,,,,,
2018,,,,,,,,,,,,,
2017,44037.0,,13435.0,18013.0,2670.0,211.0,215.0,,,3943.0,3579.0,998.0,973.0
2016,65039.0,,18222.0,26832.0,3589.0,363.0,260.0,,,6496.0,5621.0,1718.0,1938.0
2015,74169.0,,21475.0,31445.0,3636.0,344.0,312.0,,,7046.0,5871.0,1907.0,2133.0
2014,63341.0,,18519.0,26166.0,3067.0,289.0,248.0,,,6015.0,5853.0,1583.0,1601.0
2013,49044.0,,14381.0,18885.0,2839.0,212.0,129.0,,,4945.0,5454.0,1164.0,1035.0
2012,46964.0,35127.0,13460.0,18472.0,2826.0,253.0,113.0,3.0,11837.0,4327.0,5175.0,1457.0,878.0
2011,46833.0,35852.0,14579.0,18023.0,2813.0,290.0,136.0,11.0,10981.0,3815.0,4825.0,1390.0,951.0
2010,49969.0,38350.0,16185.0,18458.0,3188.0,322.0,182.0,15.0,11619.0,3871.0,4766.0,1669.0,1313.0
2009,51868.0,39279.0,17019.0,17794.0,3910.0,375.0,157.0,24.0,12589.0,4148.0,4996.0,1926.0,1519.0
2008,51961.0,39077.0,17102.0,16840.0,4539.0,421.0,151.0,24.0,12884.0,4300.0,4970.0,2121.0,1493.0
2007,53978.0,41175.0,18164.0,17264.0,5037.0,529.0,164.0,17.0,12803.0,3933.0,4623.0,2292.0,1955.0
2006,57867.0,45057.0,20477.0,17889.0,5793.0,687.0,188.0,23.0,12810.0,3911.0,4323.0,2510.0,2066.0
2005,63053.0,48722.0,24382.0,16224.0,7013.0,847.0,212.0,44.0,14331.0,4125.0,4353.0,3274.0,2579.0
2004,68813.0,53418.0,27795.0,16637.0,7691.0,1013.0,227.0,55.0,15395.0,4072.0,4150.0,3882.0,3291.0
2003,71032.0,55333.0,29276.0,16476.0,8272.0,1023.0,193.0,93.0,15699.0,4047.0,4029.0,4354.0,3269.0
2002,86187.0,67935.0,36821.0,18698.0,10028.0,988.0,214.0,1186.0,18252.0,4408.0,4118.0,5754.0,3972.0
2001,97240.0,76530.0,41511.0,19688.0,12562.0,962.0,251.0,1556.0,20710.0,4592.0,4669.0,6578.0,4871.0
2000,104427.0,83461.0,44874.0,20771.0,14958.0,901.0,281.0,1676.0,20966.0,3808.0,4497.0,6593.0,6068.0
