年份,农村传染病(不含呼吸道结核)粗死亡率,农村呼吸道结核粗死亡率,农村寄生虫病粗死亡率,农村恶性肿瘤粗死亡率,"农村血液,造血器官及免疫疾病粗死亡率","农村内分泌,营养和代谢疾病粗死亡率",农村精神障碍粗死亡率,农村神经系统疾病粗死亡率,农村心脏病粗死亡率,农村脑血管病粗死亡率,农村呼吸系统疾病粗死亡率,农村消化系统疾病粗死亡率,农村肌肉骨骼和结缔组织疾病粗死亡率,农村泌尿生殖系统疾病粗死亡率,"农村妊娠,分娩产褥期并发症粗死亡率",农村围生期疾病粗死亡率,"农村先天畸形,变形和染色体异常粗死亡率",农村诊断不明粗死亡率,农村其他疾病粗死亡率,农村损伤和中毒外部原因粗死亡率,农村男性传染病(不含呼吸道结核)粗死亡率,农村男性呼吸道结核粗死亡率,农村男性寄生虫病粗死亡率,农村男性恶性肿瘤粗死亡率,"农村男性血液,造血器官及免疫疾病粗死亡率","农村男性内分泌,营养和代谢疾病粗死亡率",农村男性精神障碍粗死亡率,农村男性神经系统疾病粗死亡率,农村男性心脏病粗死亡率,农村男性脑血管病粗死亡率,农村男性呼吸系统疾病粗死亡率,农村男性消化系统疾病粗死亡率,农村男性肌肉骨骼和结缔组织疾病粗死亡率,农村男性泌尿生殖系统疾病粗死亡率,农村男性围生期疾病粗死亡率,"农村男性先天畸形,变形和染色体异常粗死亡率",农村男性诊断不明粗死亡率,农村男性其他疾病粗死亡率,农村男性损伤和中毒外部原因粗死亡率,农村女性传染病(不含呼吸道结核)粗死亡率,农村女性呼吸道结核粗死亡率,农村女性寄生虫病粗死亡率,农村女性恶性肿瘤粗死亡率,"农村女性血液,造血器官及免疫疾病粗死亡率","农村女性内分泌,营养和代谢疾病粗死亡率",农村女性精神障碍粗死亡率,农村女性神经系统疾病粗死亡率,农村女性心脏病粗死亡率,农村女性脑血管病粗死亡率,农村女性呼吸系统疾病粗死亡率,农村女性消化系统疾病粗死亡率,农村女性肌肉骨骼和结缔组织疾病粗死亡率,农村女性泌尿生殖系统疾病粗死亡率,"农村女性妊娠,分娩产褥期并发症粗死亡率",农村女性围生期疾病粗死亡率,"农村女性先天畸形,变形和染色体异常粗死亡率",农村女性诊断不明粗死亡率,农村女性其他疾病粗死亡率,农村女性损伤和中毒外部原因粗死亡率
2019,,,0.065795832,160.9640204,1.315368344,17.796676,2.856087414,8.59622547,164.657908,158.6337513,74.60973216,14.49208033,2.04241229,7.282502021,0.07073052,1.345524767,1.360877128,2.256797043,6.20893336,51.08498067,,,0.083082758,206.6365299,1.347667073,16.12452901,2.723388064,8.607157918,167.6297145,175.1783765,85.39396916,18.48753213,1.676761114,8.534865129,1.634680237,1.479304689,2.929476463,4.920225662,66.48562826,,,0.047935594,113.7768045,1.281998444,19.52427892,2.993187672,8.584930452,161.587543,141.5404317,63.46784124,10.36412134,2.420190107,5.988604907,0.143806782,1.046779599,1.238521975,1.56180854,7.540380415,35.17357819
2018,7.26,,0.08,158.61,1.19,17.01,2.81,8.39,162.12,160.19,77.67,14.57,1.96,7.44,0.07,1.58,1.48,2.24,6.17,51.48,10.02,,0.09,202.86,1.2,15.36,2.7,8.29,166.0,176.06,87.83,18.42,1.65,8.73,1.91,1.63,2.78,4.96,67.63,4.4,,0.07,112.71,1.18,18.72,2.92,8.49,158.1,143.73,67.13,10.58,2.29,6.09,0.15,1.24,1.32,1.67,7.43,34.74
2017,7.4344828885,,0.0757540775,156.7012084836,1.2137362864,16.3355869986,2.7778351813,7.574850738,154.399064348,157.4754597172,78.5670046765,14.408871159,1.774093654,7.5592543103,0.1097320094,1.881040587,1.699453607,2.0832371322,6.0380455916,52.92090734,10.1580373765,,0.0996637629,200.7994829926,1.2923432997,14.497244286,2.7402058777,7.5963501071,157.8641148771,173.972407463,88.1816212837,18.4126064015,1.5070037121,8.9303112418,2.3032186095,1.9691807227,2.5375927333,4.9634744356,70.4283290062,4.6156663196,,0.0510081003,111.0605035189,1.1323798264,18.2382296372,2.8167806494,7.552599383,150.8128163452,140.4014963192,68.6160965106,10.2650968051,2.0505256317,6.1402417616,0.2233021279,1.4440959949,1.4202922148,1.6129894825,7.1502021474,34.8011265581
2016,,,0.0731692198,155.8322875949,1.1536914186,15.7166349648,2.847360335,7.5364296358,151.1789520991,158.152716107,81.7243464447,14.3128069112,1.6772200221,7.3838519604,0.1196798866,2.1185041537,1.7379107702,2.1077272918,6.1728730132,54.4844101718,,,0.091163972,199.4056242434,1.2095902631,13.8958352006,2.7816129028,7.4265284535,154.0715597602,173.8096714613,90.5436123217,18.3984460145,1.3785771381,8.6116600899,2.5892791569,1.9122199012,2.4391921298,4.9940068582,72.5353925777,,,0.0544259728,110.4465107966,1.0954674525,17.6131711966,2.9158425426,7.6509021759,148.1660259437,141.8445071033,72.5382417439,10.0572249732,1.9882850062,6.1049729486,0.2443378779,1.6281471862,1.5563512221,1.7624751191,7.4007743009,35.6825941651
2015,7.7187077076,,0.0652769049,153.9441282259,1.1623869916,14.2841900945,2.8343919253,6.5059315263,144.7858929829,153.634921834,79.9602003275,14.1605075378,1.5431689371,7.1982102813,0.1024961929,2.1902119423,1.7796545664,2.4141002741,6.1658044952,53.4875523499,10.55037853,,0.076500932,198.0744130415,1.1902645004,12.5236525694,2.6606574135,6.6375808623,148.2216807106,169.2718121539,88.47445284,18.1959716724,1.2656404187,8.3926022429,2.6145318515,2.0250246699,2.7202831398,5.1458126889,72.1212536172,4.7835157668,,0.0536425464,108.2005144857,1.133490328,16.1090899079,3.0144778784,6.3694693121,141.2244986396,137.426373127,71.1346810759,9.9775136276,1.830843431,5.9601533603,0.208739474,1.7503796114,1.525314145,2.0967238783,7.223085485,34.1726343319
2014,7.8964388046,,0.0509709246,152.5878340964,1.102246244,13.1284883697,2.6974044974,6.655180948,143.7154179291,151.9095732704,80.0174010103,14.5133915592,1.625277436,7.0930675274,0.1390116125,2.4355992939,2.1013922088,2.5769277666,6.4368168734,55.2895520083,10.847568387,,0.0555297588,196.321495726,1.2137218703,11.7711755992,2.6994262325,6.8120281628,148.6996279076,168.99972115,88.5416337313,18.8631190766,1.3735115843,8.1730738829,2.9294780903,2.3537818157,2.8490166031,5.365987914,75.3221513625,4.8112423795,,0.0462049871,106.8673962955,0.9857063924,14.5474624914,2.6952909168,6.4912083224,138.5047803147,134.0430371969,71.1059209878,9.9660603044,1.8884807567,5.9639975716,0.2843383824,1.9192840814,1.8375367965,2.2924782084,7.5562925133,34.3468918551
2013,7.9395308,,0.057348136,146.6525645,1.163529955,11.76082825,2.717664435,6.805312114,143.5226307,150.1680052,75.32040435,15.18833516,1.595552578,6.955054469,0.152291161,2.497192713,2.126341435,2.032672813,7.662348144,57.13531049,10.7821237,,0.062367675,189.1611591,1.196212012,10.50521122,2.680562684,6.983932278,149.3705823,166.9370617,82.35277315,19.67076478,1.32718413,8.175154876,2.906333668,2.364982247,2.29513045,6.581037096,78.19908598,4.970918887,,0.052106068,102.2594611,1.129399024,13.07210981,2.756410997,6.618773287,137.4154252,132.6555359,67.97627366,10.50718861,1.875818448,5.680864063,0.311333756,2.069913551,1.8771211,1.758579795,8.791596323,35.13772695
2012,5.68875543230759,2.08283951754969,0.049901363441295,151.467995040309,0.993688019830998,10.6615347804575,3.09605415785772,6.25936667513631,119.498578070419,135.946501385569,103.89897793377,16.786384736752,1.39723817635625,6.61518509271771,0.151873714821332,2.72070911979928,2.11104463601651,2.08717876654458,29.3398320789838,58.8619126157532,7.77924524027459,3.1185332374522,0.046991596728732,198.646295262366,1.02954316469312,9.92377083644034,3.14416501748605,6.60445532205629,123.506732093124,150.620883405602,114.527065154597,21.9493476356567,1.1918777715742,7.71516579018995,3.28513980767224,2.35385179977556,2.33249198308068,29.9122872995072,78.9159787608964,3.53135919843828,1.01399827171137,0.052904257654506,102.779746558292,0.956685325918985,11.4229109652354,3.04640350327198,5.9032334166153,115.362142503788,120.802463665927,92.9307372582778,11.4581804703384,1.60917117032456,5.47999935537926,0.30419948151341,2.13821374686962,1.86046639418346,1.83401426535621,28.7490553470862,38.1660132095883
2011,4.52888148994045,2.09167059657474,0.131305312780573,150.826035947284,0.879975955827698,10.5574078679538,3.15363110871235,4.84677856298816,123.689604639299,138.681446316071,84.9729661848594,13.8400406874681,1.32457113769876,6.50306838560626,0.177377352352703,2.27135155090605,1.89356082641457,2.16538585989015,8.82509918004165,56.5004457292826,5.95446109409756,3.00875946358334,0.18016523734032,196.393621093749,0.909834448568614,9.29202211582698,2.90966858304616,4.92751924125774,128.129012665502,150.694708642377,92.1815436851745,17.8633832822927,1.07648729310841,7.69305563443165,2.78805704784145,2.15297458621682,2.47727201342939,7.03995664907299,75.3901435650567,3.036527576813,1.13162518390547,0.080156783859971,103.124059988319,0.8487188879291,11.8820644310074,3.40902086651522,4.76225598226884,119.042254241922,126.105481431465,77.4267381037986,9.62824427306235,1.58427525746765,5.25734200022748,0.363063079836337,1.73044351038878,1.62199609693117,1.83889092384638,10.6938579879067,36.7259523226653
2010,4.13318537028684,2.12064842942282,0.020790670876694,144.108456114719,0.898156981873196,10.3329634257171,2.98554033789331,3.83795784383778,111.338200678874,145.709337772225,88.2522397373922,14.761376322453,0.877366310996502,6.31204767816441,0.133060293610844,2.51151304190468,2.14143910029952,4.56978945869742,12.6448860272055,52.9288899178885,5.29612411576693,2.98567980105447,0.008135367305326,187.251749266678,0.984379443944391,8.98958087238472,2.79043098572666,3.97819461230419,115.538486470233,159.266085736358,95.362775553026,19.2645497790109,0.715912322868648,7.30555984018234,2.9938151683598,2.48128702812429,5.10087530043911,10.5515713950072,71.7539396329713,2.91735135116745,1.21627184611354,0.034021590101078,99.0028271941374,0.808012764900606,11.737448584872,3.18952407197608,3.69134252596698,106.946868482739,131.535972728293,80.8182872851111,10.0533798748686,1.04616389560815,5.27334646566711,0.272172720808625,2.00727381596361,1.7861334803066,4.01454763192722,14.8334132840701,33.2475989262786
