年份,农村传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,农村呼吸道结核死亡人数占总死亡人数的比重,农村寄生虫病死亡人数占总死亡人数的比重,农村恶性肿瘤死亡人数占总死亡人数的比重,"农村血液,造血器官及免疫疾病死亡人数占总死亡人数的比重","农村内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",农村精神障碍死亡人数占总死亡人数的比重,农村神经系统疾病死亡人数占总死亡人数的比重,农村心脏病死亡人数占总死亡人数的比重,农村脑血管病死亡人数占总死亡人数的比重,农村呼吸系统疾病死亡人数占总死亡人数的比重,农村消化系统疾病死亡人数占总死亡人数的比重,农村肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,农村泌尿生殖系统疾病死亡人数占总死亡人数的比重,"农村妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",农村围生期疾病死亡人数占总死亡人数的比重,"农村先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",农村诊断不明死亡人数占总死亡人数的比重,农村其他疾病死亡人数占总死亡人数的比重,农村损伤和中毒外部原因死亡人数占总死亡人数的比重,农村男性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,农村男性呼吸道结核死亡人数占总死亡人数的比重,农村男性寄生虫病死亡人数占总死亡人数的比重,农村男性恶性肿瘤死亡人数占总死亡人数的比重,"农村男性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重","农村男性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",农村男性精神障碍死亡人数占总死亡人数的比重,农村男性神经系统疾病死亡人数占总死亡人数的比重,农村男性心脏病死亡人数占总死亡人数的比重,农村男性脑血管病死亡人数占总死亡人数的比重,农村男性呼吸系统疾病死亡人数占总死亡人数的比重,农村男性消化系统疾病死亡人数占总死亡人数的比重,农村男性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,农村男性泌尿生殖系统疾病死亡人数占总死亡人数的比重,农村男性围生期疾病死亡人数占总死亡人数的比重,"农村男性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",农村男性诊断不明死亡人数占总死亡人数的比重,农村男性其他疾病死亡人数占总死亡人数的比重,农村男性损伤和中毒外部原因死亡人数占总死亡人数的比重,农村女性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,农村女性呼吸道结核死亡人数占总死亡人数的比重,农村女性寄生虫病死亡人数占总死亡人数的比重,农村女性恶性肿瘤死亡人数占总死亡人数的比重,"农村女性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重","农村女性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",农村女性精神障碍死亡人数占总死亡人数的比重,农村女性神经系统疾病死亡人数占总死亡人数的比重,农村女性心脏病死亡人数占总死亡人数的比重,农村女性脑血管病死亡人数占总死亡人数的比重,农村女性呼吸系统疾病死亡人数占总死亡人数的比重,农村女性消化系统疾病死亡人数占总死亡人数的比重,农村女性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,农村女性泌尿生殖系统疾病死亡人数占总死亡人数的比重,"农村女性妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",农村女性围生期疾病死亡人数占总死亡人数的比重,"农村女性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",农村女性诊断不明死亡人数占总死亡人数的比重,农村女性其他疾病死亡人数占总死亡人数的比重,农村女性损伤和中毒外部原因死亡人数占总死亡人数的比重
2019,,,0.009512734,23.27211096,0.190175407,2.573035997,0.412931928,1.242838695,23.8061717,22.93520163,10.78704397,2.095258933,0.295291117,1.052901106,0.010226189,0.19453541,0.196755048,0.326286776,0.897684997,7.38584521,,,0.010524273,26.17509656,0.170711906,2.042528996,0.344977462,1.090287326,21.23401882,22.19022418,10.81703893,2.341855716,0.21239896,1.081129842,0.207068484,0.187386727,0.371083125,0.623255636,8.42187846,,,0.008115887,19.26334167,0.217052801,3.30561978,0.506771104,1.453498797,27.35808994,23.96395036,10.74562356,1.754730336,0.409757939,1.013919691,0.024347662,0.17722833,0.209691879,0.264426933,1.27664795,5.955173878
2018,1.05,,0.01,22.96,0.17,2.46,0.41,1.21,23.47,23.19,11.24,2.11,0.28,1.08,0.01,0.23,0.21,0.32,0.89,7.45,1.27,,0.01,25.76,0.15,1.95,0.34,1.05,21.08,22.36,11.15,2.34,0.21,1.11,0.24,0.21,0.35,0.63,8.59,0.75,,0.01,19.09,0.2,3.17,0.49,1.44,26.78,24.34,11.37,1.79,0.39,1.03,0.03,0.21,0.22,0.28,1.26,5.88
2017,1.0944954595,,0.0111524225,23.0693598674,0.1786847686,2.4049050978,0.408949491,1.1151602423,22.7304410291,23.1833441851,11.5665381405,2.1212563532,0.2611798935,1.1128641553,0.0161546119,0.2769244899,0.2501914773,0.3066916175,0.888913672,7.7909511212,1.3069086503,,0.0128225,25.8343783906,0.1662697798,1.8651805718,0.3525482957,0.9773281292,20.3104172244,22.3828713946,11.3452352436,2.3689216418,0.193887472,1.1489523595,0.2963265651,0.2533500542,0.326480576,0.6385886796,9.0611393707,0.7987822102,,0.0088274065,19.2200103575,0.1959684253,3.1562882521,0.487469006,1.3070446628,26.0995025266,24.297730768,11.8746272873,1.7764665265,0.3548617432,1.0626235837,0.0386444242,0.2499136876,0.2457942312,0.2791422115,1.2374062333,6.0226452403
2016,,,0.0107627359,22.9219576499,0.1697008126,2.3118189858,0.4188289476,1.1085617981,22.2374810192,23.2632782126,12.0211416843,2.1053246342,0.2467086052,1.0861185736,0.0176041649,0.3116187489,0.2556358357,0.3100335397,0.9079911228,8.0143169417,,,0.0117610274,25.7252394516,0.1560487538,1.7926961151,0.3588547628,0.9580934514,19.8767100104,22.4231158691,11.6809950403,2.3735761268,0.1778496826,1.1109868076,0.3340418635,0.246694721,0.3146791965,0.6442748179,9.3577618478,,,0.009374464,19.0235797687,0.1886860193,3.0337361029,0.5022319202,1.3178102848,25.5204822065,24.4316481903,12.4941658921,1.7322812658,0.3424671196,1.051535617,0.0420853595,0.2804360921,0.2680697779,0.303573067,1.2747276419,6.1460581376
2015,1.1642971894,,0.0098464302,23.2210782705,0.175335556,2.154640778,0.4275423656,0.9813608803,21.8396413826,23.1744372851,12.0612724352,2.1359843839,0.2327730657,1.0857848641,0.0154606229,0.3303736461,0.2684447823,0.3641451744,0.9300557964,8.068113113,1.3884282838,,0.0100675115,26.0665640175,0.1566386356,1.6481108611,0.3501421296,0.8735046784,19.5059516759,22.2761459197,11.6432251569,2.394587232,0.1665580955,1.1044652375,0.3440720123,0.2664929527,0.3579888665,0.6771882032,9.4911465119,0.8504374508,,0.0095368412,19.2364307335,0.2015176017,2.8639548866,0.5359290127,1.132396235,25.1076004478,24.432350624,12.6466807646,1.7738524692,0.3254965377,1.05962599,0.0371107518,0.3111912759,0.2711780072,0.3727660986,1.2841564042,6.0753825103
2014,1.1913229951,,0.0076899012,23.0206805912,0.1662941143,1.98067388,0.4069530689,1.0040564229,21.6821134645,22.9183524736,12.0720963195,2.1896119921,0.2452029872,1.0701196653,0.0209724579,0.3674549398,0.3170336556,0.3887769387,0.9711121869,8.3414455966,1.417622535,,0.0072569478,25.6564205475,0.1586161445,1.5383248299,0.352776523,0.8902349622,19.4329213658,22.0858541353,11.5711291959,2.465140733,0.179498382,1.0681042335,0.382841021,0.3076057256,0.3723258518,0.7012581178,9.8435313197,0.8656209301,,0.0083130304,19.2271865934,0.1773446476,2.6173256342,0.4849267707,1.1678741876,24.919267686,24.1165273701,12.793114253,1.7930567013,0.3397684714,1.0730203797,0.0511571099,0.3453104917,0.3306028226,0.4124541984,1.359500195,6.1795657188
2013,1.211645017,,0.00875185,22.38052266,0.177565313,1.794809958,0.414740449,1.038552872,21.90286613,22.91701107,11.4945826,2.317878863,0.243495917,1.061404925,0.023241024,0.381094448,0.324499151,0.310204463,1.169344409,8.719370956,1.424721657,,0.008241102,24.99526137,0.15806433,1.388131165,0.35420255,0.922838565,19.7374385,22.0586272,10.88188029,2.599243467,0.175370644,1.080243607,0.384035338,0.312502575,0.303272541,0.869601048,10.33302292,0.905039619,,0.009486788,18.61805952,0.20562614,2.379998055,0.50185111,1.205059304,25.0187957,24.15217757,12.37622706,1.913010893,0.341524385,1.034297112,0.056683561,0.376862672,0.341761554,0.320179111,1.600658383,6.397415799
2012,0.862304279620744,0.315717814048785,0.007564072628252,22.959591408529,0.150623707119108,1.61608056066222,0.4693013756746,0.948797805761192,18.1136518356031,20.6068359484196,15.7490569574669,2.54448825759943,0.21179403359106,1.00273293232786,0.023021090607724,0.412406394601225,0.319993159447362,0.31637555949472,4.44734583268929,8.92231697410785,1.01476168982062,0.406796284222434,0.00612980702253,25.9123660497852,0.13429849931179,1.29450379212153,0.410139815325632,0.861516514257374,16.11080462076,19.6477032727597,14.9394542242729,2.8631771347053,0.155474196298711,1.00640286206262,0.428529236393222,0.307047606310358,0.304261330391026,3.90190079743217,10.294175011563,0.642764287663098,0.184564027668555,0.009629427530533,18.7075703349436,0.174132147843811,2.07915389430098,0.554494535299876,1.07448362194868,20.9977691826221,21.9879953136786,16.914891909676,2.08557351265467,0.292895087387055,0.997448201704409,0.055369208300567,0.389189362692388,0.338634868157088,0.333820154391821,5.23279141055064,6.94682951098557
2011,0.709176367040253,0.32753415120679,0.020561064558136,23.6178094891117,0.137795204582592,1.65318173456026,0.493826269826097,0.758955786496791,19.3685228137637,21.7160913776995,13.3058945325604,2.16720834851365,0.207414247735578,1.01831377627397,0.027775473175025,0.35567034481266,0.296512194154165,0.339077204993814,1.38191997056521,8.84739000732263,0.81099816574545,0.409793324294978,0.024538522412873,26.7488298192124,0.123919538185008,1.26557429344392,0.396297136967897,0.671128587992074,17.4511836769749,20.5246336091872,12.5551349925464,2.43299449723635,0.146617671416916,1.04779490702967,0.379733634339208,0.293235342833831,0.337404683177003,0.958842763283009,10.2681447036667,0.563853818270965,0.210131857740732,0.014884339923302,19.1491410860315,0.157598893305549,2.20638450627769,0.633022221443956,0.884304901325582,22.1049958849178,23.4165688969829,14.3773968165024,1.78787188961073,0.294184600837025,0.976237589087152,0.067417304358485,0.32132663246187,0.30118899609505,0.34146426882869,1.98574605564992,6.81965433309401
2010,0.662927418117793,0.340133785955809,0.003334644960351,23.1137580781774,0.144056662287166,1.65731854529448,0.478855016306414,0.615575459680808,17.8576906916721,23.3705257401244,14.1549009276982,2.36759792184926,0.140722017326815,1.01239820996259,0.021341727746247,0.402825111210409,0.34346843091616,0.732954962285166,2.02813106488552,8.48933914006176,0.739260285483926,0.416756566470969,0.001135576475398,26.1375637342297,0.137404753523126,1.2548120053145,0.389502731061423,0.555296896469493,16.1274571035986,22.2311806588615,13.3112274446123,2.68904509374184,0.099930729835001,1.01974767490717,0.417892142946367,0.346350824996309,0.71200645007438,1.47284268859086,10.015784513008,0.554298642533937,0.23109243697479,0.006464124111183,18.8106011635423,0.153522947640595,2.23012281835811,0.6060116354234,0.701357466063348,20.3199741435036,24.991919844861,15.3555268261151,1.91014867485456,0.198771816418875,1.00193923723335,0.051712992889464,0.381383322559793,0.339366515837104,0.762766645119586,2.81835811247576,6.31706528765352
2009,0.759871857973042,0.345828044452504,,24.2610677926586,0.155428334585395,1.71575611567322,0.468875475999275,0.774551200683885,17.2098023469679,23.1855900664024,14.9642946575827,2.21873947620651,0.19773938122253,1.10008721256552,,0.377345456743431,0.335466155480144,0.426564429362139,1.1687347270074,8.24892711274599,0.892665804544615,0.456678366894513,,27.4930722335119,0.147792351745797,1.2976168483281,0.358396452983558,0.724182523554406,15.6637723997783,21.7735082209496,13.960465545908,2.4526140772215,0.148531313504526,1.11287640864585,0.396822464437465,0.322187326805838,0.399778311472381,0.806207278773323,9.55699242564197,0.57325039203265,0.190044966923868,,19.7189826882536,0.166159533922507,2.30338653900076,0.624136749296418,0.845336628830756,19.3825096320605,25.1700538979988,16.3750220680631,1.89006469836852,0.266893751363027,1.08211396467033,0.06957930483005,0.349973518324281,0.354127506672344,0.464208197896005,1.67821129261732,6.41064251814774
2008,0.76,,,25.39,,1.79,,0.71,14.11,21.73,16.88,2.65,,0.92,,,,,,8.59,0.88,,,29.32,,,,0.63,12.63,20.17,15.84,2.96,,1.39,,,,,9.69,,,,20.06,,2.33,0.92,0.81,16.12,23.85,18.3,2.22,,0.89,,,,,,7.1
2007,,,,24.8,,2.69,,,14.8,20.59,17.24,1.52,,1.22,,,,,,8.96,,,,28.05,,,,,13.28,19.64,15.83,2.96,,1.16,,,,,10.33,,,,21.92,,1.17,,,16.92,19.22,20.26,2.31,,2.02,,,,,,7.05
2006,,,,25.14,,3.28,,,13.87,20.36,16.4,1.57,,1.28,,,,,,8.9,,,,28.93,,0.73,,,12.31,19.31,15.06,3.52,,1.21,,,,,10.31,,,,20.03,,2.06,0.9,,15.98,18.2,21.79,2.96,,1.2,,,,,,7.01
2005,,,,20.29,,3.24,,,11.77,21.17,23.45,1.17,,1.32,,,,,,8.47,,,,23.05,,0.67,,,10.35,20.6,21.2,3.85,,0.91,,,,,9.89,,,,21.95,,1.54,0.54,,13.75,26.6,15.93,2.39,,1.39,,,,,,6.49
2004,,,,23.7,,1.61,,,12.54,14.85,13.3,2.52,,2.52,,0.68,,,,6.63,,,,24.6,,1.98,,,11.84,15.06,13.32,3.43,,1.66,0.655,,,,7.94,,,,20.83,,2.24,0.69,,14.32,15.63,14.22,3.37,,1.65,,0.72,,,,5.49
2003,,,,25.28,,1.892955094,,,12.02831,23.74607,18.71799,2.780046,,3.56,,1.11,,,,5.690001,,,,23.33248,,1.835522,,,14.872,20.93715,18.20521,3.412486,,1.601356,0.8,,,,8.197041,,,,21.34795,,2.723508,0.477467,,18.04304,21.34633,18.50102,3.023955,,1.703614,,0.81,,,,4.987414
2002,,,,20.67,,3.56,,,14.34,17.31,15.63,1.21,,1.44,,1.07,,,,10.16,,,,23.83,,1.28,,,13.05,16.8,14.56,3.98,,1.01,0.93,,,,11.59,,,,17.97,,1.46,0.97,,16.02,17.04,16.53,3.01,,1.33,,1.26,,,,8.3
2001,,,,17.73,,4.06,,,13.08,18.95,22.46,1.11,,1.53,,,,,,10.72,,,,20.61,,1.4,,,11.75,19.04,20.09,4.46,,0.86,,,,,11.87,,,,18.84,,1.43,,,14.8,24.85,14.68,3.55,,1.48,,,,,,9.23
2000,,,,18.4,,3.98,,,12.37,18.4,23.11,1.11,,1.51,,,,,,11.03,,,,20.82,,1.36,,,10.78,18.57,21.46,4.2,,,,,,,11.77,,,,18.93,,1.37,,,13.39,25.18,15.12,3.48,,1.46,,,,,,9.01
