年份,非金融企业部门金融交易资金运用_净金融投资,非金融企业部门金融交易资金运用_资金运用,非金融企业部门金融交易资金运用_资金来源,非金融企业部门金融交易资金运用_通货,非金融企业部门金融交易资金运用_存款,非金融企业部门金融交易资金运用_贷款,非金融企业部门金融交易资金运用_证券,非金融企业部门金融交易资金运用_证券投资基金份额,非金融企业部门金融交易资金运用_证券公司客户保证金,非金融企业部门金融交易资金运用_保险准备金,非金融企业部门金融交易资金运用_未贴现的银行承兑汇票,非金融企业部门金融交易资金运用_金融机构往来,非金融企业部门金融交易资金运用_准备金,非金融企业部门金融交易资金运用_库存现金,非金融企业部门金融交易资金运用_中央银行贷款,非金融企业部门金融交易资金运用_其他(净),非金融企业部门金融交易资金运用_直接投资,非金融企业部门金融交易资金运用_其他对外债权债务,非金融企业部门金融交易资金运用_国际储备资产,非金融企业部门金融交易资金运用_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,-79874.5004892205,-4162.50736580473,,230.653395788139,11724.11941288,,,8636.62726244745,-565.017682282996,1070.8232714886,-6342.8544505233,,,,,-33844.6328974247,6383.9780414275,4320.10160499493,,
2017,-56254.0,72537.0,,211.0,50647.0,,,5506.0,-1164.0,1151.0,5381.0,,,,,-7661.0,6881.0,1310.0,,
2016,-16006.8609277016,124236.579305081,,457.861243679856,83242.0803254109,,6361.30963433837,3037.180707,-1608.95418695422,938.577208386901,-19531.0557049216,,,,,29705.3095270393,14427.1842680231,7207.08628307855,,
2015,-10806.6096213505,130106.299635351,,266.13803043,67002.0294113057,,7190.89159797184,7837.24395,3714.81810832518,969.553161789101,-10568.5299693679,,,,,38273.4433832522,11297.9840178457,4122.72794379867,,
2014,-64014.0,78893.0,,152.0,42993.0,,384.0,6129.0,3267.0,986.0,-1198.0,,,,,16513.0,4903.0,4765.0,,
2013,-37420.9567131543,110701.473039892,,321.316098785038,59271.0440629542,,5507.59641516477,382.32717325,-87.769785297315,840.9189076011,7755.65541204741,,,,,28317.6540193864,4517.43077311919,3875.29996288131,,
2012,-44272.0,94843.0,,321.0,46968.0,,951.0,29.0,-4.0,646.0,10499.0,,,,,27388.0,3919.0,4126.0,,
2011,-44271.0,66790.0,,555.0,41373.0,,-157.0,860.0,-4020.0,931.0,10271.0,,,,,8808.0,3211.0,4958.0,,
2010,-15122.5535442768,102863.452651845,,585.66932703,62584.232838,,168.892362,-562.848440655935,-1398.34460208432,666.748637,23346.0,,,,,9227.1051993396,4071.8999029698,4174.0974282455,,
2009,-25326.0,75031.0,,364.0,65916.0,,-184.0,-5.0,2545.0,395.0,,,,,,-717.0,2999.0,3717.0,,
2008,-27546.0,30415.0,,370.0,23419.0,,87.0,8.0,,493.0,,,,,,1610.0,3716.0,713.0,,
2007,-11453.0,35237.0,,297.0,28556.0,,,408.0,,346.0,,,,,,2918.0,1201.0,1011.0,,
2006,-9637.0,28092.0,,274.0,19312.0,,,-132.0,,242.0,,,,,,3421.0,1421.0,1858.0,,
2005,-14716.4260249774,14722.1160075984,,230.703240592485,12477.2430787636,1.7753791954,,,,192.5632447,,,,,,766.5880221534,926.128043896,1743.453928392,,
2004,-9080.74439701956,18863.2689159037,,155.515973117232,15710.600090328,-1.9129661954,,,,132.1377223,,,,,,2767.744698815,149.400626704,34.43852328,,
2003,-14530.652677446,16673.3859137632,,222.0,15776.3147093709,,,,,157.5735,,,,,,802.4512960488,-12.60371898,-424.83399285,,
2002,-10449.7416779346,10197.0508988268,,143.03072350908,10738.0103322742,,,,,91.943621,,,,,,-466.7187217565,208.44854739,-575.63778759,,
2001,-5725.0,8077.03,,93.25,7096.34,-5.4,,,,63.95,,,,,,806.49,569.89,-864.12,,
2000,,,,,,,,,,,,,,,,,,,,
