年份,私人汽车拥有量,私人载客汽车拥有量,私人大型载客汽车拥有量,私人中型载客汽车拥有量,私人小型载客汽车拥有量,私人微型载客汽车拥有量,私人载货汽车拥有量,私人重型载货汽车拥有量,私人中型载货汽车拥有量,私人轻型载货汽车拥有量,私人微型载货汽车拥有量,私人其他汽车拥有量
2019,22508.9941,20710.5834,4.2064,18.9886,20527.2746,160.1138,1753.655,218.1089,63.0733,1469.035,3.4378,44.7557
2018,20574.9339,18930.2872,4.4829,20.3863,18731.8021,173.6159,1605.1009,208.7775,68.5926,1323.249,4.4818,39.5458
2017,18515.1085,17001.5142,4.5771,22.1703,16788.4186,186.3482,1478.4041,193.9751,73.2208,1205.6639,5.5443,35.1902
2016,16330.2248,14896.2707,4.9892,24.8362,14645.6117,220.8336,1401.1631,184.8167,79.7652,1129.1275,7.4537,32.791
2015,14099.1037,12737.2286,8.2673,28.8896,12432.2579,267.8138,1330.6504,173.8625,86.6167,1060.7025,9.4687,31.2247
2014,12339.3597,10945.3851,7.7026,42.1036,10590.7534,304.8255,1352.775,182.6764,104.9025,1050.6024,14.5937,41.1996
2013,10501.6827,9198.2345,6.9476,46.9486,8810.507,333.8313,1275.4934,174.3918,111.8482,978.7336,10.5198,27.9548
2012,8838.6014,7637.8743,8.2584,55.4264,7226.4828,347.7067,1175.6327,168.1345,128.5123,867.6409,11.345,25.0944
2011,7326.7938,6237.4629,9.9936,62.3368,5823.616,341.5165,1067.4324,164.2834,144.5205,744.3934,14.2351,21.8985
2010,5938.708,4989.5039,9.3399,61.0,4593.462,325.702,931.5158,141.4395,140.522,632.7717,16.7826,17.6883
2009,4574.9112,3808.3343,8.7218,59.963,3436.2579,303.3916,753.402,108.7296,129.5862,494.9691,20.1171,13.1749
2008,3501.3924,2880.4992,8.568,57.97,2533.2823,280.6789,596.3917,73.28,115.6789,384.1215,23.3113,24.5015
2007,2876.2155,2316.9084,7.9075,55.7339,1984.2863,268.9807,539.4481,68.8872,110.4429,332.6915,27.4265,19.859
2006,2333.3165,1823.5657,11.1853,56.2031,1491.1764,265.0009,494.9119,64.2343,108.6433,288.9433,33.091,14.8389
2005,1848.0663,1383.925,7.6102,50.8757,1079.7806,245.6585,452.106,62.503,100.3379,243.2869,45.9782,12.0353
2004,1481.6611,1069.6913,7.1992,46.9513,786.6307,228.9101,402.8159,53.3988,94.6943,203.8523,50.8705,9.1539
2003,1219.23,845.87,7.3566,42.5149,586.9018,209.1006,367.35,44.4738,95.2035,176.5821,51.0938,6.0012
2002,968.98,623.76,9.89,35.87,408.49,169.51,341.29,48.27,84.4,158.67,49.95,3.94
2001,770.78,469.85,,,,,298.95,,,,,
2000,625.33,365.09,,,,,259.09,,,,,
