年份,新注册民用汽车拥有量,新注册民用载客汽车拥有量,新注册民用大型载客汽车拥有量,新注册民用中型载客汽车拥有量,新注册民用小型载客汽车拥有量,新注册民用微型载客汽车拥有量,新注册民用载货汽车拥有量,新注册民用重型载货汽车拥有量,新注册民用中型载货汽车拥有量,新注册民用轻型载货汽车拥有量,新注册民用微型载货汽车拥有量,新注册民用其他汽车拥有量
2019,2544.5941,2184.5871,13.3357,3.5844,2164.8138,2.8532,343.4877,104.1421,5.5776,233.7472,0.0208,16.5193
2018,2652.1129,2313.9385,15.576,3.9514,2287.6458,6.7653,323.8847,96.7089,4.9591,222.0492,0.1675,14.2897
2017,2800.3955,2480.2416,17.1474,4.6657,2450.7374,7.6911,308.7575,98.0068,6.6974,203.7906,0.2627,11.3964
2016,2724.4374,2464.8115,19.4829,5.9767,2433.8735,5.4784,250.7282,64.9352,7.7114,177.9643,0.1173,8.8977
2015,2331.7507,2120.2815,19.1034,6.708,2086.2002,8.2699,204.3257,45.4979,7.2274,151.3773,0.2231,7.1435
2014,2205.1905,1936.6787,15.1405,7.9646,1905.0695,8.5041,254.2287,63.0588,10.4425,180.5471,0.1803,14.2831
2013,2030.9394,1752.2965,16.8946,8.116,1717.3792,9.9067,268.9898,73.9027,13.3402,181.4385,0.3084,9.6531
2012,1772.5011,1524.8801,16.3517,7.1013,1487.5884,13.8387,238.6173,56.0063,13.9793,168.1908,0.4409,9.0037
2011,1624.2474,1369.454,16.3258,7.6472,1324.4774,21.0036,244.2601,72.6854,17.314,153.559,0.7017,10.5333
2010,1528.8186,1254.6891,14.8234,7.6519,1208.6273,23.5865,263.7605,76.9644,23.8595,161.4803,1.4563,10.369
2009,1245.9452,1024.8554,11.4984,6.9548,979.4452,26.957,214.8355,50.0593,24.2679,139.1249,1.3834,6.2543
2008,763.1839,622.6814,11.2811,6.4024,592.8095,12.1884,116.8226,23.6749,18.5338,73.3343,1.2796,23.6799
2007,607.9209,500.0042,9.1087,7.2059,477.2468,6.4428,91.7603,15.5155,15.7867,59.1014,1.3567,16.1564
2006,573.0432,467.8667,9.5428,8.2758,438.2206,11.8275,92.5294,13.912,14.7689,61.691,2.1575,12.6471
2005,528.6287,415.7504,9.9489,10.5314,371.2056,24.0645,102.4034,16.2859,17.5576,63.9557,4.6042,10.4749
2004,451.1823,333.2297,9.6462,13.8357,284.1668,25.581,102.9497,22.8523,19.4438,56.4061,4.2475,15.0029
2003,433.7485,316.0859,10.0284,15.7523,242.1951,48.1101,107.5692,16.8363,25.9173,57.6073,7.2083,10.0934
2002,337.1951,229.4649,9.72,14.5062,149.1479,56.0908,99.3761,18.6498,22.0969,50.1985,8.4309,8.3541
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
