年份,快递量,国内同城快递量,国内异地快递量,国际及港澳台快递量,快递业务收入
2019,6352290.9676,,,,74978235.19
2018,5071042.7961,,,,60384253.78
2017,4005591.91,,,,49571088.76
2016,3128315.1094,,,,39743601.32
2015,2066636.8395,,,,27696465.85
2014,1395925.3039,,,,20453586.23
2013,918674.89,228736.3087,663736.683,26201.8983,14416815.26
2012,568547.99,131410.21,418894.95,18242.79,10553324.22
2011,367311.08,81818.28,272742.13,12750.67,7579878.21
2010,233891.99,53605.84,167324.72,12961.42,5746029.84
2009,185785.81,43728.27,130803.6,11253.92,4790030.74
2008,151329.3,40223.41,100465.56,10640.37,4084274.59
2007,120189.5637,33312.5,77157.0,9720.1,3425851.6
2006,26988.04,,,,
2005,22880.3,,,,
2004,19772.0,,,,
2003,17237.8,,,,
2002,14036.2,,,,
2001,12652.7,,,,
2000,11031.4,,,,
