年份,固定长途电话交换机容量,局用交换机容量,移动电话交换机容量,光缆线路长度,长途光缆线路长度
2019,119.3694,7189.7423,272523.745,47412442.31,108.493705
2018,392.4342,11440.4,259453.14,43167888.41,99.413014
2017,603.5297,18398.7466,242185.7823,37801073.37,104.499781
2016,681.0778,22441.59,218540.03,30420755.06,99.409161
2015,811.0825,26446.45,218149.97,24863348.24,96.5283
2014,982.9082,40517.14,205024.92,20612529.22,92.83982
2013,1280.5074,41089.3,196557.3,17453709.2,89.00182
2012,1579.7426,43749.3079,184023.824,14793300.43,86.817525
2011,1602.3432,43428.4,171636.0,12119302.9,84.23409
2010,1641.4644,46537.3,150284.9,9962466.5,81.8133
2009,1684.9027,49265.59976,144084.7457,8294565.33,83.1011
2008,1690.7188,50863.2,114531.4,6778495.61,79.7979
2007,1709.2213,51034.6,85496.1,5777288.61,79.2154
2006,1442.3427,50279.9,61032.0,4279559.0,72.243918
2005,1371.6307,47196.1,48241.7,4072787.82,72.304
2004,1263.0,42346.9,39684.3,3519224.51,69.53
2003,1061.1,35082.5,33698.4,2734807.2,59.4303
2002,773.0133,28656.8,27400.3,2252564.0,48.7684
2001,703.5769,25566.3,21926.3,1818939.2,39.9082
2000,563.5498,17825.63,13985.6,1212357.6,28.6642
