年份,沿海主要港口货物吞吐量,大连港口货物吞吐量,营口港口货物吞吐量,秦皇岛港口货物吞吐量,天津港口货物吞吐量,烟台港口货物吞吐量,青岛港口货物吞吐量,日照港口货物吞吐量,上海港口货物吞吐量,连云港港口货物吞吐量,宁波—舟山港口货物吞吐量,汕头港口货物吞吐量,广州港口货物吞吐量,湛江港口货物吞吐量,海口港口货物吞吐量,八所港口货物吞吐量
2019,918773.7833,36641.4167,23817.9542,21879.5719,49219.963,38631.6153,57735.9481,46376.5138,66351.3231,23455.5923,112008.6131,3155.004,60615.8381,21569.5341,12446.8059,1506.962
2018,922392.0,46784.0,37001.0,23119.0,50774.0,44308.0,54250.0,43763.0,68392.0,21443.0,108439.0,3963.0,59396.0,30185.0,11883.0,1396.0
2017,865464.0,45517.0,36267.0,24520.0,50056.0,28816.0,51031.0,36136.0,70542.0,20605.0,100933.0,4890.0,57003.0,28209.0,11297.0,1605.0
2016,810933.0,43660.0,35217.0,18682.0,55056.0,26537.0,50036.0,35007.0,64482.0,20082.0,92209.0,4985.0,52254.0,25612.0,9952.0,1516.0
2015,784578.0,41482.0,33849.0,25309.0,54051.0,25163.0,48453.0,33707.0,64906.0,19756.0,88929.0,5181.0,50053.0,22036.0,9204.0,1767.0
2014,769557.0,42336.8202,33073.2536,27403.1279,54001.8291,23766.7295,46802.1188,33501.6627,66953.9401,19637.5798,87346.4661,5161.0,48217.2533,20238.1893,8914.9496,1399.6111
2013,728098.0,40746.2206,32013.1257,27260.3635,50062.8832,22157.2458,45002.5686,30937.2976,68273.4115,18897.6059,80978.3089,5038.0,45516.5664,18006.1845,8292.8851,1292.9874
2012,665245.0,37426.0,30107.0,27099.0,47697.0,20298.0,40690.0,28098.0,63740.0,17367.0,74401.0,4563.0,43517.0,17092.0,7217.0,1095.0
2011,616292.0,33691.0,26085.0,28770.0,45338.0,18029.0,37230.0,25260.0,62432.0,15627.0,69393.0,4005.0,43149.0,15539.0,6549.0,997.0
2010,548358.0,31399.0,22579.0,26297.0,41325.0,15033.0,35012.0,22597.0,56320.0,12739.0,63300.0,3509.0,41095.0,13638.0,5700.0,893.0
2009,475480.5847,27202.7975,17603.0386,24942.062,38111.2693,12351.1392,31545.6638,18130.9577,49467.4718,10843.1807,57684.3335,3101.8024,36395.4117,11838.2448,4855.4976,652.0002
2008,429599.0,24588.0,15085.0,25231.0,35593.0,11189.0,30029.0,15102.0,50808.0,10060.0,52048.0,2806.0,34700.0,6682.0,2614.0,554.0
2007,388200.0,22286.0,12207.0,24893.0,30946.0,10129.0,26502.0,13063.0,49227.0,8507.0,47336.0,2301.0,34325.0,6075.0,2373.0,546.0
2006,342191.0,20046.0,9477.0,20489.0,25760.0,6076.0,22415.0,11007.0,47040.0,7232.0,42387.0,2015.0,30282.0,5664.0,2127.0,479.0
2005,292777.0,17085.0,7537.0,16900.0,24069.0,4506.0,18678.0,8421.0,44317.0,6016.0,26881.0,1736.0,25036.0,4647.0,2118.0,486.0
2004,246074.0,14516.0,5978.0,15037.0,20619.0,3431.0,16265.0,5108.0,37896.0,4352.0,22586.0,1576.0,21520.0,3780.0,1416.0,548.0
2003,201126.0,12602.0,4009.0,12562.0,16182.0,2936.0,14090.0,4507.0,31621.0,3752.0,18543.0,1470.0,17187.0,2866.0,1329.0,425.0
2002,166628.0,10851.0,3127.0,11167.0,12906.0,2689.0,12213.0,3136.0,26384.0,3316.0,15398.0,1380.0,15324.0,2627.0,1073.0,343.0
2001,142634.0,10047.0,2520.0,11302.0,11369.0,2190.0,10398.0,2933.0,22099.0,3058.0,12852.0,1309.0,12823.0,2205.0,888.0,342.0
2000,125603.0,9084.0,2268.0,9743.0,9566.0,1774.0,8636.0,2674.0,20440.0,2708.0,11547.0,1284.0,11128.0,2038.0,808.0,378.0
