年份,国家铁路营业里程,国家铁路复线里程,国家铁路复线里程占营业里程比重,国家铁路自动闭塞里程,公路里程,等级公路里程,等级公路里程比重,内河航道里程,等级航道里程,等级航道里程比重
2019,,,,,501.2495792,469.8724598,93.74,12.729836,6.674881,52.43
2018,,,,,484.6531684,446.5864244,92.1455699700322,12.712641,6.64423,52.2647497085775
2017,,,,,477.3468833,433.8559717,90.8890341339744,12.701856,6.615975,52.0866793010407
2016,,,,,469.6263,422.6543,90.0,12.709864,6.640911,52.25
2015,,,,,457.7296,404.629,88.4,12.7001,6.6257,52.2
2014,6.6989216,3.2545762,48.5835839607378,3.539593,446.3913,390.0834,87.3859772804712,12.628002,6.5362279999999995,51.7597954133995
2013,6.6585052,3.1854468000000002,47.8402690141325,3.8839646999999995,435.6218435,375.5567,86.2116318554168,12.585297,6.490044999999999,51.5684691430007
2012,6.6297876,3.0661478,46.248054764228,3.7299562,423.7508,360.96,85.1821400691161,12.499463,6.371861,50.9770779752698
2011,6.6049778,2.988392,45.2445426841556,3.41753,410.6387,345.359,84.1028865520956,12.4612,6.26484,50.2747728950663
2010,6.6239019,2.9683617,44.8128874010045,3.75,400.8229,330.4709,82.448108628524,12.424178,6.229022,50.1362907067172
2009,6.5491,2.8682,43.7953306561207,3.1619,386.0823,305.6265,79.1609716373944,12.3683,6.154615,49.7612040458268
2008,6.3974884,2.6598852,41.5770226328195,2.81,373.0164,277.8521,74.4879045532583,12.276349,6.1093,49.7647957059546
2007,6.3636503,2.5793858,40.5331166610459,2.6526,358.3715,253.5383,70.7473390043572,12.349518,6.119733,49.5544279541922
2006,6.3412,2.5244,39.8,2.563,345.6999,228.2872,66.0362354747571,12.338827,6.1035,49.4658041643667
2005,6.22,2.44972,39.4,2.41489,334.52,159.1791,47.584329785962,12.33,6.1013,49.4833738848337
2004,6.1015,2.3841,39.1,2.2724,187.07,151.5826,81.0298818624045,12.33,6.0842,49.3446877534469
2003,6.0446,2.3702,39.2,2.192,180.98,143.8738,79.4970714996132,12.4,6.0865,49.0846774193548
2002,5.953,2.3058,38.7,2.0682,176.52,138.2926,78.3438703829594,12.16,6.3597,52.3001644736842
2001,5.9079,2.264,38.3,1.8845,169.8,133.6044,78.6833922261484,12.15,6.3692,52.4213991769547
2000,5.86559,2.14079,36.4974367454936,1.83178,167.9848,131.5931,78.3363137617213,11.9325,6.1367,51.4284517075215
