年份,互联网上网人数,域名数,网站数,网页数,IPv4地址数,互联网国际出口带宽,互联网宽带接入端口,互联网拨号用户,移动互联网用户,移动互联网接入流量,互联网宽带接入用户,城市宽带接入用户,农村宽带接入用户
2019,90359.1691,5094.2295,,29782991.4511,33909.2992,8827751,91577.984,,131852.5842,12199200.640323,44927.8574,31450.5316,13477.3258
2018,82851.2639,3792.7527,523.3623,28162240.6489,33892.4544,8946570,86752.3,,127481.54,7090039.28,40738.15,28996.48,11741.67
2017,77198.0,3848.0355,533.2978,26039903.0208,33870.464,7320180,77599.0947,301.7166,127153.7371,2459380.26,34854.0089,25476.7128,9377.2961
2016,73125.0,4227.5702,482.3918,23599758.4,33810.2784,6640291,71276.8602,306.33,109395.02,937863.5,29720.65,22266.62,7454.03
2015,68826.0,3101.4,422.9,21229622.4,33651.968,5392116,57709.38,331.62,96447.16,418753.31,25946.57,19547.16,6398.37
2014,64875.0,2059.5503,334.8926,18991864.9085,33198.8224,4118663,40546.13,441.64,87522.13,206193.55,20048.34,15174.63,4873.71
2013,61758.0,1843.6461,320.1625,15004076.2685,33030.8096,3406824,35945.3,485.1,,,18890.9,14153.6093,4737.2661
2012,56400.0,1341.2079,268.0702,12274681.7252,33053.4912,1899792,32108.4495,569.8,,,17518.3,13442.4,4075.9
2011,51310.0,774.8459,229.5562,8658229.8393,33043.9936,1389529,23239.4,550.7,,,15000.1,11691.4,3308.8
2010,45730.0,865.6,190.8,6000806.0,27763.6864,1098956.82,18781.1,590.1,,,12629.1,9963.5,2475.7
2009,38400.0,1681.8,323.2,3360173.2,23244.6,866367.2,13835.7,754.4,,,10397.8,,
2008,29800.0,1682.6,287.8,1608637.0,18127.3,640287,10890.4,1227.8,,,8287.9,,
2007,21000.0,1193.1,150.4,847108.5,13527.5,368927,8539.3,1941.0,,,6641.4,,
2006,13700.0,410.9,84.3,447257.8,9801.6,256696,6486.4,2644.6454,,,5085.3117,,
2005,11100.0,259.241,69.4,,7439.1,136106.044538706,4874.7,3559.5,,,3735.0,,
2004,9400.0,,66.9,,,,3578.1,5122.3,,,2487.5,,
2003,7950.0,,59.6,,,,1802.3,5653.1,,,1115.1,,
2002,5910.0,,37.2,,,,,5246.5,,,325.3,,
2001,3370.0,,27.7,,,,,3652.7,,,,,
2000,2250.0,,26.5,,,,,900.5,,,,,
