年份,竣德站货物发送量,鹤岗站货物发送量,双鸭山站货物发送量,七台河站货物发送量,恒山站货物发送量,大官屯站货物发送量,本溪站货物发送量,灵山站货物发送量,霍林河站货物发送量,阜新站货物发送量,新港站货物发送量,古冶站货物发送量,阳泉站货物发送量,白羊墅站货物发送量,云岗西站货物发送量,新高山站货物发送量,大同东站货物发送量,口泉站货物发送量,北周庄站货物发送量,大新站货物发送量,古交站货物发送量,玉门沟站货物发送量,介休站货物发送量,白云鄂博站货物发送量,万水泉站货物发送量,嘉峰站货物发送量,晋城北站货物发送量,长治北站货物发送量,平顶山东站货物发送量,武昌东站货物发送量,黄岛站货物发送量,日照站货物发送量,中云站货物发送量,潘集西站货物发送量,湛江站货物发送量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,370.3586,313.8722,722.6488,1108.0364,412.9474,563.8424,1061.9515,1102.378,2335.9678,599.5537,1284.8141,781.1221,1947.4501,1638.0864,1098.3798,2069.7584,7474.4037,1399.8508,1601.9056,8679.2903,915.3048,904.6887,966.6045,910.5341,2959.8969,1618.8449,1217.6432,1696.946,2046.4078,509.6531,4441.5549,3604.8409,125.0293,1909.0621,1611.9193
2013,389.2459,346.9717,711.8726,1146.8921,407.1137,581.6121,1083.8924,1187.8535,2452.7362,683.6258,1211.3769,862.1484,1803.5447,1572.9707,1099.0273,1700.1741,6502.3923,1366.7273,1264.3093,8790.5317,844.4665,942.3153,902.3153,1120.4652,3390.3962,1587.9947,1205.361,1515.3354,1962.1788,672.8239,4756.3123,4590.8987,200.9187,2070.7619,1797.6499
2012,434.4442,516.3614,906.4673,1383.332,465.1018,470.1487,1030.2693,1096.5683,2753.1061,638.6556,1272.4674,899.275,1836.6248,1565.642,1048.1468,1351.7137,6253.6092,1503.0107,1434.9976,9015.7926,833.164,958.7799,830.7718,1266.4264,2988.5486,1614.3783,1212.8101,1393.1577,2025.2047,679.2369,4549.6628,4630.9688,181.4907,2152.5509,1642.6831
2011,474.6975,691.3852,961.567,1653.099,477.2895,512.8261,1077.9537,1269.5076,2589.7895,782.177,1258.1362,939.4209,1858.6216,1662.7225,1042.1425,1691.635,5997.1124,1567.5934,1533.5275,7369.2788,900.6914,884.5879,772.9432,1327.4034,3303.9427,1673.6744,1194.8777,1383.0146,2325.9067,771.4787,4139.0868,4371.9627,2648.2104,2282.6707,1454.2807
2010,496.0,661.0,1010.0,1621.0,474.0,571.0,1076.0,1571.0,4652.0,819.0,1168.0,856.0,1760.0,1664.0,536.0,1307.0,5545.0,1605.0,830.0,7326.0,960.0,1088.0,745.0,1290.0,3236.0,1571.0,1181.0,1442.0,3041.0,852.0,3635.0,3757.0,2278.0,2158.0,1550.0
2009,945.0,736.0,1343.0,1791.0,530.0,656.0,1003.0,1703.0,6834.0,997.0,1244.0,1075.0,2801.0,2461.0,1087.0,1686.0,9896.0,3094.0,747.0,14864.0,1178.0,1513.0,841.0,1110.0,3605.0,2003.0,1467.0,2034.0,4275.0,830.0,2710.0,3794.0,2058.0,3626.0,1405.0
2008,604.5615,730.8737,1213.4452,1586.4201,534.3596,587.9557,1188.1288,1709.1568,3132.5429,741.1329,1118.8208,825.7374,1717.377,1489.7906,1082.7719,1801.2584,3890.8333,2092.0637,1491.1313,7473.219,1395.8106,1262.8025,919.0513,1123.347,2265.496,1419.0079,1240.9796,1371.1854,2972.72,815.7076,2096.9006,2589.2598,1006.3325,1548.6364,1221.3774
2007,632.6033,784.7276,1280.1523,1426.7187,548.6357,578.7907,893.4148,1591.1989,2429.3241,646.8847,1063.0,837.7936,1606.0,1412.5494,1101.5544,1815.1906,3341.4111,2366.3174,1876.6745,7325.0835,1369.5024,1260.2174,1008.6325,1170.6856,1803.0,1346.0,1247.1304,1291.5787,2820.0455,732.4704,1975.2211,2328.0,1213.0,1202.0,1176.0
2006,705.0,836.0,1197.0,1350.0,577.0,629.0,736.0,1449.0,1780.0,674.0,1262.0,818.0,1684.0,1141.0,1053.0,1636.0,2899.0,2295.0,1186.0,6788.0,1274.0,1232.0,885.0,1164.0,1777.0,1252.0,1263.0,1337.0,2649.0,671.0,2048.0,1829.0,1104.0,1421.0,1110.0
2005,733.0,1019.0,1181.0,1474.0,660.0,755.0,589.0,1136.0,1453.0,578.0,1270.0,798.0,1667.0,978.0,1173.0,1589.0,2127.0,2638.0,654.0,5648.0,1242.0,1311.0,837.0,1111.0,1523.0,1359.0,1235.0,1249.0,2595.0,631.0,1671.0,1350.0,972.0,1549.0,906.0
