年份,哈尔滨站旅客发送量,沈阳站旅客发送量,鞍山站旅客发送量,长春站旅客发送量,本溪站旅客发送量,锦州站旅客发送量,吉林站旅客发送量,北京站旅客发送量,北京南站旅客发送量,北京西站旅客发送量,天津站旅客发送量,石家庄站旅客发送量,太原站旅客发送量,郑州站旅客发送量,武昌站旅客发送量,洛阳站旅客发送量,西安站旅客发送量,济南站旅客发送量,徐州站旅客发送量,南京站旅客发送量,蚌埠站旅客发送量,镇江站旅客发送量,常州站旅客发送量,无锡站旅客发送量,苏州站旅客发送量,上海站旅客发送量,杭州站旅客发送量,南昌站旅客发送量,广州站旅客发送量,深圳站旅客发送量,柳州站旅客发送量,成都站旅客发送量,重庆站旅客发送量,贵阳站旅客发送量,兰州站旅客发送量,乌鲁木齐站旅客发送量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2546.0,2026.0,,2449.0,707.0,,885.0,3469.0,3474.0,5082.0,2674.0,2068.0,2004.0,3496.0,2311.0,655.0,2850.0,1704.0,1214.0,2076.0,,,1105.0,1442.0,2090.0,2693.0,1653.0,2312.0,2898.0,1850.0,,2601.0,2393.0,1557.0,1055.0,1018.7418
2013,2679.9739,1808.225,393.0,2247.0,901.4252,,863.7864,3323.66,3069.8149,4623.2486,2409.1915,1870.6268,2334.6598,3275.2032,2205.0682,627.317,2800.1071,1532.2621,1111.1367,2016.0832,482.0,563.0,1048.7253,1338.1123,1811.6741,2433.2942,2090.6982,2264.8542,2926.0,1917.1145,,2531.2868,1894.3505,1458.959,1013.2847,969.5519
2012,2924.9207,1618.8027,441.1394,,920.2961,466.4026,795.683,2811.2949,2563.402,4453.7764,2187.6957,1584.1812,2349.9472,3289.5048,2061.7696,596.388,2751.0803,1369.4745,1032.6143,1910.6643,493.8007,507.0214,965.6568,1237.7015,1573.3683,2254.2463,2298.3562,2074.0786,2790.6214,1893.1393,541.1827,2667.4983,1787.5074,1270.6863,958.9154,881.0474
2011,3005.9581,1500.4527,462.0019,,850.41,475.6299,114.4814,2748.7523,1908.7445,4682.0131,2251.3398,1593.2589,2349.9515,3239.8979,1999.5602,614.8408,2790.3875,1287.1365,1158.159,2247.2448,552.9368,479.355,934.4732,1230.624,1455.2293,2455.1895,2230.0,2105.1528,3108.8385,2105.4347,565.1166,2888.1263,1578.4536,1287.2283,1006.0583,865.4563
2010,2804.8844,1433.3058,484.5062,,1179.3843,464.5507,229.0,2773.8141,1408.2925,4402.8783,2101.3444,1577.8393,1991.2452,2992.912,1887.6118,619.8674,2811.9418,1334.5258,1187.224,2470.3388,592.4141,448.0533,873.3534,1186.1502,1418.3887,3251.8234,2235.3661,1860.7467,2992.8149,1941.8988,522.1395,2686.738,1222.0187,1041.1892,938.7271,665.5141
2009,2614.6072,1509.2589,477.3278,,1232.3737,482.1703,374.7226,2785.2689,966.3495,4089.5441,1769.8313,1681.1702,1686.2366,2679.104,1705.2608,619.0641,2543.4698,1224.9917,1125.1611,2207.5079,567.8111,415.8066,835.3656,1119.3241,1336.0253,3367.6698,1750.839,1764.2717,2969.0,1778.0,489.0,2190.0,1061.0,962.0246,839.1705,620.8491
2008,2413.0,1473.0,419.0,,1050.0,465.0,531.0,3066.0,,3865.0,1342.0,1589.0,1368.0,2547.0,1346.0,594.0,2633.0,1166.0,247.0,2063.0,546.0,407.0,816.0,1118.0,1277.0,3612.0,1798.0,1671.0,3170.0,1724.0,433.0,1972.0,533.0,989.0,749.0,587.0
2007,2255.0,1280.0,333.0,1490.0,957.0,395.0,495.0,2998.0,,3632.0,905.0,1405.0,1197.0,2207.0,998.0,539.0,2360.0,1042.0,884.0,1659.0,506.0,370.0,731.0,1025.0,1103.0,3439.0,1578.0,1441.0,2866.0,1433.0,396.0,1896.0,667.0,917.0,650.0,565.0
2006,1827.4441,1271.9628,291.4979,1316.2618,774.9672,406.6467,460.1736,2708.6528,113.4377,3150.3971,1075.5135,1312.3669,1044.5863,2093.6953,1052.3591,504.2485,2029.2963,854.2758,795.0934,1321.5243,487.2917,389.606,722.2637,1065.1271,1191.1615,3785.5489,1453.3046,1276.851,2594.4946,1319.0997,365.2325,1658.5033,912.8945,809.6425,608.2628,514.1827
2005,1569.0,1182.0,312.0,1222.0,724.0,411.0,449.0,2478.0,337.0,2622.0,1099.0,1178.0,936.0,1924.0,1062.0,440.0,1669.0,802.0,714.0,969.0,444.0,379.0,694.0,1026.0,1142.0,3866.0,1462.0,1218.0,2508.0,1250.0,290.0,1416.0,801.0,694.0,560.0,450.0
