年份,平均每一营业网点服务面积,平均每一营业网点服务人口,平均每人每年发函件数,平均每百人每年订报刊数,已通邮的行政村比重
2019,30.1397731982067,0.43808788255535,1.55,8.16327274025928,100
2018,34.9554863728221,0.508085276821964,1.91417929166249,8.92817010420101,100
2017,34.53,0.499983814405179,2.26491288271179,9.04466649401473,99.981916625004
2016,44.3,0.64,2.65,9.93,99.4
2015,50.8913945832472,0.728711758562742,3.3,11.27,99.7661861427442
2014,69.7867,0.994329829458717,4.10109276074337,10.9201210685617,99.4
2013,76.7294,1.08757543060384,4.66039136633547,10.9526965578172,99.1695091205695
2012,100.4,1.41677478759469,5.22440237733007,11.3745886716788,99.1
2011,122.0,1.71272579353477,5.50253521862019,11.1386429658218,98
2010,126.8,1.76887053169437,5.52457431236784,12.8073396372287,98.9574705372108
2009,146.2,2.03,5.66,10.4,98.8
2008,138.8,1.9,5.6,11.9,98.5
2007,135.9,1.9,5.3,9.9,98.4
2006,152.9,2.09,5.5,11.2,99.4
2005,145.6,1.97,5.66,11.2,98.96
2004,142.4,1.95,6.41,11.4,97.73
2003,148.8,2.03,8.08,12.9,97.98
2002,123.8,1.7,8.3,13.9,97.8
2001,168.0,2.2,6.9,17.2,94.45
2000,135.3,1.77,6.4,16.4,
