年份,民用航空航线数,民用航空国际航线数,民用航空国内航线数,民用航空港澳台地区航线数,定期航班航线里程,国际航线线路长度,民用航空国内航线航线里程,民用航空港澳台地区航线里程,民用航班飞行机场数,民用飞机架数,民用运输飞机架数,民用大中型运输飞机架数,民用大中型波音747运输飞机架数,民用大中型波音737运输飞机架数,民用大中型波音757运输飞机架数,民用大中型波音767运输飞机架数,民用大中型MD90运输飞机架数,民用大中型MD82运输飞机架数,民用大中型A320运输飞机架数,民用小型运输飞机架数,民用小型ARJ21-700运输飞机架数,民用通用飞机架数,民用教学校验飞机架数
2019,5521,953,4568,111,9482204,4014686,5467518,167104,237,6525,3818,3626,25,1509,49,8,,,996,192,21,2707,
2018,4945,849,4096,100,8379833,3598911,4780922,153105,233,6134,3639,3452,24,1513,46,5,,,892,187,10,2495,
2017,4418,803,3615,96,7483033,3245859,4237174,147537,228,5593,3296,3120,27,1357,35,12,,,814,176,4,2297,
2016,3794,739,3055,109,6348144,2828015,3520129,166812,216,5046,2950,2789,26,1216,33,13,,,728,161,2,2096,
2015,3326,660,2666,109,5317230,2394434,2922796,171621,206,4554,2650,2499,26,1104,35,9,,,645,151,,1904,
2014,3142,490,2652,114,4637214,1767210,2870004,179320,200,4168,2370,2218,24,958,41,9,,,579,152,,1798,486.0
2013,2876,427,2449,107,4106000,1503150,2602850,168363,190,4004,2145,1985,29,854,45,11,,,503,160,,1519,340.0
2012,2457,381,2076,99,3280114,1284712,1995402,133333,180,3589,1941,1769,40,756,46,13,,,432,172,,1320,328.0
2011,2290,443,1847,91,3490571,1494387,1996184,135103,178,3191,1764,1601,40,700,51,15,,,357,163,,1124,303.0
2010,1880,302,1578,85,2765147,1070167,1694980,121437,175,2405,1597,1453,40,650,48,18,11.0,11.0,281,144,,606,202.0
2009,1592,263,1329,72,2345085,919899,1425186,107262,165,2181,1417,1297,37,593,51,19,22.0,,219,120,,555,209.0
2008,1532,297,1235,49,2461840,1120166,1341674,68592,152,1961,1259,1155,37,527,52,22,22.0,,186,104,,484,218.0
2007,1506,290,1216,48,2342961,1047418,1295543,71169,148,1813,1134,1050,35,486,56,22,22.0,12.0,160,84,,457,222.0
2006,1336,268,1068,43,2113505,966168,1147337,62846,142,1614,998,921,30,418,60,29,22.0,12.0,141,77,,457,
2005,1257,233,1024,43,1998500,855900,1142569,61056,135,1386,863,785,22,358,64,27,22.0,15.0,115,78,,383,140.0
2004,1279,244,1035,45,2049400,894200,1155219,62484,133,1245,754,675,20,304,62,27,22.0,26.0,93,79,,365,
2003,1155,194,961,43,1749500,715300,1034276,62874,126,1160,664,580,19,264,55,22,22.0,26.0,76,84,,343,
2002,1176,161,1015,44,1637700,574500,1063238,61626,141,1112,602,525,20,234,54,18,22.0,26.0,65,77,,335,
2001,1143,134,1009,42,1553596,516859,1036737,55759,143,1031,566,486,17,198,52,17,22.0,27.0,63,80,,296,
2000,1165,133,1032,42,1502887,508405,994482,55759,139,982,527,462,19,186,48,16,22.0,27.0,60,65,,301,154.0
