年份,国家铁路营业里程,国家铁路正式营业里程,国家铁路临时营业里程,国家铁路正式营业里程比重,国家铁路复线里程,国家铁路复线里程占营业里程比重,国家铁路电气化铁路里程,国家铁路电气化铁路里程营业里程比重,国家铁路内燃牵引里程,国家铁路内燃牵引里程占营业里程比重,国家铁路调度集中里程,国家铁路自动闭塞里程,国家铁路半自动闭塞里程,国家铁路无缝线路里程,国家铁路继电集中车站,国家铁路继电集中车站占营业车站比重,国家铁路计算机联锁车站,国家铁路计算机联锁车站占营业车站比重
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,6.6989216,6.6894475,0.009474099999999,99.8585727589348,32545.762,48.5835839607378,3.6851383,55.0109184738033,3.0137833,44.9890815261967,1.5476975,35395.93,30177.759,8.76952,2210.0,42.1514400152584,3048.0,58.1346557314515
2013,6.6585052,6.6490311,0.009474099999999,99.8577143110138,31854.468,47.8402690141325,3.5977248,54.0320190783962,3.0607804,45.9679809216038,2.0444097,38839.647,32893.183,8.1055197,2492.0,47.4,3058.0,58.2
2012,6.6297876,6.6203135,0.009474100000001,99.8570979860652,30661.478,46.248054764228,3.5486468,53.5257992277158,3.0811408,46.4742007722842,1.87798,37299.562,33679.9,7.84655,2642.0,50.8859784283513,2863.0,55.1425269645609
2011,6.6049778,6.5487737,0.056204100000001,99.1490645131313,29883.92,45.2445426841556,3.4330439,51.9766152734079,3.1719339,48.0233847265921,1.48213,34175.3,38269.6,7.5399895,2814.0,54.1153846153846,2601.0,50.0192307692308
2010,6.6239019,6.4537231,0.17018,97.4308375551275,29683.617,44.8128874010045,3.2717228,49.3926819779743,3.3521791,50.6073180220257,1.7976779,37500.0,37468.0,6.29536,3065.0,51.4,2792.0,46.9
2009,6.5491,6.3789,0.1702,97.4,28682.0,43.7953306561207,3.02427,46.2,3.5249,53.8,1.1588,31619.0,38615.0,6.8167,3449.0,56.7,2356.0,38.7
2008,6.3974884,6.0139,0.3836,94.0,26598.852,41.5770226328195,2.5007315,39.1,3.8968,60.9,0.5541,28100.0,37337.0,6.2159,3849.0,63.8,1888.0,31.3
2007,6.3636503,6.0032,0.3604,94.3,25793.858,40.5331166610459,2.4046625,37.8,3.959,62.2,0.5322,26526.0,38563.0,5.7409,3923.0,70.8,1487.0,26.8
2006,6.3412,5.8901,0.4511,92.9,25244.0,39.8,2.34354,37.0,3.9976,63.0,0.4181,25630.0,39145.0,5.3296,4121.0,73.9,1299.0,23.3
2005,6.22,5.75886,0.46114,92.6,24497.2,39.4,1.94,31.2,4.27918,68.8,0.18277,24148.9,39389.9,4.79649,,,,
2004,6.1015,5.6822,0.4193,93.1,23841.0,39.1,1.86,30.4,4.2453,69.6,0.1842,22724.0,39334.0,4.3198,,,,
2003,6.0446,5.6238,0.4208,93.0,23702.0,39.2,1.81,29.9,4.2386,70.1,0.1842,21920.0,39522.0,3.9497,,,,
2002,5.953,5.4422,0.5108,91.4,23058.0,38.7,1.74,29.2,4.2121,70.8,0.1401,20682.0,39990.0,3.5967,,,,
2001,5.9079,5.4013,0.5066,91.4,22640.0,38.3,1.68766,28.6,4.0466,68.5,0.1163,18845.0,41336.0,3.2502,,,,
2000,5.86559,5.1262,0.73939,87.3942989634479,21407.9,36.4974367454936,1.486,25.3408438025842,3.94966,67.3361077061302,0.11996,18317.8,41694.5,2.99751,,,,
