年份,旅客周转量,铁路旅客周转量,国家铁路旅客周转量,地方铁路旅客周转量,合资铁路旅客周转量,公路旅客周转量,水运旅客周转量,民用航空旅客周转量
2019,35349.2380097,14706.64131,,,,8857.07939715,80.22017855,11705.297124
2018,34218.15190624,14146.58249,,,,9279.67860594,79.5741913,10712.316619
2017,32812.79978731,13456.92044,,,,9765.17944,77.66413731,9513.03577
2016,31258.4623104,12579.29334,,,,10228.70765349,72.32654191,8378.134775
2015,30058.8981,11960.6043,,,,10742.6585,73.084,7282.5513
2014,28647.1315702,11241.85,11556.36449,7.26083,41.12672,10996.75,74.3412932,6334.190277
2013,27571.653741,10595.61858,10550.32145,7.28204,38.01509,11250.943,68.3326,5656.759561
2012,33383.088894,9812.32718,9783.99038,6.87553,21.46127,18467.546,77.4791,5025.736614
2011,30984.03,9612.293553,9582.70589,6.6211,22.966563,16760.2466,74.5285,4536.9629
2010,27894.256618,8762.17826,8725.72206,6.30574,30.15046,15020.8123,72.2701,4038.995958
2009,24834.941582,7878.88852,7840.09241,5.63496,33.16115,13511.4375,69.3802,3375.235362
2008,23196.6983891,7778.6045561,7739.14993,5.8546,33.6000261,12476.1149,59.1796,2882.799333
2007,21592.580858,7216.31,6896.18,5.31547,314.81,11506.7668,77.7783,2791.725758
2006,19197.210515,6622.12221,6353.26712,4.6647,264.19039,10130.8458,73.5825,2370.660005
2005,17466.74,6061.96,5833.2,3.53,225.23,9292.08,67.77,2044.93
2004,16309.1,5712.2,5512.0,4.0,196.2,8748.4,66.3,1782.3
2003,13810.5,4788.61,4622.79,3.99,161.83,7695.6,63.1,1263.19
2002,14125.6,4969.4,4803.1,5.3,161.1,7805.8,81.8,1268.7
2001,13155.13,4766.82,4636.55,5.2,125.07,7207.08,89.88,1091.35
2000,12261.1,4532.59,4414.68,4.59,113.32,6657.42,100.54,970.543699
