年份,铁路营业里程,铁路电气化里程,公路里程,等级公路里程,高速等级路公路里程,一级等级公路里程,二级等级公路里程,等外公路公路里程,内河航道里程,定期航班航线里程,国际航线线路长度,管道输油(气)里程
2019,13.9926388,,501.2495792,469.8724598,14.9571248,11.7060808,40.5345097,31.3771194,12.729836,9482204,4014686,12.66
2018,13.1651296,,484.6531684,446.5864244,14.2593156,11.1703257,39.3471265,38.066744,12.712641,8379833,3598911,12.22992395
2017,12.69699,,477.3468833,433.8559717,13.6448548,10.5223999,38.0480538,43.4909116,12.701856,7483033,3245859,11.92881305
2016,12.39919,,469.6263,422.6543,13.0973,9.9152,37.1102,46.9719,12.709864,6348144,2828015,11.3366
2015,12.09704,,457.7296,404.629,12.3523,9.0964,36.041,53.1005,12.7001,5317230,2394434,10.8706
2014,11.1821116,3.6851383,446.3913,390.0834,11.1936,8.5362,34.8351,56.3079,12.628002,4637214,1767210,10.5688216
2013,10.3144637,3.5977248,435.6218435,375.5567,10.4438003,7.9491,34.0466,60.0652,12.585297,4106000,1503150,9.8464387
2012,9.7625484,3.5486468,423.7508,360.96,9.62,7.4271,33.1455,62.7908,12.499463,3280114,1284712,9.16043906554581
2011,9.3249643,3.4330439,410.6387,345.359,8.4946,6.8119,32.0536,65.2796,12.4612,3490571,1494387,8.3302
2010,9.1178479,3.2717228,400.8229,330.4709,7.4113,6.443,30.8743,70.352,12.424178,2765147,1070167,7.84974869
2009,8.5517886,3.02427,386.0823,305.6265,6.5055,5.9462,30.0686,80.4558,12.3683,2345085,919899,6.90607729
2008,7.9687282,2.5007315,373.0164,277.8521,6.0302,5.4216,28.5226,95.1642,12.276349,2461840,1120166,5.83498409
2007,7.7965903,2.4046625,358.3715,253.5383,5.3913,5.0093,27.6413,104.8332,12.349518,2342961,1047418,5.44603199
2006,7.70838,2.34354,345.6999,228.2872,4.5339,4.5289,26.2678,117.4128,12.338827,2113505,966168,4.81280839
2005,7.54376,1.94,334.52,159.1791,4.1,3.8381,24.6442,33.8752,12.33,1998500,855900,4.4
2004,7.44,1.86,187.07,151.5826,3.43,3.3522,23.1715,35.4835,12.33,2049400,894200,3.82
2003,7.3,1.81,180.98,143.8738,2.97,2.9903,21.1929,37.109,12.4,1749500,715300,3.26
2002,7.19,1.74,176.52,138.2926,2.51,2.7468,19.7143,38.2296,12.16,1637700,574500,2.98
2001,7.0058,1.68766,169.8,133.6044,1.94,2.5214,18.2102,36.1968,12.15,1553596,516859,2.7555
2000,6.87,1.486,167.9848,131.5931,1.63,2.0088,15.2672,18.6685,11.9325,1502887,508405,2.465
