年份,货物运输平均运距,铁路货物运输平均运距,公路货物运输平均运距,水运货物运输平均运距,民用航空货物运输平均运距,管道货物运输平均运距
2019,423.017013046364,687.665818371667,173.589691834153,1391.32083870476,3494.67721657655,586.200886646712
2018,397.238309016686,715.816495220956,180.064543058555,1409.63475776496,3554.44291710453,590.234248871247
2017,410.777931848409,730.950767452622,181.106847501969,1476.55673923401,3450.27663435465,593.74110919345
2016,425.437825962183,714.083069977057,182.805614413996,1525.11816243343,3330.02770151192,571.55573556415
2015,427.109094535748,707.39240800355,183.98531723142,1495.72012021507,3306.37561890766,614.913681296955
2014,435.93658803607,721.944656427141,182.591716789782,1550.68131738506,3160.61040148169,586.870078520393
2013,409.899726410006,735.419991971817,181.164948021353,1419.03857195173,3034.13829882632,536.107208891441
2012,423.892992284851,747.548210830624,186.71893209136,1781.26636727308,3006.95545318237,515.634353996209
2011,430.958282323601,749.264319791834,182.173471153505,1770.64558370582,3119.59058400616,505.572487170753
2010,437.525850803721,758.889632650281,177.241627628825,1805.71861648929,3177.37811392696,439.686133064649
2009,432.296347423889,757.141938990185,174.77312844893,1804.30701952376,2833.24064320916,453.472799950569
2008,427.0,759.980842226094,171.477927585054,1706.65527486333,2934.03420420323,443.0
2007,445.636031904094,757.294653398549,69.2598851309478,2286.09795909658,2896.2823328622,460.125828471782
2006,436.118051241406,761.713458976352,66.5207321322988,2231.00443098797,2697.95756518665,463.917892601545
2005,431.0,770.0,65.0,2261.0,2572.0,350.0
2004,407.0,775.0,63.0,2211.0,2595.0,329.0
2003,344.259968553716,769.088241589669,61.0,1817.0,2643.0,336.0
2002,342.0,764.0,61.0,1940.0,2551.0,339.0
2001,339.6501655394,761.0,60.0,1959.0,2556.0,336.0
2000,326.0,771.0,59.0,1939.0,2555.0,340.0
