年份,民用汽车拥有量,民用载客汽车拥有量,民用大型载客汽车拥有量,民用中型载客汽车拥有量,民用小型载客汽车拥有量,民用微型载客汽车拥有量,民用载货汽车拥有量,民用重型载货汽车拥有量,民用中型载货汽车拥有量,民用轻型载货汽车拥有量,民用微型载货汽车拥有量,民用其他汽车拥有量,机动车驾驶员人数,汽车驾驶员人数
2019,25376.3816,22474.2709,160.5772,72.0775,22069.7376,171.8786,2782.8371,761.6985,116.2689,1900.76,4.1097,119.2736,43636.7423,39752.8574
2018,23231.225,20555.4046,158.3346,75.3975,20135.2154,186.4571,2567.8242,709.5346,124.3928,1728.5252,5.3716,107.9962,41030.1633,36923.4248
2017,20906.673,18469.5425,152.9365,78.9529,18038.6935,198.9596,2338.8477,635.407,130.6786,1566.2997,6.4624,98.2828,36016.9437,31658.2041
2016,18574.5435,16278.2419,146.0273,83.8211,15813.8396,234.5539,2171.8937,569.4834,138.6912,1455.2857,8.4334,124.4079,35876.9829,30328.7721
2015,16284.4501,14095.8811,140.0729,89.6642,13580.4833,285.6607,2065.6218,530.0546,148.8706,1375.7928,10.9038,122.9472,32853.0456,28012.9937
2014,14598.1076,12326.697,139.6076,112.0587,11748.1913,326.8394,2125.4647,533.6731,188.0933,1385.7678,17.9305,145.9459,29892.3213,24812.065
2013,12670.1435,10561.7758,131.3816,117.0629,9951.4618,361.8695,2010.6202,501.9747,196.4015,1300.019,12.225,97.7475,26955.9279,21742.7041
2012,10933.0912,8943.0115,128.1272,131.7779,8302.6322,380.4742,1894.7497,472.5083,229.195,1179.648,13.3984,95.33,25250.8283,20028.5176
2011,9356.3163,7478.3699,126.5436,147.4072,6827.5396,376.8795,1787.9858,460.5771,267.8008,1042.0699,17.538,89.9606,22817.6249,17416.7581
2010,7801.8259,6124.1316,116.4424,146.0738,5498.3643,363.2511,1597.5537,394.8018,269.748,911.8799,21.124,80.1406,20068.4748,15129.8921
2009,6280.6086,4845.0888,107.9504,145.7994,4246.8969,344.4421,1368.6008,315.0796,262.2138,765.3349,25.9725,66.919,19167.5805,13740.7273
2008,5099.6094,3838.922,100.3939,143.1889,3271.1443,324.1949,1126.0656,200.836,249.7305,644.9561,30.543,134.6218,17336.56,12276.8009
2007,4358.355,3195.9943,93.8242,140.5202,2646.4667,315.1832,1054.0556,186.7362,243.4643,587.2202,36.6349,108.3051,15363.88,10567.15
2006,3697.3531,2619.5686,87.3377,136.9952,2083.4032,311.8325,986.2992,174.0117,235.3947,532.1341,44.7587,91.4853,14213.8678,9317.2381
2005,3159.6629,2132.4553,82.1324,131.6547,1618.3494,300.3188,955.5468,168.0732,236.6563,484.5105,66.3068,71.6608,13069.5249,8017.756
2004,2693.7137,1735.9055,78.0558,124.538,1248.8914,284.4203,893.0048,153.9013,233.9396,425.7389,79.425,64.8034,11769.0392,7101.6414
2003,2382.93,1478.81,75.7612,115.9575,1017.2066,269.8829,853.51,136.7943,243.6994,390.7917,82.2212,50.6106,10611.036,5368.0656
2002,2053.17,1202.37,75.48,104.8,789.74,232.34,812.22,148.28,218.69,360.58,84.66,38.58,9362.03,4827.08
2001,1802.04,993.96,,,,,765.24,,,,,42.8399999999999,8455.0407,4462.6768
2000,1608.91,853.73,,,,,716.32,,,,,38.86,7655.56,3746.51
