年份,货物周转量,铁路货物周转量,国家铁路货物周转量,地方铁路货物周转量,合资铁路货物周转量,公路货物周转量,水运货物周转量,远洋货物周转量,民用航空货物周转量,管道货物周转量
2019,199394.329739267,30181.95470864,,,,59636.3915072418,103963.03521783,54057.46926967,263.199032,5349.74927355524
2018,204686.237053533,28820.98571,,,,71249.2119327,99052.81545159,51926.58023094,262.499107,5300.7248522427
2017,197372.649346824,26962.20392,,,,66771.51593704,98611.24593574,55083.85749593,243.552295,4784.13125904403
2016,186629.47582636,23792.26195,,,,61080.096779,97338.80226036,58074.62,222.449337,4195.8655
2015,178355.9014,23754.3078,,,,57955.7245,91772.4507,54236.0935,208.0683,4665.3501
2014,181667.692564846,27530.19044,25103.4189,135.00451,2291.76702508631,56846.9,92774.55557,55935.0625,187.771491,4328.27506425959
2013,168013.800163865,29173.8905879,26845.01026,154.93737,2173.9429579,55738.0775,79435.6507,48705.3681,170.29181,3495.88956596536
2012,173804.460885647,29187.08595,27220.49537,136.1843,1830.40628,59534.8647,81707.5789,53412.1005,163.889362,3211.04197364666
2011,159323.6,29465.7852,27631.66559,138.7176,1695.402,51374.7406,75423.8358,49355.0,173.91,2885.4397
2010,141837.42298932,27644.13317,25937.34974,116.06769,1590.71574,43389.6721,68427.5264,45999.0,178.89816,2197.19315932041
2009,122133.31260377,25239.16924,23649.8771,126.58672,1462.70542,37188.8205,57556.6722,39524.1248,126.230702,2022.41996177037
2008,110300.0,25106.2817094089,23648.90271,150.88107,1306.46390940885,32868.1861,50262.7045,32850.6045,119.602272,1944.03014784037
2007,101418.811192219,23797.0,22112.46,132.6785,1551.84,11354.6872,64284.846,48685.8941,116.386674,1865.89131821887
2006,88839.8506953109,21954.41,20557.16,105.66,1291.59,9754.2476,55485.7495,42577.2996,94.27526,1551.1683353109
2005,80258.1,20726.0,19533.4,99.2,1093.5,8693.2,49672.3,38552.0,78.9,1088.0
2004,69445.0,19288.8,18285.5,89.1,914.2,7840.9,41428.7,32255.0,71.8,815.0
2003,53859.2,17246.7,16475.6,69.0,702.08,7099.4756,28715.8,22304.77,57.9,739.0
2002,50685.9,15658.4,15219.1,62.8,376.51,6782.5,27510.6,21733.0,51.55,683.0
2001,47709.9,14694.1,14368.8,55.4,269.95,6330.4,25988.9,20873.0,43.72,653.0
2000,44320.5,13770.49,13444.0,43.6,282.87,6129.4,23734.2,17073.0,50.268319,636.0
