年份,国家铁路客车拥有量,国家铁路软卧客车拥有量,国家铁路硬卧客车拥有量,国家铁路软座客车拥有量,国家铁路硬座客车拥有量,国家铁路客车餐车拥有量,国家铁路客车行李车拥有量,国家铁路客车公务车拥有量,国家铁路其他客车拥有量,国家铁路货车拥有量,国家铁路棚车拥有量,国家铁路敞车拥有量,国家铁路平车拥有量,国家铁路毒品车拥有量,国家铁路罐车拥有量,国家铁路冷藏车拥有量,国家铁路其他货车拥有量,40吨以下及不明载重量国家铁路货车拥有量,40吨载重量国家铁路货车拥有量,41-49吨载重量国家铁路货车拥有量,50吨载重量国家铁路货车拥有量,51-59吨载重量国家铁路货车拥有量,60吨载重量国家铁路货车拥有量,61-69吨载重量国家铁路货车拥有量,70吨及以上载重量国家铁路货车拥有量,国家铁路货车总标记载重量,国家铁路平均每辆车标记载重量
2019,74848,,,,,,,,,877134,,,,,,,,,,,,,,,,,
2018,73199,,,,,,,,,839213,,,,,,,,,,,,,,,,,
2017,72262,,,,,,,,,808736,,,,,,,,,,,,,,,,,
2016,70872,,,,,,,,,764783,,,,,,,,,,,,,,,,,
2015,67706,,,,,,,,,768516,,,,,,,,,,,,,,,,,
2014,60629,4701.0,18977.0,12246.0,16906.0,2756.0,1784.0,66.0,1462.0,716578,122627.0,451748.0,34738.0,2081.0,41736.0,1883.0,55314.0,,,,,43273.0,141193.0,200165.0,304833.0,4560.9,64.2
2013,56841,4524.0,18018.0,10623.0,17447.0,2687.0,1826.0,69.0,1647.0,715492,122084.0,475536.0,39308.0,2056.0,36161.0,6107.0,34240.0,6718.0,3127.0,7166.0,3689.0,42745.0,169310.0,191111.0,291626.0,4617.921,64.541895646632
2012,57721,4311.0,17859.0,6655.0,17946.0,2737.0,2105.0,73.0,4078.0,670801,108444.0,458328.0,39453.0,2056.0,31170.0,6140.0,18742.0,5623.0,3132.0,7166.0,3689.0,40797.0,184444.0,191321.0,228161.0,4251.85,64.0017882598034
2011,54731,4104.0,16981.0,4675.0,18228.0,2617.0,2195.0,74.0,3964.0,651175,101967.0,443666.0,39543.0,2056.0,31448.0,6152.0,19845.0,5642.0,3132.0,7166.0,3709.0,42120.0,192080.0,195194.0,195634.0,4102.585,63.6378372425261
2010,50391,4071.0,16486.0,3874.0,17954.0,2517.0,2365.0,61.0,3063.0,622284,101481.0,418778.0,39654.0,2056.0,30522.0,6153.0,23640.0,5671.0,3132.0,7167.0,3710.0,44640.0,198749.0,196554.0,162661.0,3934.3,63.2
2009,49354,3976.0,15249.0,2603.0,17938.0,2391.0,2448.0,87.0,2744.0,601412,103850.0,388118.0,38766.0,2056.0,32346.0,6587.0,22665.0,,,,,47121.0,205182.0,196778.0,125765.0,3729.7,62.7
2008,45076,3472.0,13975.0,2113.0,16641.0,2185.0,2207.0,77.0,2545.0,591793,103449.0,379050.0,37665.0,2056.0,33593.0,6588.0,22560.0,5878.0,3115.0,7243.0,3728.0,48246.0,219422.0,198340.0,98989.0,3645.4,62.3186844934961
2007,44243,3363.0,13786.0,1611.0,16748.0,2178.0,2411.0,82.0,2292.0,577521,102192.0,366767.0,36336.0,2056.0,34592.0,7196.0,21939.0,5629.0,3367.0,7589.0,3444.0,50185.0,238911.0,197099.0,64854.0,3526.3,61.7
2006,42659,3209.0,13315.0,794.0,16991.0,2136.0,2349.0,85.0,2066.0,564899,99399.0,360500.0,32222.0,2056.0,35654.0,7393.0,21259.0,4886.0,3564.0,7589.0,3444.0,49878.0,258081.0,196511.0,34530.0,3422.1,61.3
2005,40328,3109.0,12942.0,759.0,16900.0,2108.0,2480.0,78.0,1950.0,541824,99206.0,343480.0,30290.0,2056.0,38331.0,7419.0,21042.0,4892.0,3590.0,7589.0,3512.0,52565.0,265154.0,195911.0,8611.0,3294.5,60.8
2004,41353,3049.0,12550.0,772.0,16965.0,2058.0,2362.0,77.0,1933.0,526894,96107.0,323970.0,29530.0,2056.0,40222.0,7696.0,20250.0,8731.0,,7589.0,3538.0,54456.0,267065.0,175111.0,3611.0,3147.0,60.5
2003,40487,2621.0,11920.0,746.0,17210.0,1983.0,2226.0,71.0,2190.0,510327,95678.0,308578.0,29115.0,2056.0,40495.0,7696.0,20250.0,8525.0,,7589.0,3590.0,54452.0,268063.0,159620.0,2029.0,3040.9,60.4
2002,39438,2421.0,11738.0,676.0,17148.0,2008.0,2237.0,62.0,1647.0,459017,91835.0,257642.0,28028.0,1956.0,39258.0,7711.0,20277.0,16045.0,,7589.0,3607.0,54218.0,233327.0,138624.0,796.0,2686.2,60.1
2001,38780,2340.0,11054.0,730.0,17357.0,1951.0,2201.0,72.0,1496.0,453620,89035.0,262886.0,26681.0,1778.0,38804.0,7977.0,22760.0,7837.0,,,15259.0,,305172.0,116236.0,5417.0,2681.5,59.6
2000,35989,2055.0,10139.0,764.0,17571.0,1847.0,2144.0,69.0,1375.0,439943,92569.0,252977.0,24685.0,1578.0,37778.0,7909.0,22447.0,4159.0,3606.0,,15799.0,,307521.0,103431.0,5427.0,2619.9,59.6
