年份,国家铁路机车拥有量,国家铁路蒸汽机车拥有量,国家铁路前进型蒸汽机车拥有量,国家铁路建设型蒸汽机车拥有量,国家铁路内燃机车拥有量,国家铁路东风4型内燃机车拥有量,国家铁路电力机车拥有量,国家铁路韶山1型电力机车拥有量,地方铁路机车拥有量,地方铁路蒸汽机车拥有量,地方铁路内燃机车拥有量,地方铁路电力机车拥有量,合资铁路机车拥有量,合资铁路蒸汽机车拥有量,合资铁路内燃机车拥有量,合资铁路电力机车拥有量
2019,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,
2014,19990.0,,,,8552.0,3483.0,11438.0,22.0,293.0,6.0,268.0,19.0,813.0,9.0,665.0,139.0
2013,19686.0,,,,8983.0,3844.0,10703.0,59.0,284.0,6.0,259.0,19.0,865.0,9.0,719.0,137.0
2012,19625.0,,,,9578.0,4348.0,10047.0,138.0,297.0,6.0,272.0,19.0,875.0,9.0,752.0,114.0
2011,19590.0,,,,10095.0,4820.0,9495.0,401.0,295.0,6.0,270.0,19.0,836.0,9.0,716.0,111.0
2010,18349.0,51.0,18.0,33.0,10041.0,5035.0,8257.0,512.0,279.0,12.0,260.0,7.0,803.0,9.0,689.0,105.0
2009,17825.0,83.0,18.0,65.0,10844.0,5857.0,6898.0,613.0,271.0,15.0,249.0,7.0,826.0,9.0,712.0,105.0
2008,17336.0,89.0,22.0,67.0,11041.0,6148.0,6206.0,639.0,346.0,20.0,319.0,7.0,755.0,9.0,661.0,85.0
2007,17311.0,89.0,22.0,67.0,11229.0,6188.0,5993.0,629.0,335.0,24.0,304.0,7.0,660.0,11.0,578.0,71.0
2006,16904.0,91.0,23.0,68.0,11348.0,6356.0,5465.0,644.0,314.0,31.0,279.0,4.0,581.0,11.0,521.0,49.0
2005,16547.0,94.0,24.0,70.0,11331.0,6443.0,5122.0,664.0,348.0,59.0,289.0,,578.0,40.0,494.0,44.0
2004,16066.0,82.0,24.0,58.0,11135.0,6458.0,4849.0,670.0,352.0,89.0,263.0,,604.0,92.0,474.0,38.0
2003,15456.0,94.0,24.0,70.0,10778.0,6411.0,4584.0,707.0,359.0,131.0,228.0,,505.0,118.0,349.0,38.0
2002,15159.0,109.0,31.0,78.0,10752.0,6373.0,3876.0,749.0,357.0,141.0,216.0,,510.0,124.0,344.0,42.0
2001,14955.0,381.0,174.0,207.0,10598.0,6302.0,3976.0,793.0,348.0,167.0,181.0,,453.0,151.0,302.0,
2000,14472.0,601.0,261.0,340.0,10355.0,5623.0,3516.0,800.0,327.0,159.0,168.0,,454.0,151.0,303.0,
