年份,货物运输量,铁路货运量,国家铁路货运量,地方铁路货运量,合资铁路货运量,公路货运量,水运货运量,远洋货运量,民用航空货运量,管道货运量
2019,4713624.36000683,438904.3908,,,,3435480.00328372,747225.4589,83243,753.14261,91261.3644131076
2018,5152731.55703961,402630.9243,,,,3956870.7266,702684.2585,76969,738.50984,89807.1377996059
2017,4804850.35938253,368864.8418,,,,3686857.6124,667845.9643,76030.4039,705.89208,80576.0488025309
2016,4386762.63463862,333186.1929,,,,3341259.3467,638237.775,79769,668.01047,73411.3095686183
2015,4175886.2942,335801.0,,,,3150019.0,613567.0,74685,629.2942,75870.0
2014,4167296.28919824,381333.8071,306942.2848,24095.3269,50296.1954,3113334.0,598282.539,74733,594.09882,73751.8442782424
2013,4098900.03185335,396697.0018,322207.2389,24999.2997,49490.6775,3076648.0,559785.0,71156,561.25263,65208.7774233466
2012,4100436.16453729,390437.5066,323559.4977,22906.5559,43971.453,3188475.0,458705.0,65815,545.03422,62273.6237172877
2011,3696961.0873,393262.8903,329534.7554,22178.7713,41549.3636,2820100.0,425968.0,63542,557.477,57072.72
2010,3241806.68933664,364270.7975,309541.0835,19088.9458,35640.7682,2448052.0,378949.0,58054,563.03705,49971.8547866359
2009,2825221.94165135,333347.9225,277571.6981,23873.2283,31902.9961,2127834.0,318996.0,51733,445.5347,44598.4844513458
2008,2585937.3156,330354.1394,275243.4237,27127.7569,27982.7178,1916759.0,294510.0,42352,407.63762,43906.295
2007,2275821.61071853,314237.0,262400.0,24390.0,27447.0,1639432.0,281199.0,58903,401.84851,40551.7622085259
2006,2037059.70074912,288224.0,245476.0,19593.0,23154.0,1466347.0,248703.0,54413,349.43196,33436.2687891235
2005,1862066.0,269296.0,231839.0,17802.0,19655.0,1341778.0,219648.0,48549,306.7,31037.0
2004,1706412.0,249017.0,217816.0,14924.0,16277.0,1244990.0,187394.0,39469,276.7,24734.0
2003,1564491.54156,224248.0,199814.0,13064.0,11370.0,1159957.0,158070.0,34002,219.0,21998.0
2002,1483446.86,204956.0,187578.0,11241.0,6137.0,1116324.0,141832.0,29896,202.1,20133.0
2001,1401786.0,193189.0,179201.0,9542.0,4446.0,1056312.0,132675.0,27573,171.0,19439.0
2000,1358682.0,178581.0,166056.0,8369.0,4156.0,1038813.0,122391.0,22949,196.71228,18700.0
