年份,旅客运输量,铁路客运量,国家铁路客运量,地方铁路客运量,合资铁路客运量,公路客运量,水运客运量,民用航空客运量
2019,1760435.7117,366002.2555,,,,1301172.9132,27267.1199,65993.4231
2018,1793820.325,337494.674,,,,1367170.3903,27981.4889,61173.7718
2017,1848620.121,308379.3424,,,,1456784.3276,28300.3402,55156.1108
2016,1900194.3436,281405.2277,,,,1542758.6717,27234.3965,48796.0477
2015,1943271.0,253484.0,,,,1619097.0,27072.0,43618.0
2014,2032217.8116,230460.0,232380.9856,761.6909,2561.7259,1736270.0,26292.934,39194.8776
2013,2122991.5466,210596.9165,207541.3803,689.7418,2365.7944,1853463.0,23535.0,35396.6301
2012,3804034.9016,189336.8511,187863.3623,582.6082,890.8806,3557010.0,25752.0,31936.0505
2011,3526318.731,186226.0728,179199.1732,528.4148,6498.48480000002,3286220.0,24556.0,29316.6582
2010,3269508.1667,167609.023,164761.023,477.0,2371.0,3052738.0,22392.0,26769.1437
2009,2976897.8313,152451.1926,150797.5369,419.3017,1234.354,2779081.0,22314.0,23051.6387
2008,2867891.96389,146192.8479,144452.1183,474.0,1266.7296,2682114.0,20334.0,19251.11599
2007,2227761.2112,135670.0,128712.0,450.9885,6507.0,2050680.0,22835.0,18576.2112
2006,2024157.6406,125655.7958,119728.17,423.0,5504.6258,1860487.0,22047.0,15967.8448
2005,1847018.0,115583.0,110651.0,319.0,4613.0,1697381.0,20227.0,13827.0
2004,1767453.0,111764.0,107346.0,378.0,4040.0,1624526.0,19040.0,12123.0
2003,1587497.0,97260.0,93634.0,412.0,3214.0,1464335.0,17142.0,8759.0
2002,1608150.0,105606.0,101741.0,516.0,3349.0,1475257.0,18693.0,8594.0
2001,1534122.0,105155.0,101680.0,558.0,2917.0,1402798.0,18645.0,7524.0
2000,1478573.0,105073.0,101847.0,519.0,2707.0,1347392.0,19386.0,6721.66
