省份编码,省份,年份,国有控股工业企业单位数(个),国有控股工业企业亏损企业单位数(个),国有控股工业企业实收资本(亿元),国有控股工业企业国家资本金(亿元),国有控股工业企业集体资本金(亿元),国有控股工业企业法人资本金(亿元),国有控股工业企业个人资本金(亿元),国有控股工业企业港澳台资本金(亿元),国有控股工业企业外商资本金(亿元),国有控股工业企业流动资产合计(亿元),国有控股工业企业应收账款净额(亿元),国有控股工业企业存货(亿元),国有控股工业企业产成品(亿元),国有控股工业企业固定资产合计(亿元),国有控股工业企业固定资产原价合计(亿元),国有控股工业企业累计折旧(亿元),国有控股工业企业资产总计(亿元),国有控股工业企业流动负债合计(亿元),国有控股工业企业应付帐款(亿元),国有控股工业企业负债合计(亿元),国有控股工业企业所有者权益合计(亿元),国有控股工业企业主营业务收入(亿元),国有控股工业企业主营业务成本(亿元),国有控股工业企业销售费用(亿元),国有控股工业企业主营业务税金及附加(亿元),国有控股工业企业管理费用(亿元),国有控股工业企业财务费用(亿元),国有控股工业企业利息支出(亿元),国有控股工业企业营业利润(亿元),国有控股工业企业利润总额(亿元),国有控股工业亏损企业亏损总额(亿元),国有控股工业企业应交所得税(亿元),国有控股工业企业本年应交增值税(亿元),国有控股工业企业工业销售产值(现价)(亿元),国有控股工业企业出口交货值(亿元)
110000,北京市,2019,656,,,,,,,,,9889.3,2177.06,1175.05,389.57,,,,37931.13,,,14818.58,,,,338.53,,554.8,156.01,,,951.84,,,,,
110000,北京市,2018,629,,,,,,,,,9000.5,1956.7,1036.2,382.7,,,,34083.3,,,14096.9,,,,342.2,,459.8,141.1,,,875.6,,,,,
110000,北京市,2017,664,130,12059.86,10266,4.61,1492.39,39.07,31.71,226.08,9527.03,1985.62,1078.23,363.01,5839.34,11278.12,5382.64,33132.04,9311.83,2371.87,14061.22,19066.01,11712.97,10060.39,320.06,,448.85,140.16,160.51,1233.65,1235.5,163,,,,
110000,北京市,2016,697,140,11401.13,9583.76,4.19,1506.35,44.23,28.03,234.57,9238.2,2000.41,1026.48,332.36,5454.22,10441.05,5036.54,31481.11,8723.56,2416.82,13623.18,17847.59,11122.99,9509.41,304.9,,463.2,137.13,163.12,896.21,1020.27,82.49,,,10589.61,240.1
110000,北京市,2015,745,177,8799.85,7174.21,4.83,1335.16,47.71,31.5,206.42,8523.43,1648.3,985.07,289.39,5324.41,9895.73,4677.61,28300.17,7418.53,2001.28,12743.36,15553.35,10507.68,9039.28,264.23,,414.46,140.22,117.06,894.61,1079.01,62.21,,,10026.41,266.4
110000,北京市,2014,765,174,5114.09,3400.04,4.77,1429.72,69.38,34.92,175.26,8088.88,1616.07,1059.98,313.38,5042.56,9261.67,4220.23,24400.9,7003.13,1972.74,12403.69,11997.21,11180.75,9763.46,243.84,269.23,408.12,169.82,207.13,833.46,937.27,66.52,139.93,313.86,10600.38,278.01
110000,北京市,2013,775,175,4936.62,3049.7,3.65,1619.0,69.88,22.55,171.85,7342.66,1567.87,1044.47,289.19,4840.35,8640.4,3801.28,22785.56,6489.03,1913.07,11913.98,10871.58,10644.2,9351.75,234.74,246.22,386.97,172.32,194.43,641.2,714.24,114.17,127.07,291.01,9997.79,237.04
110000,北京市,2012,790,154,5405.99375,2820.41286,3.06761,2275.63071,126.65547,19.55817,160.66893,6743.22193,1406.30033,1044.82609,286.56111,4751.8069,8067.72013,3364.18553,21598.30759,5779.23883,1665.05352,11061.18091,10536.85089,9775.30494,8584.07752,212.95048,234.11401,352.41774,167.5055,184.70367,646.72179,783.92755,61.5006,121.95857,246.94202,9069.57055,236.19816
110000,北京市,2011,781,142,5076.09674,2630.7814,13.63276,2158.22785,124.81804,17.96693,130.66976,5646.87589,1084.68283,1050.22847,302.0888,4110.66721,6827.22231,2712.90328,19370.25584,4736.93414,1378.12666,9443.94904,9926.3068,8867.99673,7769.22751,193.57146,208.53424,313.20684,120.77797,141.54442,578.47612,653.48769,64.61587,97.12435,252.2564,8118.28327,215.43484
110000,北京市,2010,1009,224,4556.7047,2788.4192,1.52264,1542.86098,97.45288,14.41386,112.03514,4682.83187,650.86925,832.45551,230.98921,4361.63825,6138.83486,2364.87533,16641.06534,3879.32349,1052.56023,7992.52569,8648.53965,7828.26531,6806.16754,157.18677,178.92687,285.97847,97.31999,88.80591,517.08546,558.16368,64.00969,102.59574,221.17957,7156.5822,190.79995
110000,北京市,2009,1058,259,4369.00839,2669.77308,1.4745,1490.77284,81.95337,14.9708,110.0638,3633.60656,611.88737,695.01331,193.27772,3889.36905,5372.76225,2058.76226,14268.36566,3165.79011,952.76442,6778.13996,7490.2257,6246.99243,5479.85635,122.73349,154.81309,257.2501,92.56638,84.32558,332.56661,368.41018,79.3873,65.74864,185.42421,5425.3,152.84672
110000,北京市,2008,1116,301,4134.20196,2460.9141,1.13873,1496.45294,58.36609,15.75457,101.57553,3447.16802,557.96855,653.65078,189.65128,3763.05523,4933.42029,1786.88611,12218.50542,3161.94555,780.32411,5474.49279,6744.01263,5500.30942,4988.71293,109.302,73.79229,233.43653,82.81148,78.75425,209.80003,255.5416,117.26254,49.79575,158.79994,4922.98973,198.68596
110000,北京市,2007,1104,251,3737.62239,2463.4588,7.12559,1123.34947,42.06989,9.33307,92.28557,2759.83148,445.85132,661.47754,185.09352,3473.512,4271.98421,1543.89429,12152.07034,2737.61155,637.29986,4137.12814,8014.9422,5033.90529,4444.32703,103.25888,66.98091,226.52621,50.02466,47.44937,168.97738,382.75103,23.03016,77.96947,174.18907,4430.96131,244.38557
110000,北京市,2006,1469,455,3701.86,2459.1,7.17,1125.39,41.19,7.4,61.62,2226.96,347.71,535.94,165.28,2751.46,3622.09,1353.65,10613.19,2216.66,472.89,3433.72,7179.48,4217.84,3762.96,88.02,56.42,215.58,39.87,39.98,77.3,290.51,50.49,36.26,132.03,3699.55,152.35
110000,北京市,2005,1745,619,3751.3192,2345.08547,3.07614,1240.30311,39.91051,22.16909,100.77488,2148.69757,384.64156,565.84123,173.90199,2582.76703,3448.59074,1253.53548,10105.97135,1983.60837,438.68417,3147.10575,6958.8656,3867.93449,3406.41694,92.51139,47.47882,221.01149,40.28852,42.92827,83.72746,240.1259,73.11576,36.32755,124.64586,3502.39856,212.8866
110000,北京市,2004,2144,754,3927.04557,2521.30262,4.94939,1238.92234,40.56305,21.24352,100.06465,1996.63559,350.60462,522.10293,162.31372,2410.4433,3094.26629,1114.38684,9796.64408,1833.9012,405.47742,2849.08685,6947.55723,3516.45094,3004.0406,93.35582,41.01728,210.80161,42.3055,39.17867,149.47317,263.89359,39.94026,46.08602,124.29871,3192.34883,161.11597
