省份编码,省份,年份,原油产量(万吨),天然气产量(亿立方米),原盐产量(万吨),成品糖产量(万吨),啤酒产量(万千升、万吨),卷烟产量(亿支、万箱),纱产量(万吨),布产量(亿米),机制纸及纸板产量(万吨),焦炭产量(万吨),硫酸(折100%)产量(万吨),烧碱(折100%)产量(万吨),纯碱(碳酸钠)产量(万吨),乙烯产量(万吨),农用氮、磷、钾化肥产量(万吨),化学农药原药产量(万吨),初级形态的塑料产量(万吨),化学纤维产量(万吨),水泥产量(万吨),平板玻璃产量(万重量箱),生铁产量(万吨),粗钢产量(万吨),钢材产量(万吨),金属切削机床产量(万台),大中型拖拉机产量(万台),汽车产量(万辆),轿车产量(万辆),家用电冰箱产量(万台),房间空调器产量(万台),家用洗衣机产量(万台),移动通信手持机产量(万台),微型电子计算机产量(万台),集成电路产量(万块),彩色电视机产量(万台),发电量(亿千瓦小时),水电发电量(亿千瓦小时)
110000,北京市,2019,0,29.73,,,91.434123,165.1675,,,4.189451,,,,,81.4675,,,114.118375,0.252148,318.7738,56.9574,,0,170.7077,0.8304,0,164.0186,78.0372,,0.0427,,8373.3155,513.2012,1544892.99,417.8501,464.09,10.19
110000,北京市,2018,,17.27635,,,108.46,169.64,,,5.69,,,,,79.41,,,120.11,0.2,396.98,54.52,,,179.88,1.26,,165.26,78.06,,,,9029.61,564.47,1374900.0,896.51,450.454652,9.91425
110000,北京市,2017,0,15.411655,,,129.99,166.38,,0,5.95,,,,,79.33,0,,127.75,0.21,374.38,52.72,0,0,178.99,1.58,,197.04,81.93,0,,,7483.08,742.42,931400.0,382.68,388.401193,11.319799
110000,北京市,2016,,21.6825,,,135.27,174.61,,0.02,6.06,,,,,69.58,,,113.38,0.18,510.28,55.6,,,162.8,1.32,,237.95,98.23,,,,6923.91,684.08,805400.0,304.57,434.3901,12.2914
110000,北京市,2015,,16.882389,,,138.2,183.9,,0.02,5.0,,,,,78.6,,,126.12,0.2,553.5,57.7,,1.5,175.0,1.4,,202.4,99.4,,,,9540.8,885.6,627000.0,222.4,420.884724,6.644492
110000,北京市,2014,,12.8,,,156.6,189.2,,0.03,6.6,,,,,77.6,,,116.2,0.1,703.86,40.9,,2.1,195.0,1.7,,206.3,108.1,,,,17983.6,1015.6,543000.0,193.6,363.97,6.8
110000,北京市,2013,,5.79,,,168.3,201.1,0.20501,0.036134,4.7,,0.1,,,72.3,,,102.1,0.1,901.54,,,2.3,219.0,1.1,,199.95,90.49,83.7,,,18716.7,1141.1,374000.0,100.0,335.82,4.72
110000,北京市,2012,,,,,166.21,198.6,0.250961,,11.3,,,3.8,,84.0,,,108.8,0.2,882.34,,,2.6,254.54,1.93,,166.16,77.64,80.4,,0.1,19949.3,1074.5,319400.0,54.4,290.99,4.38
110000,北京市,2011,,,,,164.82,208.9,0.3,0.033895,10.0,,,6.4,,89.6,,,113.15,0.1,923.29,,,2.9,289.58,2.05,,150.46,67.18,73.5,,0.2,25962.3,1083.7,320000.0,5.0,262.98,4.48
110000,北京市,2010,,,,,164.64,203.0,0.37,,10.57,160.57,,6.7,,96.15,0.23,,128.17,0.26,1049.04,,411.94,427.54,794.16,1.68,,150.26,62.25,92.0659,,0.4,27387.96,938.59,252700.0,,269.0,4.4
110000,北京市,2009,,,,,161.28,193.22,0.56,0.11,9.47,166.14,,6.74,,84.13,0.22,,120.81,0.3,1080.33,,442.67,464.85,769.72,0.65,,127.06,53.81,128.72,,0.37,21355.27,842.66,182900.0,,242.65,0.37
110000,北京市,2008,,,,,153.45,182.28,0.93,0.11,12.26,170.33,2.47,7.48,,85.41,0.8,,123.52,0.77,876.51,90.69,448.79,466.81,644.64,0.92,,76.61,28.32,79.04,,0.8,20707.61,691.51,179900.0,,243.05,0.31
110000,北京市,2007,,,,,172.52,171.04,0.48,0.05,11.12,176.989305,4.08,13.92,,90.86,0.57,0.06,126.55,0.86,1168.6,235.22,780.51,810.76,1031.02,0.73,,70.67,20.28,73.05,,1.96,22719.9,832.18,156600.0,,228.08,4.93
110000,北京市,2006,,,,,158.74,147.6,0.54,0.09,9.41,253.57,5.93,18.09,,99.08,1.11,0.06,140.29,1.21,1271.33,246.08,787.79,818.14,1016.79,0.7,,68.37,27.02,,,0.89,14068.0,735.6,117812.0,,214.85,4.94
110000,北京市,2005,,0.3248,,,152.3,136.78,2.1,0.43,16.98,344.36,5.23,13.5,,99.05,4.2,0.09,138.43,0.93,1183.8,293.42,813.88,827.56,966.29,1.0,,58.7,22.09,81.71,,,8948.0,649.57,125708.0,,213.35,4.71
110000,北京市,2004,,,,0.02,138.46,123.94,2.46,0.41,17.62,362.04,5.57,18.76,0.01,98.22,1.72,0.14,135.6,2.85,1214.19,658.7,803.48,827.52,870.61,0.8,,53.9,15.02,63.13,0.47,10.01,3999.0,533.35,111363.0,0.27,203.89,3.96
