省份编码,省份,年份,大中型工业企业单位数(个),大中型工业企业亏损企业单位数(个),大中型工业企业实收资本(亿元),大中型工业企业国家资本金(亿元),大中型工业企业集体资本金(亿元),大中型工业企业法人资本金(亿元),大中型工业企业个人资本金(亿元),大中型工业企业港澳台资本金(亿元),大中型工业企业外商资本金(亿元),大中型工业企业流动资产合计(亿元),大中型工业企业应收账款净额(亿元),大中型工业企业存货(亿元),大中型工业企业产成品(亿元),大中型工业企业固定资产合计(亿元),大中型工业企业固定资产原价合计(亿元),大中型工业企业累计折旧(亿元),大中型工业企业资产总计(亿元),大中型工业企业流动负债合计(亿元),大中型工业企业应付帐款(亿元),大中型工业企业负债合计(亿元),大中型工业企业所有者权益合计(亿元),大中型工业企业主营业务收入(亿元),大中型工业企业主营业务成本(亿元),大中型工业企业销售费用(亿元),大中型工业企业主营业务税金及附加(亿元),大中型工业企业管理费用(亿元),大中型工业企业财务费用(亿元),大中型工业企业利息支出(亿元),大中型工业企业营业利润(亿元),大中型工业企业利润总额(亿元),大中型工业亏损企业亏损总额(亿元),大中型工业企业应交所得税(亿元),大中型工业企业本年应交增值税(亿元),大中型工业企业工业销售产值(现价)(亿元),大中型工业企业出口交货值(亿元)
110000,北京市,2019,551,,,,,,,,,14539.85,3247.39,1918.09,665.46,,,,44720.3,,,18251.43,,,,989.51,,863.46,172.5,,,1450.26,,,,,
110000,北京市,2018,649,,,,,,,,,13812.4,3174.5,1812.4,708.5,,,,41329.8,,,18099.1,,,,976.5,,768.4,168.8,,,1276.2,,,,,
110000,北京市,2017,665,115,13031.14,10093.06,13.41,1736.32,298.47,157.17,732.72,13556.32,3123.56,1718.86,623.46,6477.44,12565.57,6038.94,39425.64,12134.98,3534.62,17348.61,22077.03,17115.65,14245.61,898.29,,742.28,167.88,194.74,1726.69,1743.92,181.26,,,,
110000,北京市,2016,676,111,12199.99,9391.41,13.73,1707.23,288.1,164.68,634.85,12892.68,3170.65,1583.51,533.2,6049.09,11609.93,5647.62,36891.28,11374.51,3574.03,16768.92,20122.32,16356.13,13704.27,817.1,,733.18,183.54,188.68,1212.46,1365.06,184.17,,,14856.86,803.21
110000,北京市,2015,714,144,9483.08,7001.86,11.64,1412.94,277.58,167.76,611.3,11742.91,2700.9,1527.8,501.35,5839.53,10926.7,5220.81,32980.93,9718.55,3018.51,15249.56,17731.37,15540.69,13008.65,755.55,,665.65,179.69,140.54,1221.31,1376.18,155.88,,,14381.3,909.53
110000,北京市,2014,748,137,5689.42,3286.7,16.25,1385.8,239.65,174.21,584.41,10804.55,2496.46,1563.6,484.39,5623.41,10395.9,4764.37,28450.38,8838.67,2863.27,14455.64,13994.74,16039.78,13566.07,713.67,290.2,643.62,184.45,226.42,1198.98,1303.5,86.98,210.3,464.15,14872.19,1258.85
110000,北京市,2013,777,128,5529.51,2976.1,6.29,1597.62,220.79,98.4,623.81,9839.73,2328.78,1561.08,441.83,5428.93,9726.3,4302.8,26512.22,8192.23,2655.77,13806.85,12705.37,14956.3,12665.52,675.3,266.63,618.01,177.72,211.22,1000.76,1084.99,124.7,188.69,442.16,13799.45,1343.75
110000,北京市,2012,776,123,5893.27069,2735.2051,6.4683,2225.9191,206.74532,94.86012,623.26578,8937.25969,2137.0188,1477.47239,399.908,5323.26911,9272.76605,3833.13025,24635.75524,7293.62602,2426.75122,12686.02635,11949.42974,13316.4274,11261.60741,608.64651,247.30204,540.91722,176.09514,196.78181,918.27684,1059.46,83.25333,181.5369,366.51353,12132.25392,1335.68449
110000,北京市,2011,779,119,5508.10125,2604.94444,6.22473,2063.78637,184.45178,89.12706,559.56687,7470.79901,1677.26671,1438.43943,390.27128,4556.14802,7706.33162,3153.75603,21869.76913,5992.47436,2057.8198,10780.77522,11088.99391,12315.94752,10497.40546,519.18046,216.52676,473.15824,118.76627,149.86615,825.34115,909.31626,79.49398,150.39363,345.61791,11190.52816,1327.37062
110000,北京市,2010,678,107,4919.01827,2755.39688,4.93653,1445.44169,144.69549,60.54643,508.00125,6520.09749,1296.45408,1248.54746,322.55168,4817.59444,6868.67622,2719.11748,19073.02328,5272.55222,1873.51686,9480.16612,9592.85716,11387.45612,9748.79755,411.98661,182.9531,414.25806,107.34582,91.79533,772.63157,814.22798,65.89138,145.75543,315.88835,10369.11649,1474.44355
