省份编码,省份,年份,规模以上工业企业单位数(个),规模以上工业企业亏损企业单位数(个),规模以上工业企业实收资本(亿元),规模以上工业企业国家资本金(亿元),规模以上工业企业集体资本金(亿元),规模以上工业企业法人资本金(亿元),规模以上工业企业个人资本金(亿元),规模以上工业企业港澳台资本金(亿元),规模以上工业企业外商资本金(亿元),规模以上工业企业流动资产合计(亿元),规模以上工业企业应收账款净额(亿元),规模以上工业企业存货(亿元),规模以上工业企业产成品(亿元),规模以上工业企业固定资产合计(亿元),规模以上工业企业固定资产原价合计(亿元),规模以上工业企业累计折旧(亿元),规模以上工业企业资产总计(亿元),规模以上工业企业流动负债合计(亿元),规模以上工业企业应付帐款(亿元),规模以上工业企业负债合计(亿元),规模以上工业企业所有者权益合计(亿元),规模以上工业企业主营业务收入(亿元),规模以上工业企业主营业务成本(亿元),规模以上工业企业销售费用(亿元),规模以上工业企业主营业务税金及附加(亿元),规模以上工业企业管理费用(亿元),规模以上工业企业财务费用(亿元),规模以上工业企业利息支出(亿元),规模以上工业企业营业利润(亿元),规模以上工业企业利润总额(亿元),规模以上工业亏损企业亏损总额(亿元),规模以上工业企业应交所得税(亿元),规模以上工业企业本年应交增值税(亿元),规模以上工业企业工业销售产值(现价)(亿元),规模以上工业企业出口交货值(亿元)
110000,北京市,2019,3121,,,,,,,,,19054.25,4601.55,2860.4,1014.72,,,,52222.01,,,21974.48,,,,1237.55,,1267.6,214.2,,,1710.25,,,,,
110000,北京市,2018,3197,,,,,,,,,17938.5,4473.1,2617.6,990.8,,,,48009.5,,,21437.1,,21435.7,17812.7,1199.4,,1088.8,204.7,,,1530.0,397,,,,
110000,北京市,2017,3231,645,14451.89,10279.6,24.58,2338.54,631.25,223.71,954.21,17596.37,4407.46,2539.78,912.46,7258.42,13964.03,6664.38,45985.76,15028.11,4674.51,20671.02,25211.51,20722.04,17123.3,1103.98,,1064.22,199.66,233.16,1976.11,2023.67,255.17,,,18269.5,1004
110000,北京市,2016,3340,636,13661.07,9591.66,24.6,2305.68,648.42,233.14,857.57,16643.16,4392.53,2349.5,800.82,6833.06,12977.97,6234.63,43093.68,14050.59,4511.83,19798.13,23272.45,19746.96,16395.61,1025.0,322.133,1044.41,215.38,224.24,1407.36,1608.26,261.84,,566.7337,17837.5,956.8
110000,北京市,2015,3548,757,10808.95,7182.52,22.27,1953.95,603.33,235.85,811.03,15221.43,3830.4,2277.16,777.94,6660.18,12265.48,5767.77,38609.76,12228.18,4006.23,18102.44,20480.19,18864.9,15710.97,925.25,,956.61,211.66,178.65,1381.06,1597.71,214.26,,,17279.27,1078.39
110000,北京市,2014,3686,684,6911.61,3408.12,28.37,1949.39,511.77,234.78,776.78,14042.47,3579.11,2296.26,765.06,6277.84,11532.94,5251.64,33557.05,11254.87,3827.5,17137.57,16389.1,19776.67,16699.44,867.55,305.14,919.14,214.49,264.34,1374.76,1515.75,137.49,251.55,561.56,18228.21,1426.88
110000,北京市,2013,3641,640,6608.45,3055.32,18.92,2110.92,448.85,162.6,805.33,12730.59,3315.13,2218.18,686.89,6060.28,10788.59,4745.26,30800.73,10318.63,3530.14,16207.96,14591.63,18688.63,15833.59,825.11,281.39,868.32,203.65,243.48,1161.12,1282.88,173.1,232.59,537.17,17186.6,1506.72
110000,北京市,2012,3692,623,6921.62269,2826.11959,18.80693,2719.82195,412.11601,156.71272,787.23852,11554.76664,2973.13277,2104.36665,635.48414,5945.58702,10277.19322,4230.35263,28613.15568,9209.88137,3163.54638,14837.22017,13774.65587,16905.13567,14307.40988,755.80181,263.58446,768.22601,197.48086,223.9149,1094.8342,1267.88684,121.29444,220.32056,455.76144,15446.64922,1516.51508
110000,北京市,2011,3746,584,6401.56396,2635.7067,29.43464,2499.92208,378.7881,150.1826,707.52984,9820.25756,2387.11779,2025.76191,618.69963,5137.6622,8620.81739,3509.09451,25321.74617,7696.32064,2689.93005,12648.60732,12673.13885,15753.3565,13397.60964,652.33915,231.93019,675.49621,136.61305,172.36476,1022.73525,1129.49913,110.04799,192.86257,427.05561,14357.43567,1535.95957
110000,北京市,2010,6884,1256,5931.34911,2793.81838,24.772,1906.47698,384.28661,125.80046,696.19468,9012.95007,2003.24105,1894.5996,542.91005,5551.30726,7936.06478,3131.85751,22750.57739,7159.39153,2575.42213,11548.07403,11202.50336,14807.11472,12611.21355,557.66514,193.09146,644.83129,125.22857,107.64108,956.00996,1028.33601,105.71135,187.53218,409.78941,13526.56646,1641.67948
