省份编码,省份,年份,外商及港澳台商投资工业企业单位数(个),外商及港澳台商投资工业企业亏损企业单位数(个),外商及港澳台商投资工业企业实收资本(亿元),外商及港澳台商投资工业企业国家资本金(亿元),外商及港澳台商投资工业企业集体资本金(亿元),外商及港澳台商投资工业企业法人资本金(亿元),外商及港澳台商投资工业企业个人资本金(亿元),外商及港澳台商投资工业企业港澳台资本金(亿元),外商及港澳台商投资工业企业外商资本金(亿元),外商及港澳台商投资工业企业流动资产合计(亿元),外商及港澳台商投资工业企业应收账款净额(亿元),外商及港澳台商投资工业企业存货(亿元),外商及港澳台商投资工业企业产成品(亿元),外商及港澳台商投资工业企业固定资产合计(亿元),外商及港澳台商投资工业企业固定资产原价合计(亿元),外商及港澳台商投资工业企业累计折旧(亿元),外商及港澳台商投资工业企业资产总计(亿元),外商及港澳台商投资工业企业流动负债合计(亿元),外商及港澳台商投资工业企业应付帐款(亿元),外商及港澳台商投资工业企业负债合计(亿元),外商及港澳台商投资工业企业所有者权益合计(亿元),外商及港澳台商投资工业企业主营业务收入(亿元),外商及港澳台商投资工业企业主营业务成本(亿元),外商及港澳台商投资工业企业销售费用(亿元),外商及港澳台商投资工业企业主营业务税金及附加(亿元),外商及港澳台商投资工业企业管理费用(亿元),外商及港澳台商投资工业企业财务费用(亿元),外商及港澳台商投资工业企业利息支出(亿元),外商及港澳台商投资工业企业营业利润(亿元),外商及港澳台商投资工业企业利润总额(亿元),外商及港澳台商投资工业亏损企业亏损总额(亿元),外商及港澳台商投资工业企业应交所得税(亿元),外商及港澳台商投资工业企业本年应交增值税(亿元),外商及港澳台商投资工业企业工业销售产值(现价)(亿元),外商及港澳台商投资工业企业出口交货值(亿元)
110000,北京市,2019,650,,,,,,,,,6473.34,1392.59,1097.85,434.26,,,,9703.15,,,5353.34,,,,710.61,,412.69,19.67,,,820.12,,,,,
110000,北京市,2018,719,,,,,,,,,6282.6,1444.0,1066.8,438.5,,,,9753.0,,,5357.1,,,,691.4,,383.4,34.9,,,743.7,,,,,
110000,北京市,2017,719,186,1823.98,217.92,0.75,383.41,52.69,216.71,952.5,5567.01,1384.84,960.4,391.27,1499.57,2911.07,1398.1,9095.17,4494.62,1817.11,5104.19,3974.19,8200.71,6515.95,662.5,,369.57,38.9,52.64,752.49,776.84,72.56,,,,
110000,北京市,2016,746,171,1818.19,182.56,2.51,495.99,55.03,226.28,855.82,5192.56,1430.09,814.88,291.5,1425.02,2743.69,1326.94,8588.51,4171.28,1783.12,4705.74,3880.8,8197.48,6539.63,637.11,,372.09,61.22,45.77,616.04,664.4,80.36,,,7166.56,647.35
110000,北京市,2015,803,211,1637.2,151.19,2.4,407.98,37.46,228.99,809.18,4651.7,1205.4,791.88,285.95,1384.4,2531.32,1190.82,7644.52,3674.47,1584.52,4130.15,3505.94,7773.87,6236.65,579.73,,356.9,50.79,46.03,564.56,585.27,100.53,,,7004.19,747.62
110000,北京市,2014,852,189,1542.71,94.11,2.94,408.16,34.98,228.01,774.51,4372.93,1149.05,821.44,274.51,1215.8,2343.75,1103.99,7091.93,3314.58,1528.63,3829.13,3261.78,7908.3,6382.82,543.69,137.4,341.26,28.12,49.2,585.95,604.45,52.69,132.46,231.52,7175.93,1097.42
110000,北京市,2013,888,185,1477.52,97.39,2.01,386.86,27.97,158.86,804.43,3957.99,1091.03,832.86,253.2,1204.54,2246.04,1020.53,6438.83,2948.19,1358.41,3468.38,2969.77,7330.64,5896.37,512.74,130.47,327.25,25.21,43.63,553.16,572.84,59.41,120.63,231.08,6693.31,1231.85
110000,北京市,2012,925,205,1392.59,81.63,1.74,361.26,22.77,155.68,769.52,3606.92,1064.09,771.71,219.73,1123.89,2244.54,942.79,5582.87,2706.33,1260.98,3069.23,2513.23,6395.96,5166.55,468.56,97.2,274.5,28.11,35.09,429.01,444.94,49.08,102.07,194.61,5798.82,1221.44
110000,北京市,2011,959,190,1242.94494,69.04205,12.77886,303.11425,18.39263,149.8298,689.78735,3407.59339,1001.53951,746.80517,207.97451,954.3069,1821.01527,872.76922,5025.53642,2462.1965,1140.68097,2732.4631,2293.07332,6259.78108,5104.56383,402.71546,81.18939,251.43566,8.02117,29.06312,490.62615,504.8783,32.96792,100.27155,172.33438,5676.37882,1270.04902
110000,北京市,2010,1342,325,1134.68355,68.10898,1.31391,243.94036,12.64818,125.33686,683.33526,3046.85383,909.51061,688.80089,163.60558,1006.95519,1677.45662,776.35862,4459.78516,2403.99452,1220.23928,2622.49534,1837.28982,5921.61496,4924.4816,329.7639,48.14288,235.62431,21.74262,13.21147,405.95463,416.35234,45.55078,83.37075,170.76003,5391.6049,1402.29089
110000,北京市,2009,1397,384,1122.90767,67.18497,4.344,237.38062,11.35838,141.43978,661.19992,2572.40865,818.90378,577.56645,141.65521,978.27855,1620.07049,701.26782,3890.33891,2011.22108,924.94531,2220.82123,1669.51768,4939.87397,4128.94706,271.3902,30.6064,209.63671,22.88087,15.60051,318.93134,327.43227,55.67368,71.13284,137.28737,4573.01606,1314.08744
