年份,亿元以上商品交易零售市场成交额,食品、饮料、烟酒类零售市场成交额,食品类零售市场成交额,粮油类零售市场成交额,肉禽蛋类零售市场成交额,水产品类零售市场成交额,蔬菜类零售市场成交额,干鲜果品类零售市场成交额,饮料类零售市场成交额,烟酒类零售市场成交额,服装鞋帽、针、纺织品类零售市场成交额,服装类零售市场成交额,鞋帽类零售市场成交额,针、纺织品类零售市场成交额,化妆品类零售市场成交额,金银珠宝类零售市场成交额,日用品类零售市场成交额,洗涤用品类零售市场成交额,儿童玩具类零售市场成交额,五金、电料类零售市场成交额,体育、娱乐用品类零售市场成交额,书报杂志类零售市场成交额,电子出版物及音像制品类零售市场成交额,家用电器和音像器材类零售市场成交额,中西药品类零售市场成交额,西药类零售市场成交额,中草药及中成药类零售市场成交额,文化办公用品类零售市场成交额,家具类零售市场成交额,通讯器材类零售市场成交额,煤炭及制品类零售市场成交额,木材及制品类零售市场成交额,石油及制品类零售市场成交额,化工材料及制品类零售市场成交额,化肥类零售市场成交额,金属材料类零售市场成交额,建筑及装潢材料类零售市场成交额,机电产品及设备类零售市场成交额,农机类零售市场成交额,汽车类零售市场成交额,种子饲料类零售市场成交额,棉麻类零售市场成交额,其他类零售市场成交额
2019,13283.3672,,,283.025,911.163,716.3743,616.393,256.2047,101.9509,110.7648,1411.4928,993.6722,234.6042,183.2164,62.6955,113.2487,321.3761,,,225.9434,21.9337,17.1057,15.2037,112.0123,92.252,5.0766,83.0574,225.4617,908.0151,67.9102,1.1293,54.1963,0.9094,8.5201,3.1193,57.4801,1265.6707,30.4513,4.8861,4680.4477,5.4035,2.5789,297.1208
2018,14050.0896,,,320.5357,886.9811,750.7806,652.4876,305.6522,113.1524,153.7402,1472.2185,1049.8104,236.255,186.1531,68.5888,77.0378,332.2931,,,257.2008,30.4962,16.4425,18.391,129.3409,75.804,7.6421,63.2831,266.6198,1030.0727,76.1505,2.1181,56.5057,0.9838,9.0069,3.3649,74.3404,1426.5883,27.7624,5.0611,4681.0264,6.6061,4.0381,378.2106
2017,14250.7363,,,358.7373,887.2526,766.793,655.3146,288.6582,116.4883,162.8561,1717.0325,1212.335,276.8207,227.8768,67.1385,92.7507,442.3579,,63.8451,229.5896,22.3797,19.9956,29.8503,136.3751,33.7403,6.2982,22.4418,341.674,884.5774,91.9894,1.7867,33.8602,1.4395,9.1428,2.5317,40.5268,1232.8147,34.1042,5.3685,4718.7003,6.0802,8.2493,502.1392
2016,14280.3558,,,388.9432,919.2292,764.9659,675.9455,313.0029,121.3609,153.9325,1844.1364,1319.5807,286.2565,238.2992,67.1844,89.4059,442.4297,,73.3409,243.7214,25.2735,17.5908,33.4846,147.9829,35.4147,6.3787,25.1691,380.3781,992.4714,101.5636,1.8601,33.4885,2.0693,9.0243,3.6456,36.8881,1165.0808,39.2123,6.6335,4600.6525,6.1401,10.8787,489.2582
2015,14296.8404,,,353.4143,929.465,787.4304,674.0614,291.6379,115.9931,141.2748,1934.6121,1409.0884,298.8531,226.6706,68.6439,101.1515,450.187,,74.4237,257.5532,35.6704,17.3019,37.1444,142.4008,29.6082,6.7395,19.308,438.491,980.0478,109.3001,2.3084,35.984,2.1265,7.7959,3.1965,35.0495,1158.8588,33.4447,4.7251,4459.9798,5.3866,12.7457,485.7447
2014,13986.2331,3069.6007,,348.2162,883.5644,749.5224,651.1659,286.7955,125.9737,146.2224,1949.2169,1410.4638,302.8369,235.9162,67.5607,105.5732,470.207,,74.8172,270.6553,31.2103,17.3487,26.5409,161.1423,37.8941,7.767,27.3153,468.8561,990.8632,121.8014,2.3068,27.4558,1.3434,9.3906,4.3833,31.5164,1095.1578,43.2717,10.1308,4236.0218,5.0384,11.7688,462.2947
2013,13736.8264,3239.3763,2968.4835,284.061,883.753,710.7265,643.3182,285.9817,126.7,144.1928,1942.5634,1374.7977,300.9891,266.7766,65.5977,89.051,422.5463,69.8334,65.2535,272.7543,28.1359,17.7284,34.801,203.3921,34.2591,7.2899,23.1009,577.8046,878.679,156.7291,2.5422,32.1684,2.8945,22.2919,14.4717,28.0779,1034.2362,42.5114,8.9618,4167.9631,5.8614,10.1617,424.6995
2012,12882.0043,3073.2276,2788.4523,250.7265,875.451,660.5071,578.3413,256.9626,129.3404,155.4349,1659.1585,1109.3893,288.8467,260.9225,70.7414,80.2004,429.6048,59.5848,45.1332,262.9419,30.4424,16.552,51.1404,209.8035,37.6661,8.8884,24.8386,738.2245,788.723,121.6628,2.4336,31.1539,1.4703,22.3374,13.1112,21.0931,992.1742,53.3855,6.7364,3768.6777,5.1939,8.5209,405.4745
2011,12626.4574,2842.282,2608.1096,244.2839,821.7126,621.0204,551.6461,240.3101,97.1575,137.0149,1563.3547,985.0899,282.3352,295.9296,64.8481,76.3074,530.9902,56.3238,45.7603,272.0943,34.0239,16.6949,41.0511,222.7226,42.408,8.6675,29.7582,681.6502,730.9931,125.7239,5.3913,50.9014,2.0249,23.5095,8.3509,44.4911,1367.1447,168.9669,15.7604,3304.6268,6.1659,5.9631,402.1274
2010,11748.5963,2589.9702,2371.3454,224.6336,709.6494,586.1561,492.7017,224.3677,86.7238,131.901,1411.5587,936.89,236.7228,237.9459,63.2463,48.5961,435.9706,69.8025,42.3267,236.2956,37.2509,14.9953,35.5956,195.7274,23.2151,6.9345,12.9074,594.8928,712.6115,116.1315,2.2842,46.486,1.8117,20.9087,6.5607,41.0404,1397.8968,123.5729,3.0623,3295.476,5.4639,5.6089,291.9892
