年份,亿元以上商品交易市场成交额,食品、饮料、烟酒类成交额,食品类成交额,粮油类成交额,肉禽蛋类成交额,水产品类成交额,蔬菜类成交额,干鲜果品类成交额,饮料类成交额,烟酒类成交额,服装鞋帽、针、纺织品类成交额,服装类成交额,鞋帽类成交额,针、纺织品类成交额,化妆品类成交额,金银珠宝类成交额,日用品类成交额,洗涤用品类成交额,儿童玩具类成交额,五金、电料类成交额,体育、娱乐用品类成交额,书报杂志类成交额,电子出版物及音像制品类成交额,家用电器和音像器材类成交额,中西药品类成交额,西药类成交额,中草药及中成药类成交额,文化办公用品类成交额,家具类成交额,通讯器材类成交额,煤炭及制品类成交额,木材及制品类成交额,石油及制品类成交额,化工材料及制品类成交额,化肥类成交额,金属材料类成交额,建筑及装潢材料类成交额,机电产品及设备类成交额,农机类成交额,汽车类成交额,种子饲料类成交额,棉麻类成交额,其他类成交额
2019,112016.7763,,,4316.2562,4568.2426,6660.6852,7816.5612,8549.4891,1065.2704,984.5073,18451.9752,7527.6839,1614.3441,9309.9472,262.0056,1144.9794,3132.5684,,,2401.7441,156.9577,114.5469,45.9035,615.4295,1662.6366,50.2248,1588.6278,855.5367,2187.6531,275.7898,270.4574,592.9855,1513.0238,4346.6186,71.4841,21497.1519,4731.279,1569.9568,184.4173,6316.9173,85.5603,310.5196,3689.0561
2018,109373.3087,,,3939.6806,4112.5693,6354.5168,7420.0651,7904.2594,1045.5789,990.5841,18049.3989,7427.6639,1772.0601,8849.6749,299.2886,1028.6251,3213.7845,,,2399.6758,167.5416,72.9594,64.1405,683.8335,1520.0755,49.7844,1435.6267,867.225,2469.5063,357.596,402.175,814.605,1786.4989,4398.679,74.6058,20078.8674,5100.6281,1674.5251,269.6104,6244.3274,93.0518,340.3602,3528.3678
2017,108247.5882,,,3893.1458,3969.5527,6121.6859,7720.006,7364.4322,981.5449,1088.8567,17894.3591,7637.4227,1864.2868,8392.6496,325.9243,954.4158,3138.3542,,327.7626,2520.7458,223.8109,78.5817,209.8112,722.7131,1314.1229,40.8414,1249.1169,1041.4868,2410.3972,298.8504,374.948,900.7901,1577.1191,4205.0721,77.8727,20006.379,4891.1192,1533.3681,288.6661,6830.5739,92.659,335.1799,3343.9393
2016,102139.6989,,,3884.1361,4032.215,5588.4759,7619.638,6946.6501,1073.1781,1084.6569,17387.7438,7588.1609,1743.5355,8056.0474,315.7018,770.9989,3079.0822,,420.7687,2438.9317,230.4212,90.8957,207.1397,702.3429,1209.0581,41.1928,1150.3545,1044.6398,2416.688,306.0851,332.9565,936.9892,1915.982,3987.5971,98.0251,16738.9296,4859.4549,1534.6756,243.7834,6783.6212,133.6888,516.3537,3177.5091
2015,100133.7865,,,3588.7167,3575.8608,5373.6392,6924.8667,6146.3355,1112.2314,1090.414,17152.1637,7468.3983,1796.8114,7886.954,305.8471,665.0335,3240.765,,488.9308,2394.1486,212.7346,81.0857,214.2504,664.7268,1258.5682,48.1751,1198.7509,1007.8059,2093.8392,306.2324,351.8228,982.0953,2072.0074,3844.7312,118.7056,18068.0304,4924.4138,1477.2929,229.9631,6568.0311,134.0913,517.2498,3014.1862
2014,100309.9019,24799.9747,,3284.1262,3247.6617,5168.0891,6659.9121,5706.4459,1025.3173,1003.856,16631.5228,7291.8153,1642.4524,7697.2551,328.1358,582.6747,3209.9049,,381.6183,2241.1945,197.3252,67.0305,197.3089,712.7944,1339.1941,37.0417,1292.5905,992.8368,2077.7558,304.1673,578.2485,1022.8924,1539.0879,3563.5498,102.3715,21247.5263,4952.1663,1422.4665,210.3103,6481.0493,139.3843,456.3906,3196.1463
2013,98365.1,24917.3235,23008.9999,2908.5845,3190.9763,4708.4222,6337.4512,5022.1257,958.9796,949.344,15319.4117,6870.6312,1519.22,6929.5605,322.3491,561.7969,2878.8,504.4088,415.2723,2215.7706,174.3871,75.1016,206.0196,757.0468,1219.3,31.7,1170.7,1162.4767,1908.8397,313.8455,642.9554,1001.9208,1649.8751,3266.3024,107.948,23480.2035,4735.6525,1383.7316,190.5345,6438.3985,143.825,522.2294,3067.6
2012,93023.7663,23197.4608,21347.2041,2831.7667,2998.0555,4227.6305,5925.2798,4403.2071,928.3726,921.8841,13897.2049,6089.9752,1458.2824,6348.9473,306.0515,501.5289,2873.4571,470.6391,349.7006,2041.1284,168.2839,72.5725,224.0514,682.717,880.0668,31.5657,814.7492,1316.303,1709.9468,263.0004,684.8221,934.682,2259.812,3077.5949,124.4386,23122.672,4350.8595,1325.3256,193.5502,5790.4877,134.283,495.304,2714.1501
2011,82017.2688,20630.6072,18935.5193,2631.3158,2679.6363,3788.7989,5238.6956,3822.6126,891.811,803.2769,12632.1888,5433.0729,1387.7214,5811.3945,274.0653,407.4173,2823.0366,449.4197,320.3349,1800.2291,156.2742,74.9938,184.6473,781.308,850.46,30.9224,783.0676,1218.7557,1556.442,264.0047,825.502,811.1872,1866.6469,2983.9835,119.1235,18277.4387,3837.9103,1356.9174,179.5745,5226.8826,133.6678,572.6178,2470.0846
2010,72703.5303,17861.4291,16513.9006,2390.792,2247.2132,3165.5439,4789.3846,3160.6842,670.9931,676.5354,11183.7355,5068.1361,1283.3395,4832.2599,248.256,359.6592,2435.7792,436.0571,275.7914,1766.6094,141.327,68.795,159.4565,688.8358,502.4141,13.6793,433.4184,1128.743,1467.6433,225.5731,903.0457,779.6536,1606.8338,2850.4309,96.362,15962.6542,3633.3982,1241.816,147.5132,4826.9578,108.8724,540.6068,2011.0047
