年份,亿元以上商品交易批发市场成交额,食品、饮料、烟酒类批发市场成交额,食品类批发市场成交额,粮油类批发市场成交额,肉禽蛋类批发市场成交额,水产品类批发市场成交额,蔬菜类批发市场成交额,干鲜果品类批发市场成交额,饮料类批发市场成交额,烟酒类批发市场成交额,服装鞋帽、针、纺织品类批发市场成交额,服装类批发市场成交额,鞋帽类批发市场成交额,针、纺织品类批发市场成交额,化妆品类批发市场成交额,金银珠宝类批发市场成交额,日用品类批发市场成交额,洗涤用品类批发市场成交额,儿童玩具类批发市场成交额,五金、电料类批发市场成交额,体育、娱乐用品类批发市场成交额,书报杂志类批发市场成交额,电子出版物及音像制品类批发市场成交额,家用电器和音像器材类批发市场成交额,中西药品类批发市场成交额,西药类批发市场成交额,中草药及中成药类批发市场成交额,文化办公用品类批发市场成交额,家具类批发市场成交额,通讯器材类批发市场成交额,煤炭及制品类批发市场成交额,木材及制品类批发市场成交额,石油及制品类批发市场成交额,化工材料及制品类批发市场成交额,化肥类批发市场成交额,金属材料类批发市场成交额,建筑及装潢材料类批发市场成交额,机电产品及设备类批发市场成交额,农机类批发市场成交额,汽车类批发市场成交额,种子饲料类批发市场成交额,棉麻类批发市场成交额,其他类批发市场成交额
2019,98733.4091,,,4033.2312,3657.0796,5944.3109,7200.1682,8293.2844,963.3195,873.7425,17040.4824,6534.0117,1379.7399,9126.7308,199.3101,1031.7307,2811.1923,,,2175.8007,135.024,97.4412,30.6998,503.4172,1570.3846,45.1482,1505.5704,630.075,1279.638,207.8796,269.3281,538.7892,1512.1144,4338.0985,68.3648,21439.6718,3465.6083,1539.5055,179.5312,1636.4696,80.1568,307.9407,3391.9353
2018,95323.2191,,,3619.1449,3225.5882,5603.7362,6767.5775,7598.6072,932.4265,836.8439,16577.1804,6377.8535,1535.8051,8663.5218,230.6998,951.5873,2881.4914,,,2142.475,137.0454,56.5169,45.7495,554.4926,1444.2715,42.1423,1372.3436,600.6052,1439.4336,281.4455,400.0569,758.0993,1785.5151,4389.6721,71.2409,20004.527,3674.0398,1646.7627,264.5493,1563.301,86.4457,336.3221,3150.1572
2017,93996.8519,,,3534.4085,3082.3001,5354.8929,7064.6914,7075.774,865.0566,926.0006,16177.3266,6425.0877,1587.4661,8164.7728,258.7858,861.6651,2695.9963,,263.9175,2291.1562,201.4312,58.5861,179.9609,586.338,1280.3826,34.5432,1226.6751,699.8128,1525.8198,206.861,373.1613,866.9299,1575.6796,4195.9293,75.341,19965.8522,3658.3045,1499.2639,283.2976,2111.8736,86.5788,326.9306,2841.8001
2016,87859.3431,,,3495.1929,3112.9858,4823.51,6943.6925,6633.6472,951.8172,930.7244,15543.6074,6268.5802,1457.279,7817.7482,248.5174,681.593,2636.6525,,347.4278,2195.2103,205.1477,73.3049,173.6551,554.36,1173.6434,34.8141,1125.1854,664.2617,1424.2166,204.5215,331.0964,903.5007,1913.9127,3978.5728,94.3795,16702.0415,3694.3741,1495.4633,237.1499,2182.9687,127.5487,505.475,2688.2509
2015,85836.9461,,,3235.3024,2646.3958,4586.2088,6250.8053,5854.6976,996.2383,949.1392,15217.5516,6059.3099,1497.9583,7660.2834,237.2032,563.882,2790.578,,414.5071,2136.5954,177.0642,63.7838,177.106,522.326,1228.96,41.4356,1179.4429,569.3149,1113.7914,196.9323,349.5144,946.1113,2069.8809,3836.9353,115.5091,18032.9809,3765.555,1443.8482,225.238,2108.0513,128.7047,504.5041,2528.4415
2014,86323.6688,21730.374,,2935.91,2364.0973,4418.5667,6008.7462,5419.6504,899.3436,857.6336,14682.3059,5881.3515,1339.6155,7461.3389,260.5751,477.1015,2739.6979,,306.8011,1970.5392,166.1149,49.6818,170.768,551.6521,1301.3,29.2747,1265.2752,523.9807,1086.8926,182.3659,575.9417,995.4366,1537.7445,3554.1592,97.9882,21216.0099,3857.0085,1379.1948,200.1795,2245.0275,134.3459,444.6218,2733.8516
2013,84628.3,21677.9472,20040.5164,2624.5235,2307.2233,3997.6957,5694.133,4736.144,832.2796,805.1512,13376.8483,5495.8335,1218.2309,6662.7839,256.7514,472.7459,2456.2,434.5754,350.0188,1943.0163,146.2512,57.3732,171.2186,553.6547,1185.0,24.4,1147.6,584.6721,1030.1607,157.1164,640.4132,969.7524,1646.9806,3244.0105,93.4763,23452.1256,3701.4163,1341.2202,181.5727,2270.4354,137.9636,512.0677,2642.9
2012,80141.762,20124.2332,18558.7518,2581.0402,2122.6045,3567.1234,5346.9385,4146.2445,799.0322,766.4492,12238.0464,4980.5859,1169.4357,6088.0248,235.3101,421.3285,2443.8523,411.0543,304.5674,1778.1865,137.8415,56.0205,172.911,472.9135,842.4007,22.6773,789.9106,578.0785,921.2238,141.3376,682.3885,903.5281,2258.3417,3055.2575,111.3274,23101.5789,3358.6853,1271.9401,186.8138,2021.81,129.0891,486.7831,2308.6756
2011,69390.8114,17788.3252,16327.4097,2387.0319,1857.9237,3167.7785,4687.0495,3582.3025,794.6535,666.262,11068.8341,4447.983,1105.3862,5515.4649,209.2172,331.1099,2292.0464,393.0959,274.5746,1528.1348,122.2503,58.2989,143.5962,558.5854,808.052,22.2549,753.3094,537.1055,825.4489,138.2808,820.1107,760.2858,1864.622,2960.474,110.7726,18232.9476,2470.7656,1187.9505,163.8141,1922.2558,127.5019,566.6547,2067.9572
2010,60954.934,15271.4589,14142.5552,2166.1584,1537.5638,2579.3878,4296.6829,2936.3165,584.2693,544.6344,9772.1768,4131.2461,1046.6167,4594.314,185.0097,311.0631,1999.8086,366.2546,233.4647,1530.3138,104.0761,53.7997,123.8609,493.1084,479.199,6.7448,420.511,533.8502,755.0318,109.4416,900.7615,733.1676,1605.0221,2829.5222,89.8013,15921.6138,2235.5014,1118.2431,144.4509,1531.4818,103.4085,534.9979,1719.0155
