年份,国内金融交易资金来源_净金融投资,国内金融交易资金来源_资金运用,国内金融交易资金来源_资金来源,国内金融交易资金来源_通货,国内金融交易资金来源_存款,国内金融交易资金来源_贷款,国内金融交易资金来源_证券,国内金融交易资金来源_证券投资基金份额,国内金融交易资金来源_证券公司客户保证金,国内金融交易资金来源_保险准备金,国内金融交易资金来源_未贴现的银行承兑汇票,国内金融交易资金来源_金融机构往来,国内金融交易资金来源_准备金,国内金融交易资金来源_库存现金,国内金融交易资金来源_中央银行贷款,国内金融交易资金来源_其他(净),国内金融交易资金来源_直接投资,国内金融交易资金来源_其他对外债权债务,国内金融交易资金来源_国际储备资产,国内金融交易资金来源_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,,,333078.242798913,2562.8155087571,105210.314643747,125997.662642132,,18784.0,-1228.8740178384,23226.0018329299,-12685.7089010466,2201.31430610467,-9609.72447923526,-490.8967701939,9591.9023460204,-59066.8871745913,13465.9291064814,4087.42583911292,,-10601.2964909353
2017,,,607699.0,2342.0,142153.0,175105.0,,21754.0,-4598.0,21065.0,10762.0,27545.0,10528.0,-153.0,24731.0,66081.0,11358.0,2145.0,,-14982.0
2016,,,716717.32484189,5087.3471519984,172181.830377768,152476.022760592,171062.783769207,11754.0,-6226.711328,17936.3997432601,-39062.1114098432,9692.08826025373,26572.3703170384,-88.8268700012,38685.8086690056,156974.513781346,11328.8078809074,3135.85435684739,,-14792.8527594584
2015,,,589016.690898392,2957.089227,155584.364499584,140144.93554567,128460.054321883,23630.0,11200.512892,15415.9860426655,-21137.0599387358,-18133.6005386076,-17512.8835643248,-222.420942,-1037.708779,170771.95821041,15168.8111778907,-4531.84417504317,,-11741.5030810006
2014,,,508207.0,1688.0,130364.0,139909.0,64281.0,15328.0,8169.0,14248.0,-2396.0,28153.0,20834.0,482.0,15665.0,59777.0,17626.0,2623.0,,-8544.0
2013,,,477185.379495234,3915.3975501005,153562.483675415,145636.611375261,39428.2543846519,1352.15,-310.409313,14001.1494870959,15511.3108240948,18274.9707859188,14302.3222683364,419.5654469459,412.7375579815,54654.9075865412,15925.842781894,4886.08736843957,,-4788.00228444219
2012,,,429058.0,3910.0,129748.0,119315.0,46068.0,5198.0,-685.0,14274.0,20998.0,-60.0,23150.0,928.0,476.0,51780.0,15932.0,3040.0,,-5014.0
2011,,,342780.0,6162.0,113415.0,95592.0,21611.0,2282.0,-6511.0,7348.0,20542.0,4188.0,36154.0,1042.0,-727.0,26753.0,14224.0,2965.0,,-2259.0
2010,,,390439.791492816,6507.436967,130662.156761,95412.5081285244,39546.69537746,-1566.3,-2372.86666666667,6304.872357,46692.0,3542.74673274233,33260.799686,713.992937,469.058602,19395.04679152,12529.0409945977,3382.6188999328,,-4040.016075295
2009,,,305481.0,4046.0,132764.0,104428.0,29778.0,-1206.0,6272.0,8791.0,,6312.0,11507.0,416.0,-1589.0,-643.0,5341.0,2241.0,,-2975.0
2008,,,193558.0,4112.0,77381.0,51293.0,29997.0,3336.0,-5340.0,8577.0,,-5206.0,21100.0,50.0,-485.0,1529.0,10271.0,-1242.0,,-1814.0
2007,,,186756.0,3303.0,54243.0,39509.0,39422.0,5437.0,8986.0,6568.0,,-2317.0,20713.0,571.0,-8714.0,5386.0,9778.0,2230.0,,1159.0
2006,,,142157.0,3041.0,50017.0,33845.0,26207.0,1191.0,3416.0,4607.0,,-2440.0,11423.0,80.0,-1651.0,3980.0,6226.0,1551.0,,-1027.0
2005,,,109778.882185163,2563.3693399165,42473.0338576364,23143.3891526171,22966.613282,,,4394.1236463,,4749.3361010865,2832.7287086875,399.9379700899,-1707.76938597,735.589014111437,6481.824423327,2358.570155898,,-1373.439017159
2004,,,93782.9474878188,1722.3107334903,33761.5592233971,24440.2373109124,15595.9864476,,,3647.9591857,,500.733793738701,4723.5698660365,176.4039056578,-1191.1275445009,1938.6401172438,4546.982824944,1895.197495744,0.0,2135.12870296658
2003,,,95600.7495206078,2467.9643849894,36159.6053832504,29659.2044192796,10608.71,,,3193.6146,,1642.7188841786,3910.0991979352,289.307071782,850.0626484709,862.851542714799,3896.54003163,514.21905402,,1376.73979809064
2002,,,66154.9601170766,1589.230261212,27911.778351975,19470.3664185768,8020.08354,,,2635.081944,,1345.8261795656,1640.1650165505,128.3590165879,-455.6618025245,-1008.9099408114,4081.22125629,191.84877558,,549.77667067728
2001,,,44317.94,1036.15,19135.64,12910.82,5148.14,,,1219.88,,-952.63,1983.01,-102.97,305.45,350.88,3661.76,-209.94,,-450.16
2000,,,,,,,,,,,,,,,,,,,,
