年份,国内金融交易资金运用_净金融投资,国内金融交易资金运用_资金运用,国内金融交易资金运用_资金来源,国内金融交易资金运用_通货,国内金融交易资金运用_存款,国内金融交易资金运用_贷款,国内金融交易资金运用_证券,国内金融交易资金运用_证券投资基金份额,国内金融交易资金运用_证券公司客户保证金,国内金融交易资金运用_保险准备金,国内金融交易资金运用_未贴现的银行承兑汇票,国内金融交易资金运用_金融机构往来,国内金融交易资金运用_准备金,国内金融交易资金运用_库存现金,国内金融交易资金运用_中央银行贷款,国内金融交易资金运用_其他(净),国内金融交易资金运用_直接投资,国内金融交易资金运用_其他对外债权债务,国内金融交易资金运用_国际储备资产,国内金融交易资金运用_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,3210.96980572194,336289.212604634,,2250.5155087571,104972.520045565,125268.380579419,,17989.4611464524,-1176.89039177177,23226.0018329299,-12685.7089010466,8282.97952113632,-9969.58228315424,-515.748386691314,9591.9023460204,-59066.8933562018,6383.9780414275,3897.33954838871,1249.84015281377,
2017,11127.0,618826.0,,2344.0,140263.0,178203.0,,21206.0,-4482.0,21065.0,10762.0,24886.0,10466.0,-148.0,24731.0,66081.0,6881.0,-229.0,6179.0,
2016,13020.9329320823,729738.257773972,,5076.1471519984,176240.474536219,158128.622846436,174557.958810111,11600.0226,-6145.1414096032,17936.3997432601,-39062.1114098432,12245.1993495883,26777.9538172442,-74.2145374050744,38685.8086690056,156974.513781366,14427.1842680231,11838.7955126445,-29469.3559550718,
2015,20640.6667413405,609657.357639732,,2779.66387338,168138.413345137,144189.666808391,129871.722270934,23410.241,11096.3481221044,15415.9860426655,-21137.0599387358,-8167.04550782342,-17470.7340743248,-208.1919543362,-1037.708779,170771.95821041,11297.9840178457,2096.60612452363,-21390.4919214396,
2014,15624.0,523831.0,,1587.0,133478.0,139435.0,61050.0,15066.0,8029.0,14248.0,-2396.0,38876.0,21112.0,742.0,15665.0,59740.0,4903.0,5115.0,7181.0,
2013,11463.1376384137,488648.517133647,,3680.47369709447,155686.83143367,148048.534539444,37526.6485240142,1329.298665,-305.1633956103,14001.1494870959,15511.3108240948,5763.45842417451,14302.3222683364,441.636629972239,412.7375579815,54594.5644295238,4517.43077311919,6531.3273038839,26605.9559718521,
2012,12408.0,441465.0,,3675.0,131756.0,122250.0,43961.0,5033.0,-663.0,14274.0,20998.0,9329.0,23150.0,971.0,476.0,51740.0,3919.0,4529.0,6069.0,
2011,13234.0,356014.0,,5792.0,114222.0,95764.0,21196.0,2258.0,-6466.0,7348.0,20542.0,2308.0,36154.0,1072.0,-727.0,26753.0,3211.0,1530.0,25057.0,
2010,25772.9332938874,416212.724786703,,6116.99074898,130024.73085,97226.5845625244,39202.8748333348,-1547.19305069493,-2354.27387711411,6304.872357,46692.0,2323.54249251305,33260.799686,713.992937,469.058602,19394.60243352,4071.8999029698,2377.8688616173,31934.3734470527,
2009,20911.0,326391.0,,3803.0,132380.0,107619.0,29585.0,-1206.0,6272.0,8791.0,,1165.0,11507.0,416.0,-1589.0,-643.0,2999.0,-1922.0,27216.0,
2008,31296.0,224854.0,,3865.0,79629.0,52096.0,29475.0,3320.0,-5340.0,8577.0,,-4197.0,21100.0,50.0,-485.0,1529.0,3716.0,2401.0,29119.0,
2007,25575.0,212332.0,,3105.0,52037.0,39756.0,38536.0,5437.0,8986.0,6567.0,,-2183.0,20713.0,384.0,-8714.0,5251.0,1201.0,8154.0,32618.0,
2006,20300.0,162457.0,,2858.0,49967.0,32572.0,22790.0,1191.0,3416.0,4607.0,,-2300.0,11214.0,113.0,-1629.0,4028.0,1421.0,10825.0,19692.0,
2005,13503.8951737877,123282.777358951,,2409.89054482551,42312.9777525314,23968.2196173171,21299.93,,,4394.1236463,,3379.96289262466,2483.6065423085,376.8070546346,-1582.885026106,2351.5215068243,926.128043896,4242.790175173,16958.129672,
2004,5682.14961816963,99465.0971059884,,1623.31426914264,32061.2582422766,24101.3065986683,13974.3298631939,,,3647.9591857,,568.994336541,4353.8839661521,76.0694171943,-1171.2799824229,2937.783079054,149.400626704,172.376526896,17080.335552,
2003,3726.0980181319,99326.8475387397,,2320.35928769979,36600.0595530152,27958.9674698417,9678.021456721,,,3193.6146,,1748.4150529822,3896.822555227,329.7187912972,1019.9771659108,891.4767124585,-12.60371898,1846.9041213,9686.001987,
2002,2928.44021525231,69083.4003323289,,1494.08859253928,28080.5563303926,20259.2260994568,7275.9363765916,,,2635.081944,,1185.944277,1800.7833357439,141.6311700703,-635.5498209901,-271.9668161609,208.44854739,603.71138511,6249.7193562,
2001,1435.66,45753.59,,987.86,19309.58,11766.67,4681.02,,,1219.88,,-1312.67,2082.65,-52.13,288.24,1025.33,569.89,988.35,3917.01,
2000,,,,,,,,,,,,,,,,,,,,
