年份,民事法律关系公证办证件数,收养公证办证件数,解除收养公证办证件数,继承权公证办证件数,遗嘱公证办证件数,产权公证办证件数,亲属关系公证办证件数,死亡公证办证件数,房屋买卖公证办证件数,房屋租赁公证办证件数,留学协议公证办证件数,遗赠扶养协议公证办证件数,委托书公证办证件数,赠与书公证办证件数,声明书公证办证件数,现场监督公证办证件数,签名印鉴属实公证办证件数,副本等与原本相符公证办证件数,宅基地使用权公证办证件数,证据保全公证办证件数,拆迁协议公证办证件数,计划生育公证办证件数,赡养协议公证办证件数,合伙协议公证办证件数,夫妻财产协议公证办证件数,其他民事协议公证办证件数,其他民事公证办证件数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,4498533.0,3312.0,3340.0,604971.0,94724.0,18852.0,75645.0,16711.0,262135.0,12247.0,10546.0,14004.0,1385059.0,174666.0,401733.0,118238.0,103034.0,113933.0,15640.0,135725.0,51197.0,12122.0,10196.0,8362.0,48831.0,211739.0,591571.0
2010,4550897.0,4450.0,3227.0,559626.0,90917.0,17898.0,65035.0,10860.0,318810.0,11948.0,10017.0,16083.0,1426942.0,165773.0,425099.0,100459.0,74381.0,115865.0,8546.0,162472.0,64188.0,9662.0,11928.0,10497.0,52521.0,223035.0,590658.0
2009,4386266.0,4371.0,5909.0,518995.0,94813.0,24788.0,50971.0,10197.0,358674.0,14722.0,12469.0,13228.0,1272431.0,156738.0,408656.0,75751.0,72805.0,99444.0,10963.0,148985.0,63383.0,18831.0,16143.0,9676.0,47266.0,237535.0,638522.0
2008,3556872.0,4379.0,5437.0,406923.0,93169.0,27395.0,41005.0,14838.0,266516.0,13928.0,10420.0,13257.0,766925.0,145840.0,304734.0,119218.0,58837.0,70110.0,9369.0,168412.0,70855.0,22516.0,10877.0,10471.0,48971.0,263040.0,589430.0
2007,3716370.0,4253.0,2283.0,396328.0,90689.0,45327.0,48454.0,14852.0,300506.0,17596.0,11685.0,7994.0,942776.0,158377.0,288493.0,100472.0,61063.0,61500.0,7091.0,120696.0,94459.0,35717.0,11232.0,10241.0,50413.0,266351.0,567522.0
2006,3505770.0,4988.0,3203.0,319966.0,81240.0,27323.0,44704.0,10348.0,351763.0,15199.0,8186.0,11488.0,699551.0,147183.0,255506.0,96575.0,56209.0,49582.0,9143.0,110930.0,86367.0,63416.0,12179.0,12998.0,62559.0,363434.0,601730.0
2005,3431118.0,6395.0,2008.0,263560.0,73398.0,30675.0,40805.0,11209.0,342168.0,23222.0,6406.0,8327.0,594318.0,114659.0,215877.0,113544.0,53103.0,44120.0,10025.0,112962.0,68963.0,136691.0,10506.0,8366.0,57485.0,361436.0,720890.0
2004,3462455.0,7040.0,2991.0,232621.0,72685.0,36383.0,40898.0,10940.0,362682.0,22901.0,7840.0,14615.0,560125.0,113653.0,200202.0,88739.0,48833.0,40544.0,13882.0,106956.0,88747.0,192544.0,9301.0,11923.0,69860.0,504835.0,600715.0
2003,3663716.0,6884.0,1273.0,194478.0,65535.0,42175.0,49569.0,14375.0,352353.0,23745.0,9769.0,12976.0,373838.0,108398.0,176289.0,102125.0,49751.0,37181.0,26906.0,73393.0,287543.0,312007.0,12130.0,26983.0,163655.0,492024.0,648698.0
2002,3581641.0,8924.0,1030.0,151032.0,65450.0,31287.0,50096.0,8865.0,332162.0,37286.0,9634.0,7985.0,186369.0,102583.0,130992.0,107190.0,41419.0,26191.0,21336.0,56804.0,135886.0,547718.0,30519.0,14832.0,103412.0,530773.0,841669.0
2001,3923549.0,14310.0,1568.0,124200.0,59348.0,33823.0,52434.0,7898.0,455893.0,38081.0,8851.0,8564.0,145027.0,100304.0,122778.0,106036.0,32133.0,21690.0,41257.0,39763.0,135045.0,582844.0,29309.0,10918.0,98596.0,539264.0,1113615.0
2000,5591412.0,15556.0,1886.0,109315.0,58571.0,53636.0,44641.0,8416.0,503505.0,37848.0,7628.0,7920.0,240509.0,94246.0,118588.0,116975.0,31594.0,17079.0,87073.0,28560.0,104496.0,1383137.0,30054.0,7208.0,94428.0,454379.0,1934164.0
