年份,大中型工业企业研究与试验发展经费支出,煤炭开采和洗选业中型工业企业研究与试验发展经费支出,石油和天然气开采业中型工业企业研究与试验发展经费支出,黑色金属矿采选业中型工业企业研究与试验发展经费支出,有色金属矿采选业中型工业企业研究与试验发展经费支出,非金属矿采选业中型工业企业研究与试验发展经费支出,农副食品加工业中型工业企业研究与试验发展经费支出,食品制造业中型工业企业研究与试验发展经费支出,饮料制造业中型工业企业研究与试验发展经费支出,烟草制品业中型工业企业研究与试验发展经费支出,纺织业中型工业企业研究与试验发展经费支出,纺织服装、鞋、帽制造业中型工业企业研究与试验发展经费支出,皮革、毛皮、羽毛(绒)及其制品业中型工业企业研究与试验发展经费支出,木材加工及木、竹、藤、棕、草制品业中型工业企业研究与试验发展经费支出,家具制造业中型工业企业研究与试验发展经费支出,造纸及纸制品业中型工业企业研究与试验发展经费支出,印刷业和记录媒介的复制中型工业企业研究与试验发展经费支出,文教体育用品制造业中型工业企业研究与试验发展经费支出,石油加工、炼焦及核燃料加工业中型工业企业研究与试验发展经费支出,化学原料及化学制品制造业中型工业企业研究与试验发展经费支出,医药制造业中型工业企业研究与试验发展经费支出,化学纤维制造业中型工业企业研究与试验发展经费支出,橡胶制品业中型工业企业研究与试验发展经费支出,塑料制品业中型工业企业研究与试验发展经费支出,非金属矿物制品业中型工业企业研究与试验发展经费支出,黑色金属冶炼及压延加工业中型工业企业研究与试验发展经费支出,有色金属冶炼及压延加工业中型工业企业研究与试验发展经费支出,金属制品业中型工业企业研究与试验发展经费支出,通用设备制造业中型工业企业研究与试验发展经费支出,专用设备制造业中型工业企业研究与试验发展经费支出,交通运输设备制造业中型工业企业研究与试验发展经费支出,电气机械及器材制造业中型工业企业研究与试验发展经费支出,通信设备、计算机及其他电子设备制造业中型工业企业研究与试验发展经费支出,仪器仪表及文化、办公用机械制造业中型工业企业研究与试验发展经费支出,工艺品及其他制造业中型工业企业研究与试验发展经费支出,电力、热力的生产和供应业中型工业企业研究与试验发展经费支出,燃气生产和供应业中型工业企业研究与试验发展经费支出,水的生产和供应业中型工业企业研究与试验发展经费支出
2019,99969303.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,95426947.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,89761874.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,82894631.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,77924409.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,73196923.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,67440645.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,59923237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,50306960.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,40153965.2,1087472.2,881074.9,31002.0,66201.8,27265.1,478253.9,388736.7,460381.3,138549.2,846398.7,165556.2,103529.6,56273.6,40365.4,366696.5,103068.3,73565.5,438265.5,2475263.7,1226262.1,409734.9,523273.2,409582.4,813326.9,4021200.3,1188581.4,618558.5,2373242.9,2348940.7,5821997.2,4250968.9,6862561.1,573806.4,136325.9,319458.9,10309.1,12533.6
2009,32102300.0,930410.2,623983.3,17884.8,76886.7,19865.2,368001.2,314094.1,393205.6,125801.8,691790.4,149512.4,81634.9,52031.0,55907.6,319798.3,77070.5,84308.5,338368.0,1968433.7,996220.8,323848.9,367792.0,299202.5,589794.3,3054462.1,973898.5,461071.3,2099679.5,1972507.1,4599869.6,3293173.2,5496058.9,485200.6,96221.5,293924.2,1456.8,8455.8
2008,26813109.5,633239.6,364242.2,21887.2,40747.4,22195.0,277356.7,178758.0,323796.7,95143.9,533388.9,123016.5,54884.9,57389.0,37956.0,256335.1,49277.1,57532.4,281857.5,1766235.8,790878.7,304305.9,320282.0,251088.0,456546.1,3013223.0,855305.3,434427.4,1755959.6,1455730.7,3728515.0,2751806.7,4808651.6,378580.0,65473.3,257255.3,3279.3,6474.3
2007,21124560.5,477496.3,271760.3,13013.4,39193.8,20846.2,204906.8,159082.5,266492.7,87080.6,433509.9,96602.5,46032.9,51685.9,37414.5,170424.7,50287.1,39105.9,195285.8,1411621.9,658836.2,268027.1,280684.5,138756.8,295624.1,2198162.3,668903.0,319334.1,1375979.4,1093873.7,3012683.5,2138015.1,4041327.9,290926.4,64972.7,197927.2,1675.7,7007.1
2006,16301909.0,368960.6,227268.8,4204.6,14645.4,12538.2,134041.9,117690.5,187854.2,63083.3,342864.6,88208.0,29396.9,31942.8,24876.8,151021.1,23732.7,32263.5,160538.6,978547.8,525856.4,196216.2,209352.7,142339.9,256950.8,1621325.8,553920.8,209652.3,1034913.6,759041.4,2239728.4,1669087.3,3483944.5,187741.3,57749.8,154254.1,1269.2,4884.6
