年份,三次产业构成-国内生产总值,三次产业构成-第一产业增加值,三次产业构成-第二产业增加值,三次产业构成-第三产业增加值
2019,100,7.1,38.6,54.3
2018,100,7.04302025320048,39.6870118233883,53.2699679234112
2017,100,7.46356501657496,39.8516984492448,52.6847365341803
2016,100,8.05728753470025,39.5806215023518,52.362090962948
2015,100,8.38701488212389,40.8413399694439,50.7716451484322
2014,100,8.64349139624992,43.0855681094078,48.2709404943423
2013,100,8.94289396225834,44.1767045363021,46.8804015014396
2012,100,9.1137138702835,45.4229807420732,45.4633053876433
2011,100,9.17765379536858,46.5292894700381,44.2930567345933
2010,100,9.32517694050082,46.4978311380597,44.1769919214395
2009,100,9.63618551436235,45.9571472861622,44.4066671994755
2008,100,10.1690478479044,46.9711723611937,42.8597797909019
2007,100,10.2461657564133,46.8841692341498,42.8696650094369
2006,100,10.6257605277612,47.5573975651555,41.8168419070833
2005,100,11.6414956027223,47.022578480425,41.3359259168527
2004,100,12.9166481669765,45.9002116665786,41.1831401664448
2003,100,12.3489989653762,45.6227848489702,42.0282161856536
2002,100,13.301487712871,44.4505675332357,42.2479447538933
2001,100,13.9834613523937,44.7934123390537,41.2231263085526
2000,100,14.6762416553222,45.5361031778338,39.787655166844
