年份,支出法生产总值,最终消费,居民消费,城镇居民消费,农村居民消费,政府消费,资本形成总额,固定资本形成总额,存货变动,货物和服务净出口,最终消费率,资本形成率
2019,990708.395261227,552631.739168562,387188.099524457,304194.55859889,82993.5409255672,165443.639644106,426678.73233092,422451.304635854,4227.42769506589,11397.9237617442,55.7814733186798,43.0680444792652
2018,915774.255087143,506134.943807909,354124.37816752,276915.927531593,77208.4506359264,152010.565640389,402585.147747349,393847.895080943,8737.25266640653,7054.16353188385,55.2685272594551,43.9611777150298
2017,828982.763984279,456518.226279923,320689.504087001,251843.972692719,68845.5313942817,135828.722192922,357886.096911283,348300.110171991,9585.9867392922,14578.4407930736,55.0696885524848,43.1717174903856
2016,745980.508192696,410806.417590619,288668.154530436,226790.62362989,61877.5309005468,122138.263060183,318198.491213223,310144.798875507,8053.6923377156,16975.5993888545,55.0693232703746,42.6550677556079
2015,692093.699095787,371920.685714209,260202.439881638,203687.221940333,56515.2179413048,111718.245832571,297826.51870903,289970.239658219,7856.27905081081,22346.4946725484,53.7384874620473,43.032687495658
2014,646547.960703342,338031.153899603,236238.49029124,183605.141488755,52633.3488024852,101792.663608363,294906.052990138,282241.6381569,12664.414833238,13610.7538136,52.2824561277526,45.6124016955103
2013,596344.481645316,306663.665133542,212477.291536806,165105.745795009,47371.5457417973,94186.3735967362,275128.708459785,263979.909961717,11148.7984980686,14552.1080519885,51.4239126163214,46.1358689361398
2012,539039.90601249,275443.862917164,190584.783263875,147769.938108374,42814.8451555008,84859.0796532894,248960.013932673,238320.724535649,10639.2893970236,14636.0291626524,51.0989742771999,46.1858224513167
2011,484109.305966753,244747.346190235,170390.801100639,131025.642545987,39365.1585546516,74356.5450895965,227673.479110104,214017.206306007,13656.2728040979,11688.4806664133,50.5562159565352,47.0293539710927
2010,408505.399143907,201581.38208652,141465.461437739,108909.122015296,32556.3394224427,60115.9206487804,191866.87829676,181041.123887861,10825.7544088989,15057.1387606275,49.3460753539532,46.9680152817686
2009,347650.271631306,174538.634156062,123121.8946131,93197.7300968228,29924.1645162772,51416.7395429621,158074.529757879,152691.098809699,5383.43094818001,15037.1077173648,50.2052345125638,45.469410685668
2008,318067.559149571,158899.199914461,112654.656347913,84413.9074698594,28240.7488780541,46244.5435665477,134941.590975036,124700.706729416,10240.88424562,24226.7682600738,49.9576883412177,42.4254492774536
2007,270499.406327916,137737.058579887,98231.2974055663,72642.7815324737,25588.5158730926,39505.7611743207,109339.288119343,102344.648247094,6994.63987224879,23423.0596286863,50.9195419131211,40.4212673157571
2006,219597.519597762,115364.282243829,82842.3680787261,60202.8114655189,22639.5566132072,32521.9141651026,87578.6385305946,84978.6204605549,2600.01807003975,16654.5988233383,52.5344195395022,39.881433401895
2005,187657.543629284,101872.525475658,74153.7063144558,53241.7483214749,20911.957992981,27718.8191612022,75575.9647814091,73852.0052667506,1723.95951465854,10209.0533722173,54.2864003788231,40.273342238087
2004,161355.60516628,89394.4324906975,65724.7549704236,46492.1848318331,19232.5701385904,23669.6775202739,67725.5713815162,63974.8713815162,3750.7,4235.60129406661,55.4021240220163,41.9728656539224
2003,137146.709830367,79735.0052862905,58689.9072087939,40914.9455565654,17774.9616522285,21045.0980774966,54446.7896912595,52574.4896912595,1872.3,2964.91485281719,58.1384747653899,39.6996688864087
2002,121326.680660632,74227.476643175,54666.96990114,37650.3015694448,17016.6683316952,19560.506742035,44005.0403169343,42672.1403169343,1332.9,3094.16370052288,61.1798462127219,36.2698790384142
2001,110388.354618266,68661.1340603347,50464.6825973681,34167.2152336153,16297.4673637528,18196.4514629666,39402.5241038551,37087.6241038551,2314.9,2324.6964540761,62.1996172492759,35.6944573004218
2000,99798.9626714497,63748.8750092626,46863.2741034354,31251.4358068463,15611.8382965891,16885.6009058272,33667.0797251107,32668.6797251107,998.399999999998,2383.00793707636,63.877292211074,33.7348994657859
