年份,居民消费水平,城镇居民消费水平,农村居民消费水平,居民消费水平指数(上年=100),城镇居民消费水平指数(上年=100),农村居民消费水平指数(上年=100),居民消费水平指数(1978=100),城镇居民消费水平指数(1978=100),农村居民消费水平指数(1978=100)
2019,27701.5056377342,36217.9495891047,14878.3272098397,106.074143821183,104.7532778796,106.919245542211,2181.55754636109,1241.43578443245,1612.02080912113
2018,25426.6353254055,33670.864951192,13537.9794560724,107.385434205694,104.926551889632,111.952889645096,2056.63460271591,1185.10447554617,1507.69938652879
2017,23131.1786386276,31354.1003694754,11805.3966072126,106.697544717669,104.364113914492,110.171886952747,1915.1895393713,1129.46099362222,1346.72663770304
2016,20938.2376814118,28998.7627232716,10371.7816777792,108.212331302585,106.068552880353,110.23481009104,1794.97058197455,1082.23119160252,1222.38683111659
2015,18975.9805051428,26795.3091375938,9248.71828335779,109.598928234674,107.982141137281,109.739728607814,1658.74864755979,1020.31296007526,1108.89366989161
2014,17316.1097357004,24806.9800088842,8433.00709021048,108.496997517351,106.318809027237,111.022949518166,1513.47159527697,944.890469228712,1010.47604542067
2013,15653.4862409057,22884.7893931111,7449.3518381855,108.112048961634,105.892114837991,109.889399142548,1394.94329788705,888.73312057761,910.150603822076
2012,14110.1272503322,21070.7093359343,6593.08661289838,109.29537479277,107.854478323822,107.556409841366,1290.27551626746,839.281680167895,828.242406386656
2011,12676.6608215455,19260.4044695954,5929.87196629508,109.843264359436,107.05262766686,111.72795418489,1180.53990730522,778.161179036104,770.053972244169
2010,10575.2360526229,16565.3847464136,4785.90226054093,107.53961143841,105.866963212906,105.380877834795,1074.74947525429,726.895916518446,689.222297017866
2009,9248.52355010291,14686.6375285542,4295.22158741428,110.523684374771,108.599785126933,110.145123471948,999.398696795389,686.612607425614,654.029754903311
2008,8504.4525818355,13721.8224698234,3980.5136020373,107.462777267703,106.170453928224,104.756224466086,904.239396694884,632.241220940805,593.789115929294
2007,7453.70782773659,12216.9812787437,3537.84369443267,112.445996719971,111.215138456909,108.722365604225,841.444283951747,595.496390519557,566.829435630845
2006,6318.92481264406,10515.7749284749,3065.53060353236,107.974211193959,105.947404173008,107.319094002197,748.309685090194,535.445442753541,521.354950732249
2005,5687.85523842971,9636.95159445674,2783.64022296068,109.537849816285,108.302726283483,106.783498340108,693.044826922579,505.38797711285,485.798874449662
2004,5071.06108600379,8717.91125584022,2521.37839725614,106.625141189254,105.240828740709,103.940957474983,632.698951170704,466.643818171293,454.938152430988
2003,4555.2551388384,7976.55584601813,2292.1829175236,105.378952708908,102.974414105435,104.596503056487,593.386272800047,443.405685564303,437.689014496989
2002,4269.5227976523,7662.15588128227,2156.6840297705,108.138494152056,105.921450793464,106.567984092958,563.097523315853,430.597920285615,418.454730040654
2001,3967.8171637668,7271.94109473562,2032.10316256269,105.866231896693,103.449773170781,104.641159168355,520.718850147914,406.525700941575,392.664582709608
2000,3711.51623009123,6971.56530815051,1917.03309858347,110.487941158242,109.58189368846,106.608684586966,491.864913692256,392.969156414157,375.248693564126
