年份,分行业增加值构成-国内生产总值,分行业增加值构成-农林牧渔业增加值,分行业增加值构成-工业增加值,分行业增加值构成-建筑业增加值,分行业增加值构成-批发和零售业增加值,分行业增加值构成-交通运输、仓储和邮政业增加值,分行业增加值构成-住宿和餐饮业增加值,分行业增加值构成-金融业增加值,分行业增加值构成-房地产业增加值,分行业增加值构成-其他行业增加值
2019,100,7.5,31.6,7.2,9.7,4.3,1.8,7.7,7.1,23.1
2018,100,7.34908452624607,32.7526955961732,7.12437523346513,9.67100589495207,4.38791204750129,1.79712228890051,7.68102967173687,7.029731178676,22.2070435623488
2017,100,7.77130367834796,33.0657892869782,6.9595018837586,9.75397837362353,4.46157102010501,1.80954253576425,7.7934497601523,6.86099622072562,21.5238672405445
2016,100,8.36702063036351,32.8788933851966,6.89968807787468,9.87740363457328,4.42509548781647,1.82313629160324,8.03381214558535,6.69476502950093,21.0001853174859
2015,100,8.68867227392183,34.1099087939558,6.93340619153197,9.83069856432599,4.43044810860763,1.78645051124841,8.17292244053345,6.18034509562694,19.867148020248
2014,100,8.93031850880128,36.2353544898191,7.05473835519188,9.81572203448016,4.43381705398463,1.74477734472343,7.28031091273204,5.91804734813399,18.5869139521335
2013,100,9.22357879570515,37.4952682996286,6.89701485697392,9.49280679264582,4.39195145031277,1.72494044547587,6.96390205434969,5.95996819539038,17.8505691095178
2012,100,9.39158577951397,38.7874503294314,6.85062950450834,9.25312015886364,4.41220335745703,1.77075334227425,6.54910560635052,5.70980448005685,17.275347441544
2011,100,9.45250980199775,39.9924294016545,6.74806965979014,8.96308575352675,4.4763617456781,1.75541853464295,6.30143259444415,5.69345760104492,16.6172349072207
2010,100,9.61347436816919,40.0668307068786,6.61441728664822,8.71298934943431,4.5578115735287,1.87130013989112,6.24408661474532,5.66016165700101,16.6589283037035
2009,100,9.94487579418221,39.6228265237231,6.50798050909946,8.32227657255033,4.74076537936998,1.99618201745446,6.26563381540323,5.38294895225368,17.2165104359635
2008,100,10.4710064599949,41.2611488999286,5.89127106209614,8.20253878865902,5.12696792670965,2.07241438810328,5.74655521327754,4.57337478866985,16.654722472561
2007,100,10.5459291308707,41.352832703683,5.6825079194909,7.75330997610859,5.40744554861177,2.0541545173007,5.62768775399099,5.07751305981583,16.4986193901276
2006,100,10.9535765621328,42.0326458576084,5.67361914724756,7.53442585306909,5.5533791643905,2.18402252172975,4.54445563410302,4.7033094502558,16.820565809463
2005,100,11.9668834423009,41.6179634298754,5.55227356050061,7.45708461220853,5.69551251911347,2.23987890936654,3.99640945644192,4.52848641603769,16.9455076541549
2004,100,13.2295559771805,40.6418879448453,5.38834108057608,7.69635749266349,5.75039985341257,2.26447346649496,4.07821684394638,4.41924482200005,16.5315225188807
2003,100,12.6475871130119,40.2862369963559,5.46546437199121,8.12910087845031,5.75945573859885,2.2747857812124,4.3993632654027,4.48037859346168,16.557627261515
2002,100,13.5853139493961,39.250633445759,5.32554799453018,8.21314426064937,6.15709527287305,2.23858667795654,4.5644964091019,4.38272409362931,16.2824578961045
2001,100,14.2337613715333,39.5571385426391,5.36290106433047,8.22704299431169,6.1980368921721,2.16494892148239,4.69297922652353,4.24467306303992,15.3185179239675
2000,100,14.901859818466,40.146077954058,5.51856036689715,8.13702751760881,6.14466162369389,2.14026422710967,4.82868745134397,4.12931707649381,14.0535439643286
