年份,国民总收入,国内生产总值,第一产业增加值,第二产业增加值,第三产业增加值,人均国内生产总值
2019,984179,986515.2,70473.6,380670.6,535371,70581
2018,914327.10167799,919281.129066646,64745.1561040139,364835.210382858,489700.762579775,66005.6959401066
2017,831381.195624244,832035.948559918,62099.5439820457,331580.457209411,438355.94736846,60014.3500632877
2016,743408.253866986,746395.059483517,60139.196087384,295427.803406425,390828.059989709,54138.9720841189
2015,686255.742161548,688858.218049283,57774.6412645268,281338.926740961,349744.650043795,50236.8852590601
2014,644380.151914331,643563.104543766,55626.3215706793,277282.819735223,310653.963237863,47172.7080815209
2013,588141.211190155,592963.229548957,53028.0728537457,261951.613926757,277983.542768454,43684.3941673634
2012,537329.007798286,538579.953468974,49084.6359218683,244639.068544879,244856.249002227,39874.2834961982
2011,483392.79474463,487940.180525355,44781.4604971136,227035.099037269,216123.620990973,36301.5616439894
2010,410354.11014066,412119.255796083,38430.8498088599,191626.515647491,182061.890339732,30807.9326754466
2009,347934.883158655,348517.743734819,33583.8163367571,160168.81280662,154765.114591442,26179.5399647566
2008,321229.524476379,319244.612778466,32464.1374252993,149952.937321999,136827.538031168,24100.2081884314
2007,270704.017016484,270092.323718075,27674.1071835023,126630.54214043,115787.674394143,20494.3772573537
2006,219028.454456363,219438.474816681,23317.0068397922,104359.227879483,91762.2400974063,16737.9959738739
2005,185998.908708895,187318.903117653,21806.7218695091,88082.1782271696,77430.003020974,14368.0317182871
2004,161415.427771907,161840.160906841,20904.3241772054,74284.9764177714,66650.8603118641,12486.9441125584
2003,136576.250624858,137422.034917922,16970.2456702131,62695.7593256802,57756.0299220286,10666.1001954301
2002,120480.414838355,121717.424748288,16190.2282973165,54104.0860874531,51423.1103635183,9506.20311998499
2001,109276.152448745,110863.123046248,15502.5019652288,49659.3758380584,45701.245242961,8716.68223817653
2000,99066.0670910177,100280.139253433,14717.3555691274,45663.6676773186,39899.1160069868,7942.06916856542
