省份编码,省份,年份,住宿业法人企业数(个),住宿业企业从业人数(人),住宿业企业营业额(亿元),住宿业企业客房收入(亿元),住宿业企业餐费收入(亿元)
110000,北京市,2019,1248,113334,454.6811,263.9141,97.8416
110000,北京市,2018,930,114261,421.4,234.9,98.3
110000,北京市,2017,959,119950,388.4934,213.6278,92.8249
110000,北京市,2016,964,126843,364.2714,195.1548,90.6392
110000,北京市,2015,987,133024,342.5661,181.8601,87.293
110000,北京市,2014,1162,140611,340.2224,179.0225,87.4264
110000,北京市,2013,1113,150808,352.81458,180.53032,97.74731
110000,北京市,2012,1154,162885,375.1,185.9,113.9
110000,北京市,2011,1210,161791,350.0,171.3,107.5
110000,北京市,2010,1240,162596,304.2,149.7,91.2
110000,北京市,2009,1253,166266,262.1,128.0,80.0
110000,北京市,2008,1230,171919,282.1,151.3,77.8
110000,北京市,2007,569,122016,210.2,108.5,63.1
110000,北京市,2006,580,120753,190.9,98.9,57.2
110000,北京市,2005,492,120133,176.1,91.4,52.1
110000,北京市,2004,515,106378,145.92455,73.1159,42.642
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,296,16142,43.8921,25.1578,9.6469
120000,天津市,2018,224,17218,40.1,21.6,10.1
120000,天津市,2017,229,19712,43.3879,23.3207,12.3362
120000,天津市,2016,234,20664,40.117,20.6228,12.7028
120000,天津市,2015,228,20841,38.0313,20.2146,12.6926
120000,天津市,2014,235,22697,38.978,20.2026,11.6526
120000,天津市,2013,237,25202,39.68421,20.49696,13.1795
120000,天津市,2012,220,25543,42.2,19.7,15.6
120000,天津市,2011,219,25042,37.9,18.6,14.0
120000,天津市,2010,222,24133,33.3,15.8,12.1
120000,天津市,2009,211,24414,27.9,14.1,9.7
120000,天津市,2008,212,26240,32.3,16.7,10.1
120000,天津市,2007,158,28518,26.6,14.3,8.2
120000,天津市,2006,133,20961,22.5,11.6,7.0
