省份编码,省份,年份,连锁餐饮企业总店数(个),连锁餐饮企业门店总数(个),连锁餐饮企业年末从业人数(万人),连锁餐饮企业年末餐饮营业面积(万平方米),连锁餐饮企业餐位数(万个),连锁餐饮企业营业额(亿元),连锁餐饮企业商品购进总额(亿元),连锁餐饮企业统一配送商品购进额(亿元)
110000,北京市,2019,95,6114,16.3474,240.813,68.4338,480.4201,174.2949,152.2815
110000,北京市,2018,88,5624,16.0566,216.7635,62.2878,455.14,151.8738,128.8054
110000,北京市,2017,82,5133,14.3964,204.3594,57.1291,380.2389,118.472,100.5277
110000,北京市,2016,81,4734,12.6208,197.774,56.8208,330.4202,99.2656,78.5911
110000,北京市,2015,79,4239,11.9584,174.8606,55.3628,301.9896,99.4349,79.3228
110000,北京市,2014,84,3871,11.6075,189.5382,59.713,265.2824,89.2339,74.307
110000,北京市,2013,87,3596,13.7637,181.5751,55.3378,257.4492,88.9736,72.7624
110000,北京市,2012,79,3079,13.4859,165.0968,44.8671,244.6422,88.5999,54.9263
110000,北京市,2011,79,2776,12.7311,157.395,40.4778,213.1567,78.2174,42.2721
110000,北京市,2010,,2316,8.32,130.33,34.67,160.82,63.71,35.46
110000,北京市,2009,,2054,8.4623,114.6177,31.8299,137.1676,54.1548,32.7002
110000,北京市,2008,,1740,8.5592,98.0255,27.3525,121.06936,52.31054,33.14111
110000,北京市,2007,,1502,6.6886,87.22,24.8762,,39.4512,25.744
110000,北京市,2006,,1295,6.1187,73.99,22.0681,,31.4993,18.8659
110000,北京市,2005,,,,,,,,
110000,北京市,2004,,,,,,,,
110000,北京市,2003,,,,,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,9,813,3.5109,25.8981,7.7561,49.541,21.8813,5.1299
120000,天津市,2018,9,595,2.6002,22.0167,6.9227,45.3703,20.0855,4.5051
120000,天津市,2017,7,573,1.6012,21.0697,6.4456,42.6092,17.8359,4.2874
120000,天津市,2016,7,517,1.5708,19.9042,5.9195,38.9191,16.7785,3.9074
120000,天津市,2015,8,497,1.5918,20.1261,5.983,38.8608,17.3642,4.1163
120000,天津市,2014,11,503,2.2531,20.2688,6.03,39.4463,32.8197,3.8622
120000,天津市,2013,11,491,2.4099,19.5413,5.8776,41.5051,34.8951,4.0472
120000,天津市,2012,11,458,3.2948,17.6721,5.3679,44.3844,38.0097,3.7539
120000,天津市,2011,10,331,3.107,15.2181,4.7263,39.9172,33.3995,0.4206
120000,天津市,2010,,307,2.35,6.74,3.28,31.03,25.41,0.27
120000,天津市,2009,,263,1.7665,5.2591,3.4787,26.6683,9.3089,0.3918
120000,天津市,2008,,305,1.3747,7.9647,3.2068,24.22245,0.46866,0.19716
120000,天津市,2007,,928,1.4111,28.2763,4.7995,,9.0252,6.5422
120000,天津市,2006,,665,1.1449,12.7818,3.5633,,,
120000,天津市,2005,,,,,,,,
120000,天津市,2004,,,,,,,,
120000,天津市,2003,,,,,,,,
120000,天津市,2002,,,,,,,,
120000,天津市,2001,,,,,,,,
120000,天津市,2000,,,,,,,,
130000,河北省,2019,5,23,0.1097,4.0697,0.6843,2.5206,1.5976,0.6142
130000,河北省,2018,4,18,0.0985,3.704,0.5898,2.24,1.0146,0.2124
130000,河北省,2017,4,18,0.1125,3.704,0.5653,1.5752,0.7797,0.0227
130000,河北省,2016,1,6,0.0478,2.075,0.3192,0.6741,0.3083,
130000,河北省,2015,1,6,0.0862,2.4632,0.452,0.5877,0.9801,0.9801
130000,河北省,2014,1,6,0.0965,2.4632,0.452,1.2058,0.9801,0.9801
130000,河北省,2013,1,6,0.096,1.378,0.452,1.2307,0.9732,
130000,河北省,2012,1,7,0.1063,1.498,0.4674,1.7907,1.1831,
130000,河北省,2011,1,7,0.1117,1.498,0.4674,1.7465,1.258,
130000,河北省,2010,,7,0.09,1.49,0.46,1.78,1.13,
130000,河北省,2009,,12,0.1093,1.8675,0.3834,1.4568,0.5853,0.0383
130000,河北省,2008,,36,0.2185,6.672,0.8264,1.5027,0.47542,0.06359
130000,河北省,2007,,17,0.2108,4.618,0.618,,0.2396,0.0144
130000,河北省,2006,,351,0.1925,3.618,0.658,,0.3069,0.2181
130000,河北省,2005,,,,,,,,
130000,河北省,2004,,,,,,,,
130000,河北省,2003,,,,,,,,
130000,河北省,2002,,,,,,,,
130000,河北省,2001,,,,,,,,
130000,河北省,2000,,,,,,,,
140000,山西省,2019,4,110,0.4669,4.122,1.1524,7.5194,3.8539,3.6305
140000,山西省,2018,5,106,0.4246,5.495,1.805,7.7477,3.9973,3.3809
140000,山西省,2017,5,109,0.556,6.523,1.9754,7.4937,3.5659,2.9445
140000,山西省,2016,5,107,0.5524,6.288,1.9704,7.1817,3.4375,2.807
140000,山西省,2015,5,109,0.5128,6.403,1.9914,7.4964,4.6795,3.8307
140000,山西省,2014,6,115,0.8414,6.958,2.1134,8.0588,4.8552,4.0159
140000,山西省,2013,6,113,0.9045,6.936,2.1298,9.1141,4.7934,3.7737
140000,山西省,2012,6,106,1.0018,6.767,2.0825,10.4519,4.6824,3.634
140000,山西省,2011,6,95,0.8296,6.2326,2.1839,9.0956,4.2414,3.5759
140000,山西省,2010,,93,0.51,8.37,2.37,8.44,3.04,1.87
140000,山西省,2009,,79,0.6616,6.5372,2.2236,7.5501,2.3616,1.7098
140000,山西省,2008,,66,0.5299,5.7867,1.2656,6.7783,2.15611,1.75457
140000,山西省,2007,,58,0.437,4.1602,1.5446,,2.1096,1.7433
140000,山西省,2006,,291,0.6121,4.7465,1.8838,,1.1492,0.966
140000,山西省,2005,,,,,,,,
140000,山西省,2004,,,,,,,,
140000,山西省,2003,,,,,,,,
140000,山西省,2002,,,,,,,,
140000,山西省,2001,,,,,,,,
140000,山西省,2000,,,,,,,,
150000,内蒙古自治区,2019,3,111,0.2816,6.5006,0.7395,18.2695,16.0813,0.1213
150000,内蒙古自治区,2018,4,115,0.289,6.5864,0.7844,14.8038,12.1553,0.1355
150000,内蒙古自治区,2017,5,120,0.3124,7.2895,2.3003,13.6656,10.1369,0.2579
150000,内蒙古自治区,2016,5,130,0.3335,7.7968,2.3622,13.689,9.9113,0.276
150000,内蒙古自治区,2015,5,162,0.3344,8.1226,2.7078,12.6895,8.8024,0.322
