年份,餐饮业企业主营业务收入,内资餐饮业企业主营业务收入,国有餐饮业企业主营业务收入,集体餐饮业企业主营业务收入,股份合作餐饮业企业主营业务收入,联营餐饮业企业主营业务收入,国有联营餐饮业企业主营业务收入,集体联营餐饮业企业主营业务收入,国有与集体联营餐饮业企业主营业务收入,其他联营餐饮业企业主营业务收入,有限责任公司餐饮业企业主营业务收入,国有独资公司餐饮业企业主营业务收入,其他有限责任公司餐饮业企业主营业务收入,股份有限公司餐饮业企业主营业务收入,私营餐饮业企业主营业务收入,私营独资餐饮业企业主营业务收入,私营合伙餐饮业企业主营业务收入,私营有限责任公司餐饮业企业主营业务收入,私营股份有限公司餐饮业企业主营业务收入,其他餐饮业企业主营业务收入,港、澳、台商投资餐饮业企业主营业务收入,港、澳、台商合资经营餐饮业企业主营业务收入,港、澳、台商合作经营餐饮业企业主营业务收入,港、澳、台商独资经营餐饮业企业主营业务收入,港、澳、台商投资股份有限公司餐饮业企业主营业务收入,其他港澳台商投资餐饮业企业主营业务收入,外商投资餐饮业企业主营业务收入,中外合资经营餐饮业企业主营业务收入,中外合作经营餐饮业企业主营业务收入,外资餐饮业企业主营业务收入,外商投资股份有限公司餐饮业企业主营业务收入,其他外商投资餐饮业企业主营业务收入,正餐服务业主营业务收入,快餐服务业主营业务收入,饮料及冷饮服务业主营业务收入,餐饮配送及外卖送餐服务主营业务收入,其他餐饮服务业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,5290.6,3723.7,46.1,17.0,13.1,1.2,,0.9,,,1102.6,42.1,1060.5,121.6,2416.2,227.4,32.1,2091.0,65.7,5.9,701.4,125.7,11.8,560.5,2.9,0.6,865.5,173.0,2.9,649.2,4.8,35.6,3567.9,1196.6,248.0,163.6,114.5
2017,5004.0296,3536.531,55.901,22.972,12.018,1.05,,0.794,,0.256,1115.117,36.594,1078.523,131.43,2165.659,271.212,29.549,1789.233,75.664,32.385,620.399,112.747,16.459,487.974,1.451,1.767,847.1,176.526,7.07,604.258,28.593,30.652,3447.694,1140.461,201.77,,214.105
2016,4949.5771,3615.3584,64.44,23.4092,13.2001,0.7624,,0.7624,,,1119.4865,45.0405,1074.4461,131.8784,2216.3639,344.9959,36.5533,1735.8895,98.9254,45.8187,508.7814,102.5293,15.1894,386.2135,2.9257,1.9234,825.4376,175.6174,6.8408,612.2458,4.481,26.2529,3580.0737,1001.6221,168.0027,,199.8792
2015,4819.4664,3514.1394,63.2087,22.6193,14.0121,0.9843,,0.9843,,,1073.5716,37.5494,1036.0221,117.8041,2171.1092,354.0109,39.983,1669.6491,107.4663,50.8316,430.2996,73.2546,17.7304,333.1883,2.9471,3.1797,875.0271,194.8601,8.0065,667.2285,3.998,0.9342,3517.7865,969.3526,146.2948,,186.0325
2014,4543.6,3309.5,65.51077,24.58614,15.90967,5.75523,,5.75523,,,971.84817,41.086,930.76217,124.04887,2050.6,340.50623,40.64401,1585.5,83.89079,51.2761,407.99701,73.73252,19.88896,311.41668,2.38295,0.5759,826.1,190.6,11.85421,616.59234,4.63277,2.36578,3347.8,912.79897,119.37963,,163.6
2013,4484.28532,3300.60242,68.95767,26.26225,16.99406,5.3876,,5.3876,,,932.66024,31.82591,900.83433,131.18888,2064.3239,377.98815,44.68577,1551.81168,89.8383,54.82782,360.0317,69.83109,21.29535,266.64377,1.98525,0.27624,823.6512,184.14988,12.63707,620.68335,4.3264,1.8545,3358.97298,887.60749,86.10886,,151.59599
2012,4250.81779,3194.54115,105.18782,34.76324,26.29038,5.78307,0.10962,4.62534,,1.04811,845.8829,14.59152,831.29138,133.24731,1902.32176,417.22109,60.42681,1337.98068,86.69318,141.06467,304.86623,51.84425,21.86926,228.29179,2.49691,0.36402,751.41041,193.65964,15.33799,536.24322,5.04312,1.12644,3264.33089,809.26652,66.01484,,111.20554
2011,3735.7138,2750.2212,94.906,33.1842,29.1672,4.8734,0.2745,3.0773,0.2163,1.3054,673.68,10.6669,663.0131,116.6946,1672.8952,361.3176,65.6278,1158.2744,87.6754,124.8207,303.0675,83.2846,17.292,191.7218,10.6296,0.1396,682.425,177.7466,13.6346,484.4059,4.8433,1.7946,2829.5834,742.9134,38.8955,,124.3214
2010,3177.98211,2386.4,78.5,33.4,29.6,2.4,0.2,0.4,0.2,1.6,487.5,8.9,478.6,100.5,1592.9,411.3,70.0,1006.5,105.1,61.5,246.7,74.3,15.0,148.4,9.0,,544.9,123.1,17.5,388.8,15.4,,2464.5,571.1,32.7,,109.8
