年份,餐饮业企业主营业务成本,内资餐饮业企业主营业务成本,国有餐饮业企业主营业务成本,集体餐饮业企业主营业务成本,股份合作餐饮业企业主营业务成本,联营餐饮业企业主营业务成本,国有联营餐饮业企业主营业务成本,集体联营餐饮业企业主营业务成本,国有与集体联营餐饮业企业主营业务成本,其他联营餐饮业企业主营业务成本,有限责任公司餐饮业企业主营业务成本,国有独资公司餐饮业企业主营业务成本,其他有限责任公司餐饮业企业主营业务成本,股份有限公司餐饮业企业主营业务成本,私营餐饮业企业主营业务成本,私营独资餐饮业企业主营业务成本,私营合伙餐饮业企业主营业务成本,私营有限责任公司餐饮业企业主营业务成本,私营股份有限公司餐饮业企业主营业务成本,其他餐饮业企业主营业务成本,港、澳、台商投资餐饮业企业主营业务成本,港、澳、台商合资经营餐饮业企业主营业务成本,港、澳、台商合作经营餐饮业企业主营业务成本,港、澳、台商独资经营餐饮业企业主营业务成本,港、澳、台商投资股份有限公司餐饮业企业主营业务成本,其他港澳台商投资餐饮业企业主营业务成本,外商投资餐饮业企业主营业务成本,中外合资经营餐饮业企业主营业务成本,中外合作经营餐饮业企业主营业务成本,外资餐饮业企业主营业务成本,外商投资股份有限公司餐饮业企业主营业务成本,其他外商投资餐饮业企业主营业务成本,正餐服务业主营业务成本,快餐服务业主营业务成本,饮料及冷饮服务业主营业务成本,餐饮配送及外卖送餐服务主营业务成本,其他餐饮服务业主营业务成本
2009,1346.02527,1095.33614,36.33899,18.4944,13.98812,1.0083,,0.15426,,0.83059,212.77705,0.98749,211.78956,39.5435,744.43729,220.41461,36.25777,441.75186,46.01305,28.74849,86.18096,19.39628,5.84213,51.74663,9.19592,,164.50817,40.31318,8.89547,110.50625,4.79327,,1096.52621,188.1059,8.9415,,52.45166
2008,1299.1748,1047.4501,34.1237,16.4193,13.6754,1.7266,0.1997,0.2212,,1.2875,175.0177,1.2455,173.7722,34.0111,739.7811,244.0562,35.8878,427.1276,32.7094,32.6953,80.109,18.9523,5.1588,47.1913,8.8067,,171.6156,40.8814,9.1481,117.5479,4.0382,,1079.843,172.6439,6.1504,,40.5375
2007,895.94181,704.90096,27.28409,15.97583,12.89378,2.49364,0.49444,0.55399,,1.41097,132.38964,0.65821,131.73143,21.95932,478.76946,117.49396,22.25457,319.58467,19.43626,13.1352,51.63448,16.26767,3.40777,31.21459,0.74445,,139.40637,45.04001,17.47914,76.42751,0.45971,,744.43547,128.36818,4.45027,,18.68789
2006,731.243,573.9947,26.5067,14.6856,14.9733,1.7222,0.3075,0.3297,,1.0476,102.9958,0.8924,102.1034,21.6757,381.0836,83.6607,15.9661,264.5515,16.9053,10.3518,43.3347,14.0236,4.8556,24.2989,0.1567,,113.9136,39.4763,14.747,59.1505,0.5398,,604.889,101.9992,4.0195,,20.3353
2005,1199.28825,467.61547,23.93601,15.16682,13.71235,1.91713,0.33945,0.41515,0.0526,1.10993,83.76568,0.46964,83.29604,19.36546,302.66469,59.74615,14.46857,210.96749,17.48248,7.01849,41.6935,19.05884,6.0356,16.41222,0.18684,,90.49076,32.49073,14.78101,42.70486,0.51416,,496.7823,84.29273,2.62797,,16.09673
2004,582.09271,454.06067,26.49764,16.10223,14.26635,2.10502,0.48986,0.26403,0.40006,0.95107,83.07981,0.75034,82.32947,16.52503,291.79559,56.18526,14.83382,204.76566,16.01085,3.689,40.459,19.79058,6.59653,14.05808,0.01381,0.0,87.57304,35.21061,18.79162,33.34922,0.22159,,482.37345,81.00848,3.26553,,15.44525
2003,361.71521,271.76635,31.47756,18.45078,11.79893,1.44304,0.4015,0.08672,0.30497,0.64985,52.31963,0.23871,52.08092,11.23385,142.86002,33.50881,11.60529,91.39022,6.3557,2.18254,35.56545,13.47868,7.143,14.69894,0.24483,,54.38341,23.42658,10.41591,20.26198,0.27894,,295.62517,58.63601,0.68535,,6.8
2002,299.33781,218.7736,33.5701,18.2135,14.0413,2.0056,0.4609,0.4267,0.3383,0.7797,38.7278,0.9959,37.7319,10.7291,100.4371,24.2072,6.0084,64.9668,5.2548,1.0492,30.4782,15.5583,6.5321,8.0684,0.3194,,50.086,21.8335,9.5688,18.2667,0.417,,235.8058,56.8752,56.8752,,6.7
2001,237.1605,167.0265,33.078,18.8059,11.9364,1.497,0.2661,0.3338,0.3057,0.5914,29.6037,1.9493,27.6544,8.7279,63.1321,15.9652,2.8464,40.425,3.8956,0.2456,28.3646,15.4409,6.464,6.0058,0.4539,,41.7694,19.2411,7.3817,14.9527,0.194,,186.5751,47.4722,47.4722,,3.1
2000,194.5662,132.72,40.4229,20.5626,8.4622,1.4641,0.4694,0.2328,0.4036,0.3584,21.3978,1.8669,19.531,7.9705,32.3746,11.1917,1.4718,17.7157,1.9954,0.0652,23.5623,14.0172,4.6954,4.6091,0.2405,,38.2839,19.344,5.65,13.1073,0.1826,,153.9185,37.6871,,,2.9605
