年份,6岁及6岁以上人口数(人口抽样调查),6岁及6岁以上男性人口数(人口抽样调查),6岁及6岁以上女性人口数(人口抽样调查),6岁及6岁以上未上过学人口数(人口抽样调查),6岁及6岁以上未上过学男性人口数(人口抽样调查),6岁及6岁以上未上过学女性人口数(人口抽样调查),6岁及6岁以上小学人口数(人口抽样调查),6岁及6岁以上小学男性人口数(人口抽样调查),6岁及6岁以上小学女性人口数(人口抽样调查),6岁及6岁以上初中人口数(人口抽样调查),6岁及6岁以上初中男性人口数(人口抽样调查),6岁及6岁以上初中女性人口数(人口抽样调查),6岁及6岁以上高中人口数(人口抽样调查),6岁及6岁以上高中男性人口数(人口抽样调查),6岁及6岁以上高中女性人口数(人口抽样调查),6岁及6岁以上大专及以上人口数(人口抽样调查),6岁及6岁以上大专及以上男性人口数(人口抽样调查),6岁及6岁以上大专及以上女性人口数(人口抽样调查)
2019,1016417,517653,498764,51892,14714,37178,257030,121439,135591,379039,203850,175189,180285,100465,79821,148170,77186,70984
2018,1064195,542369,521826,57483,16481,41001,268951,127947,141004,401864,216604,185260,186794,103720,83074,149104,77616,71487
2017,1063758,542541,521217,56152,16293,39859,268406,127614,140791,404872,217886,186987,186735,104073,82662,147593,76674,70919
2016,1077322,549723,527599,61448,18267,43181,275939,131541,144398,418395,225166,193229,182171,101326,80845,139370,73423,65946
2015,19833469.0,10121107.0,9712363,1128946,326099,802847,5199574,2496606,2702967,7600489,4086432,3514057,3260972,1817584,1443388,2643490,1394386,1249104
2014,1047090,534288,512802,56255,16763,39492,274858,129783,145076,420432,226122,194309,174847,98256,76591,120698,63364,57334
2013,1041825,532072,509754,52010,16272,35738,274658,130360,144299,425144,225878,199266,172088,95972,76116,117925,63590,54336
2012,1047865,534803,513062,55454,16753,38701,281681,133547,148134,430799,230637,200162,168941,94487,74454,110990,59380,51610
2011,1067267,544753,522514,58732,17464,41268,294232,139378,154854,441905,236369,205537,165049,94528,70521,107348,57013,50334
2010,,,,,,,,,,,,,,,,,,
2009,1091868,551512,540356,77716,22304,55412,328934,155939,172995,455002,244280,210722,150648,84827,65821,79567,44163,35404
2008,1106434,558582,547852,82987,22947,60039,344870,164139,180731,452929,244026,208903,151474,85912,65562,74175,41558,32619
2007,1116037,562664,553373,89448,24528,64920,354873,169833,185041,448897,242231,206667,149635,85386,64249,73184,40687,32497
2006,1118855,563752,555103,98335,26886,71448,370014,178576,191438,436273,236899,199374,144652,81865,62787,69581,39525,30056
2005,15878355.0,7975386,7902969,1646360,450088,1196272,5285045,2581633,2703412,6088659,3316912,2771747,1975098,1120964,854134,883192,505789,377404
2004,1177817,595688,582128,107922,31281,76641,381371,185506,195865,462796,251281,211515,157783,88282,69501,67945,39339,28607
2003,1182247,600593,581653,114500,33359,81141,395118,193215,201903,449693,246547,203146,158060,89289,68771,64875,38183,26692
2002,1178951,598979,579972,120551,34743,85809,412186,202100,210086,443836,245521,198315,146837,83782,63055,55541,32833,22708
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
