年份,15岁及以上人口数(人口抽样调查),15岁及以上男性人口数(人口抽样调查),15岁及以上女性人口数(人口抽样调查),15岁及以上未婚人口数(人口抽样调查),15岁及以上男性未婚人口数(人口抽样调查),15岁及以上女性未婚人口数(人口抽样调查),15岁及以上有配偶人口数(人口抽样调查),15岁及以上男性有配偶人口数(人口抽样调查),15岁及以上女性有配偶人口数(人口抽样调查),15岁及以上初婚有配偶人口数(人口抽样调查),15岁及以上男性初婚有配偶人口数(人口抽样调查),15岁及以上女性初婚有配偶人口数(人口抽样调查),15岁及以上再婚有配偶人口数(人口抽样调查),15岁及以上男性再婚有配偶人口数(人口抽样调查),15岁及以上女性再婚有配偶人口数(人口抽样调查),15岁及以上离婚人口数(人口抽样调查),15岁及以上男性离婚人口数(人口抽样调查),15岁及以上女性离婚人口数(人口抽样调查),15岁及以上丧偶人口数(人口抽样调查),15岁及以上男性丧偶人口数(人口抽样调查),15岁及以上女性丧偶人口数(人口抽样调查)
2019,908609,459235,449374,163714,98992,64721,672419,334602,337817,,,,,,,20530,11546,8984,51947,14095,37853
2018,951685,481358,470327,172875,103409,69466,705367,352315,353052,,,,,,,20082,11095,8986,53360,14538,38821
2017,952893,482331,470561,177158,104688,72470,703884,352030,351854,,,,,,,19110,10667,8444,52740,14946,37793
2016,965321,488944,476376,182568,107984,74584,710768,354610,356158,,,,,,,18408,10415,7993,53577,15935,37641
2015,17790430.0,9011377,8779053,3495613,2059935,1435678,12973649.0,6468379,6505270,,,,,,,304884,174084,130800,978571,289502,689069
2014,938993,475585,463408,184889,109758,75132,,,,668223.0,331953.0,336269.0,19181.0,9302.0,9879.0,16291,9508,6783,50409,15064,35345
2013,934935,474125,460810,188708,111561,77147,,,,665734.0,330964.0,334770.0,15023.0,7175.0,7848.0,14778,8595,6183,50692,15830,34862
2012,939526,476037,463489,191753,111298,80455,,,,669629.0,334786.0,334843.0,14647.0,7005.0,7642.0,13272,7610,5662,50226,15337,34888
2011,956619,484840,471779,199241,114590,84651,,,,677283.0,339674.0,337609.0,14956.0,7057.0,7900.0,12915,7391,5523,52223,16128,36095
2010,,,,,,,,,,,,,,,,,,,,,
2009,968469,484277,484192,181718,106558,75159,,,,702009.0,345010.0,356999.0,16404.0,7804.0,8600.0,11884,7208,4676,56454,17697,38758
2008,974433,487113,487319,184613,107637,76976,,,,704076.0,346680.0,357396.0,17043.0,8048.0,8995.0,11164,6702,4463,57536,18047,39489
2007,976263,486960,489304,187773,108859,78913,,,,703008.0,345510.0,357498.0,17338.0,8132.0,9206.0,10694,6532,4162,57450,17926,39524
2006,972385,484183,488202,188559,109508,79051,,,,698582.0,342467.0,356115.0,18083.0,8374.0,9710.0,10199,6199,3999,56962,17635,39327
2005,13664737.0,6786677,6878061,2619360,1524886,1094474,,,,9824784.0,4801807.0,5022977.0,301209.0,138947.0,162262.0,135625,81486,54139,783760,239551,544209
2004,1011199,506724,504475,197561,114158,83403,,,,728431.0,360710.0,367721.0,16527.0,7746.0,8781.0,10777,6402,4375,57903,17708,40195
2003,1004154,505478,498676,196717,115776,80941,,,,721846.0,357524.0,364322.0,17293.0,8146.0,9147.0,10805,6415,4389,57493,17617,39876
2002,990974,499149,491825,193236,114041,79195,,,,712722.0,353266.0,359455.0,16885.0,7878.0,9007.0,10111,6151,3960,58020,17813,40207
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
