年份,人口数(人口抽样调查),男性人口数(人口抽样调查),女性人口数(人口抽样调查),住本乡、镇、街道，户口在本乡、镇、街道人口数(人口抽样调查),住本乡、镇、街道，户口在本乡、镇、街道男性人口数(人口抽样调查),住本乡、镇、街道，户口在本乡、镇、街道女性人口数(人口抽样调查),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上人口数(人口抽样调查),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上男性人口数(人口抽样调查),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上女性人口数(人口抽样调查),住本乡、镇、街道，户口待定人口数(人口抽样调查),住本乡、镇、街道，户口待定男性人口数(人口抽样调查),住本乡、镇、街道，户口待定女性人口数(人口抽样调查),居住在港澳台或国外，户口在本乡、镇、街道人口数(人口抽样调查),居住在港澳台或国外，户口在本乡、镇、街道男性人口数(人口抽样调查),居住在港澳台或国外，户口在本乡、镇、街道女性人口数(人口抽样调查)
2019,1091876,557834,534042,845547,430035,415511,240481,124704,115778,3088,1591,1497,2761,1505,1256
2018,1144648,585299,559349,902280,460014,442266,235999,122062,113937,3958,1937,2021,2410,1286,1124
2017,1145246,586072,559174,916678,469345,447334,219571,112117,107454,7217,3607,3610,1779,1003,776
2016,1158019,593087,564932,942716,482318,460399,209164,107641,101524,4781,2408,2373,1357,721,636
2015,21312241.0,10917046.0,10395195.0,16649810.0,8459480,8190330,4545865,2398359,2147506,89209,44455,44754,27357,14751,12606
2014,1124402,576011,548391,902244,462133,440110,213720,109607,104113,6712,3327,3386,1726,944,782
2013,1118433,573428,545005,897422,459713,437710,211539,108946,102593,7797,3857,3939,1675,911,763
2012,1124661,576354,548307,898059,457256,440803,215952,113637,102315,8969,4576,4393,1682,886,796
2011,1145209,587039,558170,909392,463562,445830,223697,117332,106365,10164,5080,5084,1956,1064,892
2010,,,,,,,,,,,,,,,
2009,1164986,591871,573115,1056995,537854,519141,100674,50327,50347,7317,3691,3627,,,
2008,1178521,598339,580182,1068230,542359,525870,,,,4999,2601,2398,,,
2007,1188739,602740,585999,1074440,545553,528887,,,,5714,2895,2819,,,
2006,1192666,604303,588363,1070090,543014,527076,,,,5886,2924,2963,,,
2005,16985766.0,8584882,8400884,14956470.0,7559833,7396636,1945894,983525,962370,82374,40905,41469,1029,619,410
2004,1253065,637167,615898,1143642,582302,561340,,,,6467,3257,3211,,,
2003,1260498,643400,617098,1148379,586608,561770,,,,6262,3153,3109,,,
2002,1258951,642754,616197,1144930,584684,560247,,,,6022,2979,3043,,,
2001,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,
